Year,Bat Id,Colonie,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Day32,Day33,Day34,Day35,Day36,Day37,Day38,Day39,Day40,Day41,Day42,Day43,Day44,Day45,Day46,Day47,Day48,Day49,Day50,Day51,Day52,Day53,Day54,Day55,Day56,Day57,Day58,Day59,Day60,Day61,Day62,Day63,Day64,Day65,Day66,Day67,Day68,Day69,Day70,Day71,Day72,Day73,Day74,Day75,Day76,Day77,Day78,Day79,Day80,Day81,Day82,Day83,Day84,Day85,Day86,Day87,Day88,Day89,Day90,Day91,Day92,Day93,Day94,Day95,Day96,Day97,Day98,Day99,Day100,Day101,Day102,Day103,Day104,Day105,Day106,Day107,Day108,Day109,Day110,Day111,Day112,Day113,Day114,Day115,Day116,Day117,Day118,Day119,Day120,Day121,Day122,Day123,Day124,Day125,Day126,Day127,Day128,Day129,Day130,Day131,Day132,Day133,Day134,Day135,Day136,Day137,Day138,Day139,Day140,Day141,Day142,Day143,Day144,Day145,Day146,Day147,Day148,Day149,Day150,Day151,Day152,Day153,Day154,Day155,Day156,Day157,Day158,Day159,Day160,Day161,Day162,Day163,Day164,Day165,Day166,Day167,Day168,Day169,Day170,Day171,Day172,Day173,Day174,Day175,Day176,Day177,Day178,Day179,Day180,Day181,Day182,Day183,Day184,Day185,Day186,Day187,Day188,Day189,Day190,Day191,Day192,Day193,Day194,Day195,Day196,Day197,Day198,Day199,Day200,Day201,Day202,Day203,Day204,Day205,Day206,Day207,Day208,Day209,Day210,Day211,Day212,Day213,Day214,Day215,Day216,Day217,Day218,Day219,Day220,Day221,Day222,Day223,Day224,Day225,Day226,Day227,Day228,Day229,Day230,Day231,Day232,Day233,Day234,Day235,Day236,Day237,Day238,Day239,Day240,Day241,Day242,Day243,Day244,Day245,Day246,Day247,Day248,Day249,Day250,Day251,Day252,Day253,Day254,Day255,Day256,Day257,Day258,Day259,Day260,Day261,Day262,Day263,Day264,Day265,Day266,Day267,Day268,Day269,Day270,Day271,Day272,Day273,Day274,Day275,Day276,Day277,Day278,Day279,Day280,Day281,Day282,Day283,Day284,Day285,Day286,Day287,Day288,Day289,Day290,Day291,Day292,Day293,Day294,Day295,Day296,Day297,Day298,Day299,Day300,Day301,Day302,Day303,Day304,Day305,Day306,Day307,Day308,Day309,Day310,Day311,Day312,Day313,Day314,Day315,Day316,Day317,Day318,Day319,Day320,Day321,Day322,Day323,Day324,Day325,Day326,Day327,Day328,Day329,Day330,Day331,Day332,Day333,Day334,Day335,Day336,Day337,Day338,Day339,Day340,Day341,Day342,Day343,Day344,Day345,Day346,Day347,Day348,Day349,Day350,Day351,Day352,Day353,Day354,Day355,Day356,Day357,Day358,Day359,Day360,Day361,Day362,Day363,Day364,Day365,Lactating
2008,00000099E2,GB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,00001F5C08,BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,1,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,2,1,1,2,1,0,0,0,0,0,0,4,2,1,3,3,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0000624F85,BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,0,0,3,3,2,1,0,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,3,12,0,3,1,9,2,0,0,0,0,0,0,7,8,11,4,11,13,26,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0000641775,GB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,1,2,4,7,1,1,2,3,4,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,9,1,8,10,4,2,4,5,3,2,2,0,2,0,6,1,0,5,3,0,4,2,2,1,2,1,4,1,7,2,4,4,2,2,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,2,2,1,0,1,0,1,0,1,0,0,4,6,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0000F8007E,BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,1,0,0,0,0,4,3,3,2,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,4,10,0,1,0,13,4,3,0,0,0,0,0,16,18,19,20,10,11,2,1,2,2,3,0,4,2,1,8,5,2,3,6,4,2,0,6,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,4,4,4,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0000F85C0C,GB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,4,0,2,1,2,2,1,0,1,0,0,0,0,0,1,0,0,7,1,6,2,2,1,1,1,3,5,3,3,13,0,20,15,0,23,3,0,10,9,6,2,10,10,11,9,3,2,5,5,3,7,2,0,0,0,6,9,0,0,7,3,2,5,1,0,0,2,1,1,7,5,0,4,0,2,0,1,0,3,1,1,1,4,0,0,1,0,0,0,0,0,3,3,1,1,1,0,0,0,0,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0001E5B8AA,GB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,3,0,0,6,2,2,1,0,0,0,0,0,1,0,2,2,0,0,1,1,4,4,13,10,9,2,2,1,1,1,5,6,15,12,0,13,3,9,0,9,10,4,0,0,6,10,11,2,8,6,1,3,1,0,0,0,5,0,0,1,0,0,0,2,1,1,0,0,2,0,1,0,1,0,0,0,0,3,1,1,0,0,0,0,3,2,1,0,0,2,2,2,0,1,1,2,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0001F7D573,BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,1,1,2,0,0,5,1,6,1,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1,7,14,0,4,1,16,20,9,0,0,0,0,0,11,13,12,9,13,19,11,14,18,3,18,3,6,7,2,11,19,3,3,13,10,17,5,8,8,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2,1,0,3,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0001F7D726,GB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,3,1,3,11,10,7,9,6,5,6,6,6,6,1,41,12,0,21,7,0,8,4,4,0,4,4,1,4,8,2,4,4,1,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0005FDFD3D,GB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,2,0,9,9,11,5,6,4,1,18,15,0,18,3,0,11,6,13,15,5,2,7,3,6,0,3,2,3,1,0,0,0,0,0,0,0,0,4,0,1,3,1,0,0,2,3,1,2,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
