#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00079ABB95";14.05.2024;09:27:49;;0;-;;;
1;Trovan Unique;"0006E24ECA";14.05.2024;21:36:06;;0;-;;;
2;Trovan Unique;"0007D1088C";14.05.2024;21:37:18;;0;-;;;
3;Trovan Unique;"0007D1088C";14.05.2024;21:37:19;;0;-;;;
4;Trovan Unique;"0007D104DB";14.05.2024;21:37:34;;0;-;;;
5;Trovan Unique;"00074F663E";14.05.2024;21:39:54;;0;-;;;
6;Trovan Unique;"0007C1922C";14.05.2024;21:40:59;;0;-;;;
7;Trovan Unique;"0007C1922C";14.05.2024;21:41:00;;0;-;;;
8;Trovan Unique;"0007C1922C";14.05.2024;21:41:01;;0;-;;;
9;Trovan Unique;"0007AC8BE4";14.05.2024;21:41:29;;0;-;;;
10;Trovan Unique;"0006B3AC35";14.05.2024;21:41:34;;0;-;;;
11;Trovan Unique;"0007CE0A62";14.05.2024;21:44:08;;0;-;;;
12;Trovan Unique;"0007CE0A62";14.05.2024;21:44:09;;0;-;;;
13;Trovan Unique;"0007D10CE1";14.05.2024;21:44:22;;0;-;;;
14;Trovan Unique;"0007AC0387";14.05.2024;21:44:51;;0;-;;;
15;Trovan Unique;"0007AC0387";14.05.2024;21:44:52;;0;-;;;
16;Trovan Unique;"00075D076C";14.05.2024;21:44:56;;0;-;;;
17;Trovan Unique;"000783F429";14.05.2024;21:45:16;;0;-;;;
18;Trovan Unique;"000788A24D";14.05.2024;21:45:20;;0;-;;;
19;Trovan Unique;"00079AAA3C";14.05.2024;21:46:36;;0;-;;;
20;Trovan Unique;"000783A42D";14.05.2024;21:46:40;;0;-;;;
21;Trovan Unique;"000783A42D";14.05.2024;21:46:42;;0;-;;;
22;Trovan Unique;"000783A42D";14.05.2024;21:46:43;;0;-;;;
23;Trovan Unique;"0007D10BA0";14.05.2024;21:46:57;;0;-;;;
24;Trovan Unique;"0007D10BA0";14.05.2024;21:46:58;;0;-;;;
25;Trovan Unique;"0007D10BA0";14.05.2024;21:46:59;;0;-;;;
26;Trovan Unique;"0007D10BA0";14.05.2024;21:47:00;;0;-;;;
27;Trovan Unique;"0007D10BA0";14.05.2024;21:47:01;;0;-;;;
28;Trovan Unique;"0007D10BA0";14.05.2024;21:47:02;;0;-;;;
29;Trovan Unique;"0007D10BA0";14.05.2024;21:47:03;;0;-;;;
30;Trovan Unique;"0007ACAC37";14.05.2024;21:47:23;;0;-;;;
31;Trovan Unique;"0007D10122";14.05.2024;21:49:34;;0;-;;;
32;Trovan Unique;"0007D10122";14.05.2024;21:49:35;;0;-;;;
33;Trovan Unique;"0007D10122";14.05.2024;21:49:36;;0;-;;;
34;Trovan Unique;"0007D10122";14.05.2024;21:49:36;;0;-;;;
35;Trovan Unique;"0007D109BB";14.05.2024;21:49:51;;0;-;;;
36;Trovan Unique;"0007D109BB";14.05.2024;21:49:52;;0;-;;;
37;Trovan Unique;"0007D109BB";14.05.2024;21:49:53;;0;-;;;
38;Trovan Unique;"0007D109BB";14.05.2024;21:49:54;;0;-;;;
39;Trovan Unique;"0007AC418B";14.05.2024;21:50:28;;0;-;;;
40;Trovan Unique;"00079ABB95";15.05.2024;11:03:23;;0;-;;;
41;Trovan Unique;"00079ABB95";15.05.2024;11:03:24;;0;-;;;
