#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00079ABB95";17.05.2024;10:33:27;;0;-;;;
1;Trovan Unique;"00079ABB95";17.05.2024;10:33:28;;0;-;;;
2;Trovan Unique;"0007AC0387";17.05.2024;21:33:05;;0;-;;;
3;Trovan Unique;"0007AC0387";17.05.2024;21:33:06;;0;-;;;
4;Trovan Unique;"0007AC0387";17.05.2024;21:33:07;;0;-;;;
5;Trovan Unique;"0007AC0387";17.05.2024;21:33:07;;0;-;;;
6;Trovan Unique;"0007AC0387";17.05.2024;21:33:08;;0;-;;;
7;Trovan Unique;"0007ABA539";17.05.2024;21:41:04;;0;-;;;
8;Trovan Unique;"00079AAA3C";17.05.2024;21:43:13;;0;-;;;
9;Trovan Unique;"0007D10BA0";17.05.2024;21:43:18;;0;-;;;
10;Trovan Unique;"0007D1088C";17.05.2024;21:47:56;;0;-;;;
11;Trovan Unique;"0007D1088C";17.05.2024;21:47:57;;0;-;;;
12;Trovan Unique;"0007D10122";17.05.2024;21:48:23;;0;-;;;
13;Trovan Unique;"0007D109BB";17.05.2024;21:48:52;;0;-;;;
14;Trovan Unique;"0007D109BB";17.05.2024;21:48:53;;0;-;;;
15;Trovan Unique;"0007D109BB";17.05.2024;21:48:54;;0;-;;;
16;Trovan Unique;"0007D109BB";17.05.2024;21:48:55;;0;-;;;
17;Trovan Unique;"00079A0255";17.05.2024;21:49:18;;0;-;;;
18;Trovan Unique;"0007CE0A62";17.05.2024;21:49:24;;0;-;;;
19;Trovan Unique;"0007CE0A62";17.05.2024;21:49:25;;0;-;;;
20;Trovan Unique;"00075B22B0";17.05.2024;21:49:29;;0;-;;;
21;Trovan Unique;"0007C18C52";17.05.2024;21:51:58;;0;-;;;
22;Trovan Unique;"0007ABD4DC";17.05.2024;21:52:05;;0;-;;;
23;Trovan Unique;"0007ABD4DC";17.05.2024;21:52:06;;0;-;;;
24;Trovan Unique;"0007CDDFAD";17.05.2024;21:56:35;;0;-;;;
25;Trovan Unique;"0007CDDFAD";17.05.2024;21:56:38;;0;-;;;
26;Trovan Unique;"0007CDDFAD";17.05.2024;21:56:41;;0;-;;;
27;Trovan Unique;"0007ACAC37";17.05.2024;21:57:12;;0;-;;;
28;Trovan Unique;"0007ACAC37";17.05.2024;21:57:13;;0;-;;;
29;Trovan Unique;"0007ACAC37";17.05.2024;21:57:14;;0;-;;;
30;Trovan Unique;"0007ACAC37";17.05.2024;21:57:15;;0;-;;;
31;Trovan Unique;"0007ACAC37";17.05.2024;21:57:16;;0;-;;;
32;Trovan Unique;"0007CDCC06";17.05.2024;21:57:39;;0;-;;;
33;Trovan Unique;"0007CDCC06";17.05.2024;21:57:40;;0;-;;;
34;Trovan Unique;"0007CDCC06";17.05.2024;21:57:41;;0;-;;;
35;Trovan Unique;"0007CDCC06";17.05.2024;21:57:42;;0;-;;;
36;Trovan Unique;"0007AC494F";17.05.2024;21:59:14;;0;-;;;
37;Trovan Unique;"0007AC494F";17.05.2024;21:59:15;;0;-;;;
38;Trovan Unique;"0007AC494F";17.05.2024;21:59:16;;0;-;;;
39;Trovan Unique;"0007AC494F";17.05.2024;21:59:17;;0;-;;;
40;Trovan Unique;"0007AC494F";17.05.2024;21:59:18;;0;-;;;
41;Trovan Unique;"0007AC494F";17.05.2024;21:59:19;;0;-;;;
42;Trovan Unique;"0007AC494F";17.05.2024;21:59:20;;0;-;;;
43;Trovan Unique;"0007AC5939";17.05.2024;22:02:27;;0;-;;;
44;Trovan Unique;"0006E24ECA";17.05.2024;22:04:03;;0;-;;;
45;Trovan Unique;"00075D879F";17.05.2024;22:06:02;;0;-;;;
46;Trovan Unique;"0007AC0145";17.05.2024;22:08:09;;0;-;;;
47;Trovan Unique;"0007AC0145";17.05.2024;22:08:10;;0;-;;;
48;Trovan Unique;"0007ABC809";17.05.2024;22:12:24;;0;-;;;
49;Trovan Unique;"0007D110B4";17.05.2024;22:27:16;;0;-;;;
50;Trovan Unique;"0007D110B4";17.05.2024;22:27:18;;0;-;;;
51;Trovan Unique;"0007D1088C";17.05.2024;22:35:11;;0;-;;;
52;Trovan Unique;"0007D110B4";17.05.2024;22:56:12;;0;-;;;
53;Trovan Unique;"000783CB2B";17.05.2024;23:17:36;;0;-;;;
54;Trovan Unique;"0007D1088C";18.05.2024;00:00:31;;0;-;;;
55;Trovan Unique;"0007D1088C";18.05.2024;00:00:37;;0;-;;;
56;Trovan Unique;"0007CDB484";18.05.2024;00:19:35;;0;-;;;
57;Trovan Unique;"0007CDB484";18.05.2024;00:19:36;;0;-;;;
58;Trovan Unique;"0007CDB484";18.05.2024;00:19:37;;0;-;;;
59;Trovan Unique;"0007CDB484";18.05.2024;00:19:38;;0;-;;;
60;Trovan Unique;"0007CDB484";18.05.2024;00:19:39;;0;-;;;
61;Trovan Unique;"0007CDB484";18.05.2024;00:19:40;;0;-;;;
62;Trovan Unique;"0007CDB484";18.05.2024;00:19:41;;0;-;;;
63;Trovan Unique;"0007CDCC06";18.05.2024;00:22:50;;0;-;;;
64;Trovan Unique;"0007CDCC06";18.05.2024;00:22:54;;0;-;;;
65;Trovan Unique;"0007CDCC06";18.05.2024;00:22:57;;0;-;;;
66;Trovan Unique;"0007CDCC06";18.05.2024;00:22:58;;0;-;;;
67;Trovan Unique;"0007CDCC06";18.05.2024;00:22:59;;0;-;;;
68;Trovan Unique;"0007CDCC06";18.05.2024;00:23:00;;0;-;;;
69;Trovan Unique;"0007CDCC06";18.05.2024;00:23:01;;0;-;;;
70;Trovan Unique;"0007CDCC06";18.05.2024;00:23:02;;0;-;;;
71;Trovan Unique;"0007CDCC06";18.05.2024;00:23:03;;0;-;;;
72;Trovan Unique;"0007CDCC06";18.05.2024;00:23:05;;0;-;;;
73;Trovan Unique;"0007D104DB";18.05.2024;00:25:40;;0;-;;;
74;Trovan Unique;"0007D109BB";18.05.2024;00:26:19;;0;-;;;
75;Trovan Unique;"0007D109BB";18.05.2024;00:26:20;;0;-;;;
76;Trovan Unique;"00079A0255";18.05.2024;00:30:13;;0;-;;;
77;Trovan Unique;"0007D1088C";18.05.2024;01:41:00;;0;-;;;
78;Trovan Unique;"00079A0255";18.05.2024;01:41:59;;0;-;;;
79;Trovan Unique;"0007D10CE1";18.05.2024;01:43:18;;0;-;;;
80;Trovan Unique;"0007D10CE1";18.05.2024;01:43:19;;0;-;;;
81;Trovan Unique;"0007D10CE1";18.05.2024;01:43:20;;0;-;;;
82;Trovan Unique;"0007D10CE1";18.05.2024;01:43:22;;0;-;;;
