#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";27.05.2017;13:52:37;;0;-;;;
1;Trovan Unique;"0006B3B283";27.05.2017;13:52:38;;0;-;;;
2;Trovan Unique;"0006B3ADE3";27.05.2017;21:48:48;;0;-;;;
3;Trovan Unique;"00065EC1B3";27.05.2017;21:49:02;;0;-;;;
4;Trovan Unique;"0006CC12F0";27.05.2017;21:49:13;;0;-;;;
5;Trovan Unique;"00075CD221";27.05.2017;21:50:36;;0;-;;;
6;Trovan Unique;"0006B3A241";27.05.2017;21:51:17;;0;-;;;
7;Trovan Unique;"0006B39A11";27.05.2017;21:54:29;;0;-;;;
8;Trovan Unique;"0006B39A11";27.05.2017;21:54:30;;0;-;;;
9;Trovan Unique;"0006B36684";27.05.2017;21:54:34;;0;-;;;
10;Trovan Unique;"00074C2037";27.05.2017;21:56:12;;0;-;;;
11;Trovan Unique;"0006B39652";27.05.2017;21:58:24;;0;-;;;
12;Trovan Unique;"00065EC1B3";28.05.2017;04:41:40;;0;-;;;
13;Trovan Unique;"0006B3A241";28.05.2017;04:46:39;;0;-;;;
14;Trovan Unique;"0006B39A11";28.05.2017;04:47:00;;0;-;;;
15;Trovan Unique;"0006B39652";28.05.2017;04:49:27;;0;-;;;
16;Trovan Unique;"0006B3ADE3";28.05.2017;04:49:41;;0;-;;;
17;Trovan Unique;"0006B36684";28.05.2017;04:50:56;;0;-;;;
18;Trovan Unique;"00075CD221";28.05.2017;05:01:04;;0;-;;;
19;Trovan Unique;"0006B3B283";28.05.2017;11:49:02;;0;-;;;
20;Trovan Unique;"0006B3B283";28.05.2017;11:49:03;;0;-;;;
