#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";31.05.2017;13:31:53;;0;-;;;
1;Trovan Unique;"0006B3B283";31.05.2017;13:31:54;;0;-;;;
2;Trovan Unique;"0006B3A241";31.05.2017;21:52:01;;0;-;;;
3;Trovan Unique;"0006B3A241";31.05.2017;21:52:02;;0;-;;;
4;Trovan Unique;"00075CD221";31.05.2017;21:53:24;;0;-;;;
5;Trovan Unique;"0006B3ADE3";31.05.2017;21:53:31;;0;-;;;
6;Trovan Unique;"0006B39A11";31.05.2017;21:57:27;;0;-;;;
7;Trovan Unique;"0006B39A11";31.05.2017;21:57:27;;0;-;;;
8;Trovan Unique;"0006B39652";31.05.2017;21:57:36;;0;-;;;
9;Trovan Unique;"00074C2037";31.05.2017;21:58:44;;0;-;;;
10;Trovan Unique;"0006B3B283";01.06.2017;11:31:31;;0;-;;;
11;Trovan Unique;"0006B3B283";01.06.2017;11:31:32;;0;-;;;
12;Trovan Unique;"0006B3B283";01.06.2017;11:32:33;;0;-;;;
13;Trovan Unique;"0006B3B283";01.06.2017;11:32:34;;0;-;;;
