#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";28.08.2017;15:30:09;;0;-;;;
1;Trovan Unique;"0006B3B283";28.08.2017;15:30:11;;0;-;;;
2;Trovan Unique;"0006B3A241";28.08.2017;20:37:56;;0;-;;;
3;Trovan Unique;"0006B39652";28.08.2017;20:50:05;;0;-;;;
4;Trovan Unique;"0006B39652";28.08.2017;20:50:06;;0;-;;;
5;Trovan Unique;"0006B36684";28.08.2017;20:51:08;;0;-;;;
6;Trovan Unique;"0006CC12F0";28.08.2017;20:53:39;;0;-;;;
7;Trovan Unique;"0006B39A11";28.08.2017;20:55:11;;0;-;;;
8;Trovan Unique;"00075CD221";28.08.2017;20:59:48;;0;-;;;
9;Trovan Unique;"0006B39652";29.08.2017;05:23:36;;0;-;;;
10;Trovan Unique;"0006B39652";29.08.2017;05:24:19;;0;-;;;
11;Trovan Unique;"0006B39652";29.08.2017;05:40:59;;0;-;;;
12;Trovan Unique;"0006B3A241";29.08.2017;05:41:51;;0;-;;;
13;Trovan Unique;"00075CD221";29.08.2017;05:42:04;;0;-;;;
14;Trovan Unique;"0006CC12F0";29.08.2017;05:43:57;;0;-;;;
15;Trovan Unique;"0006B39A11";29.08.2017;05:48:27;;0;-;;;
16;Trovan Unique;"0006B3B283";29.08.2017;11:04:05;;0;-;;;
17;Trovan Unique;"0006B3B283";29.08.2017;11:04:06;;0;-;;;
