#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";01.09.2017;12:36:24;;0;-;;;
1;Trovan Unique;"0006B3B283";01.09.2017;12:36:25;;0;-;;;
2;Trovan Unique;"0006B3ADE3";01.09.2017;20:51:01;;0;-;;;
3;Trovan Unique;"0006B36684";01.09.2017;20:51:47;;0;-;;;
4;Trovan Unique;"0006B3A241";01.09.2017;20:52:25;;0;-;;;
5;Trovan Unique;"0006B3A241";01.09.2017;20:52:26;;0;-;;;
6;Trovan Unique;"0006CC12F0";01.09.2017;20:52:34;;0;-;;;
7;Trovan Unique;"0006B39A11";01.09.2017;20:57:03;;0;-;;;
8;Trovan Unique;"0006B39A11";01.09.2017;20:57:04;;0;-;;;
9;Trovan Unique;"00074C2037";01.09.2017;20:57:40;;0;-;;;
10;Trovan Unique;"00075CD221";01.09.2017;20:57:57;;0;-;;;
11;Trovan Unique;"00075CD221";01.09.2017;20:57:58;;0;-;;;
12;Trovan Unique;"0006B39652";01.09.2017;20:59:57;;0;-;;;
13;Trovan Unique;"0006B39652";01.09.2017;20:59:58;;0;-;;;
14;Trovan Unique;"0006B39652";02.09.2017;01:23:12;;0;-;;;
15;Trovan Unique;"0006B39652";02.09.2017;01:23:36;;0;-;;;
16;Trovan Unique;"0006B39652";02.09.2017;01:23:37;;0;-;;;
17;Trovan Unique;"0006B39652";02.09.2017;01:23:38;;0;-;;;
18;Trovan Unique;"0006B39652";02.09.2017;01:23:39;;0;-;;;
19;Trovan Unique;"0006B39652";02.09.2017;01:23:40;;0;-;;;
20;Trovan Unique;"0006B39652";02.09.2017;02:45:24;;0;-;;;
21;Trovan Unique;"0006B39652";02.09.2017;02:45:25;;0;-;;;
22;Trovan Unique;"0006B3A241";02.09.2017;02:45:36;;0;-;;;
23;Trovan Unique;"0006B3A241";02.09.2017;02:45:37;;0;-;;;
24;Trovan Unique;"0006B3ADE3";02.09.2017;02:51:15;;0;-;;;
25;Trovan Unique;"0006B3ADE3";02.09.2017;02:52:45;;0;-;;;
26;Trovan Unique;"0006B39652";02.09.2017;02:52:56;;0;-;;;
27;Trovan Unique;"0006B3A241";02.09.2017;02:54:26;;0;-;;;
28;Trovan Unique;"0006B39652";02.09.2017;04:08:39;;0;-;;;
29;Trovan Unique;"0006B39652";02.09.2017;04:08:41;;0;-;;;
30;Trovan Unique;"0006B39652";02.09.2017;04:08:43;;0;-;;;
31;Trovan Unique;"0006B39652";02.09.2017;04:08:44;;0;-;;;
32;Trovan Unique;"0006B39652";02.09.2017;04:13:02;;0;-;;;
33;Trovan Unique;"0006B39652";02.09.2017;04:13:20;;0;-;;;
34;Trovan Unique;"0006B39652";02.09.2017;04:13:21;;0;-;;;
35;Trovan Unique;"0006B3ADE3";02.09.2017;05:52:32;;0;-;;;
36;Trovan Unique;"0006B3ADE3";02.09.2017;05:52:33;;0;-;;;
37;Trovan Unique;"0006B3ADE3";02.09.2017;06:07:57;;0;-;;;
38;Trovan Unique;"0006B3ADE3";02.09.2017;06:13:30;;0;-;;;
39;Trovan Unique;"0006B3ADE3";02.09.2017;06:13:38;;0;-;;;
40;Trovan Unique;"0006B3B283";02.09.2017;11:29:57;;0;-;;;
41;Trovan Unique;"0006B3B283";02.09.2017;11:30:01;;0;-;;;
