#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;01.05.2017;10:40:51;;-;-;;
1;Trovan Unique;0006B3B283;01.05.2017;10:40:55;;-;-;;
2;Trovan Unique;0006B3B2B6;01.05.2017;20:38:19;;-;-;;
3;Trovan Unique;0006B3B2B6;01.05.2017;20:38:20;;-;-;;
4;Trovan Unique;00074F2FDE;01.05.2017;20:39:00;;-;-;;
5;Trovan Unique;00074F2FDE;01.05.2017;20:39:01;;-;-;;
6;Trovan Unique;00074F2FDE;01.05.2017;20:39:03;;-;-;;
7;Trovan Unique;00074F2FDE;01.05.2017;20:39:04;;-;-;;
8;Trovan Unique;00074F2FDE;01.05.2017;20:39:05;;-;-;;
9;Trovan Unique;0006B3B2B6;01.05.2017;20:39:08;;-;-;;
10;Trovan Unique;0006B3B2B6;01.05.2017;20:39:09;;-;-;;
11;Trovan Unique;0006B3B2B6;01.05.2017;20:39:10;;-;-;;
12;Trovan Unique;0006B3B2B6;01.05.2017;20:39:11;;-;-;;
13;Trovan Unique;0006B3B2B6;01.05.2017;20:39:12;;-;-;;
14;Trovan Unique;0006B3B2B6;01.05.2017;20:39:13;;-;-;;
15;Trovan Unique;0006B3B2B6;01.05.2017;20:39:14;;-;-;;
16;Trovan Unique;0006B3B2B6;01.05.2017;20:39:15;;-;-;;
17;Trovan Unique;0006CC3D93;01.05.2017;20:46:55;;-;-;;
18;Trovan Unique;0006CC3D93;01.05.2017;20:46:56;;-;-;;
19;Trovan Unique;0006CC2253;01.05.2017;20:46:57;;-;-;;
20;Trovan Unique;00074F9852;01.05.2017;20:47:03;;-;-;;
21;Trovan Unique;0006B37F93;01.05.2017;20:47:46;;-;-;;
22;Trovan Unique;0006B37F93;01.05.2017;20:47:47;;-;-;;
23;Trovan Unique;0006B37F93;01.05.2017;20:47:48;;-;-;;
24;Trovan Unique;0006B37F93;01.05.2017;20:47:49;;-;-;;
25;Trovan Unique;0006B37F93;01.05.2017;20:47:50;;-;-;;
26;Trovan Unique;0006B37F93;01.05.2017;20:47:51;;-;-;;
27;Trovan Unique;0006B37F93;01.05.2017;20:47:52;;-;-;;
28;Trovan Unique;0006B37F93;01.05.2017;20:47:53;;-;-;;
29;Trovan Unique;0006B37F93;01.05.2017;20:47:54;;-;-;;
30;Trovan Unique;0006B37F93;01.05.2017;20:47:55;;-;-;;
31;Trovan Unique;0006B37F93;01.05.2017;20:47:57;;-;-;;
32;Trovan Unique;00075D0BFD;01.05.2017;20:47:58;;-;-;;
33;Trovan Unique;00075D0BFD;01.05.2017;20:47:59;;-;-;;
34;Trovan Unique;0006CC2D08;01.05.2017;20:48:01;;-;-;;
35;Trovan Unique;00075B67A9;01.05.2017;20:48:30;;-;-;;
36;Trovan Unique;00074FA66F;01.05.2017;20:48:33;;-;-;;
37;Trovan Unique;00074FA66F;01.05.2017;20:48:37;;-;-;;
38;Trovan Unique;00074FA66F;01.05.2017;20:48:38;;-;-;;
39;Trovan Unique;0006B39D46;01.05.2017;20:49:33;;-;-;;
40;Trovan Unique;0006B39D46;01.05.2017;20:49:34;;-;-;;
41;Trovan Unique;0006B39D46;01.05.2017;20:49:35;;-;-;;
42;Trovan Unique;0006B39D46;01.05.2017;20:49:36;;-;-;;
43;Trovan Unique;0006B39D46;01.05.2017;20:49:39;;-;-;;
44;Trovan Unique;0006B39D46;01.05.2017;20:49:40;;-;-;;
45;Trovan Unique;00075D701D;01.05.2017;20:52:13;;-;-;;
46;Trovan Unique;00075D701D;01.05.2017;20:52:14;;-;-;;
47;Trovan Unique;00075D701D;01.05.2017;20:52:15;;-;-;;
48;Trovan Unique;00075D701D;01.05.2017;20:52:17;;-;-;;
49;Trovan Unique;0006B38977;01.05.2017;20:54:13;;-;-;;
50;Trovan Unique;0006B38977;01.05.2017;20:54:14;;-;-;;
51;Trovan Unique;0006B38F78;01.05.2017;20:54:39;;-;-;;
52;Trovan Unique;0006B38F78;01.05.2017;20:54:43;;-;-;;
53;Trovan Unique;0006B38F78;01.05.2017;20:54:44;;-;-;;
54;Trovan Unique;0006B38F78;01.05.2017;20:54:48;;-;-;;
55;Trovan Unique;00075B6E70;01.05.2017;20:54:53;;-;-;;
56;Trovan Unique;0006B35F23;01.05.2017;20:55:35;;-;-;;
57;Trovan Unique;00075D40BB;01.05.2017;20:59:17;;-;-;;
58;Trovan Unique;0006B38502;01.05.2017;21:00:29;;-;-;;
59;Trovan Unique;0006B38502;01.05.2017;21:00:30;;-;-;;
60;Trovan Unique;0006B38502;01.05.2017;21:00:31;;-;-;;
61;Trovan Unique;0006B38502;01.05.2017;21:00:32;;-;-;;
62;Trovan Unique;0006B38502;01.05.2017;21:00:33;;-;-;;
63;Trovan Unique;0006B38502;01.05.2017;21:00:35;;-;-;;
64;Trovan Unique;0006B38502;01.05.2017;21:00:36;;-;-;;
65;Trovan Unique;0006B38502;01.05.2017;21:00:37;;-;-;;
66;Trovan Unique;0006B3BF50;01.05.2017;21:00:46;;-;-;;
67;Trovan Unique;0006B39504;01.05.2017;21:04:14;;-;-;;
68;Trovan Unique;0006B39504;01.05.2017;21:04:15;;-;-;;
69;Trovan Unique;00075CFEF0;01.05.2017;21:05:03;;-;-;;
70;Trovan Unique;00075CE189;01.05.2017;21:05:25;;-;-;;
71;Trovan Unique;00075CE189;01.05.2017;21:05:26;;-;-;;
72;Trovan Unique;00075CE189;01.05.2017;21:05:27;;-;-;;
73;Trovan Unique;0006CC1F85;01.05.2017;21:12:21;;-;-;;
74;Trovan Unique;0006CC1F85;01.05.2017;21:12:22;;-;-;;
75;Trovan Unique;0006CC1F85;01.05.2017;21:12:23;;-;-;;
76;Trovan Unique;0006CC1F85;01.05.2017;21:12:24;;-;-;;
77;Trovan Unique;0006B39027;01.05.2017;21:12:25;;-;-;;
78;Trovan Unique;0006CC3449;01.05.2017;21:19:06;;-;-;;
79;Trovan Unique;0006CC3449;01.05.2017;21:19:07;;-;-;;
80;Trovan Unique;0006CC3449;01.05.2017;21:19:08;;-;-;;
81;Trovan Unique;0006CC3449;01.05.2017;21:19:09;;-;-;;
82;Trovan Unique;0006CC1F19;01.05.2017;21:19:36;;-;-;;
83;Trovan Unique;0006CC1F19;01.05.2017;21:19:37;;-;-;;
84;Trovan Unique;0006B35DA1;01.05.2017;21:23:21;;-;-;;
85;Trovan Unique;00074C56FB;01.05.2017;21:31:43;;-;-;;
86;Trovan Unique;00074C56FB;01.05.2017;21:31:44;;-;-;;
87;Trovan Unique;0006CC287B;01.05.2017;21:33:03;;-;-;;
88;Trovan Unique;0006CC287B;01.05.2017;21:33:04;;-;-;;
89;Trovan Unique;0006CC2E96;01.05.2017;21:37:17;;-;-;;
90;Trovan Unique;0006CC2E96;01.05.2017;21:37:18;;-;-;;
91;Trovan Unique;0006CC2E96;01.05.2017;21:37:19;;-;-;;
92;Trovan Unique;0006CC2E96;01.05.2017;21:37:20;;-;-;;
93;Trovan Unique;0006CC2E96;01.05.2017;21:37:21;;-;-;;
94;Trovan Unique;0006B391E1;01.05.2017;21:41:10;;-;-;;
95;Trovan Unique;0006B391E1;01.05.2017;21:41:11;;-;-;;
96;Trovan Unique;0006B391E1;01.05.2017;21:41:12;;-;-;;
97;Trovan Unique;0006B391E1;01.05.2017;21:41:13;;-;-;;
98;Trovan Unique;0006B391E1;01.05.2017;21:41:14;;-;-;;
99;Trovan Unique;00075D4A6B;01.05.2017;21:41:36;;-;-;;
100;Trovan Unique;0006CC199B;01.05.2017;21:54:45;;-;-;;
101;Trovan Unique;0006CC199B;01.05.2017;21:54:46;;-;-;;
102;Trovan Unique;0006CC199B;01.05.2017;21:54:47;;-;-;;
103;Trovan Unique;0006CC199B;01.05.2017;21:54:48;;-;-;;
104;Trovan Unique;0006CC199B;01.05.2017;21:54:49;;-;-;;
105;Trovan Unique;0006CC199B;01.05.2017;21:54:51;;-;-;;
106;Trovan Unique;0006CC199B;01.05.2017;21:54:52;;-;-;;
