#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;15.06.2017;13:22:22;;-;-;;
1;Trovan Unique;0006B3B283;15.06.2017;13:22:24;;-;-;;
2;Trovan Unique;0006B39D46;15.06.2017;14:36:45;;-;-;;
3;Trovan Unique;0006B39D46;15.06.2017;14:36:47;;-;-;;
4;Trovan Unique;0006B39D46;15.06.2017;14:36:48;;-;-;;
5;Trovan Unique;0006B39D46;15.06.2017;14:36:51;;-;-;;
6;Trovan Unique;0006B39D46;15.06.2017;14:36:52;;-;-;;
7;Trovan Unique;0006B39D46;15.06.2017;14:37:06;;-;-;;
8;Trovan Unique;0006B39D46;15.06.2017;14:37:07;;-;-;;
9;Trovan Unique;0006B39D46;15.06.2017;14:37:13;;-;-;;
10;Trovan Unique;0006B39D46;15.06.2017;14:37:14;;-;-;;
11;Trovan Unique;0006B39D46;15.06.2017;14:37:15;;-;-;;
12;Trovan Unique;0006B39D46;15.06.2017;14:37:17;;-;-;;
13;Trovan Unique;0006B39D46;15.06.2017;14:37:18;;-;-;;
14;Trovan Unique;0006B39D46;15.06.2017;14:37:19;;-;-;;
15;Trovan Unique;0006B39D46;15.06.2017;14:37:22;;-;-;;
16;Trovan Unique;0006B39D46;15.06.2017;14:37:26;;-;-;;
17;Trovan Unique;0006B39D46;15.06.2017;14:37:29;;-;-;;
18;Trovan Unique;0006B39D46;15.06.2017;14:37:32;;-;-;;
19;Trovan Unique;0006B39D46;15.06.2017;14:37:34;;-;-;;
20;Trovan Unique;0006B39D46;15.06.2017;14:37:35;;-;-;;
21;Trovan Unique;0006B39D46;15.06.2017;14:37:36;;-;-;;
22;Trovan Unique;0006B39D46;15.06.2017;14:37:37;;-;-;;
23;Trovan Unique;0006B39D46;15.06.2017;14:37:38;;-;-;;
24;Trovan Unique;0006B39D46;15.06.2017;14:37:40;;-;-;;
25;Trovan Unique;0006B39D46;15.06.2017;14:37:41;;-;-;;
26;Trovan Unique;0006B39D46;15.06.2017;14:37:42;;-;-;;
27;Trovan Unique;0006B39D46;15.06.2017;14:37:43;;-;-;;
28;Trovan Unique;0006B39D46;15.06.2017;14:37:44;;-;-;;
29;Trovan Unique;0006B39D46;15.06.2017;14:37:45;;-;-;;
30;Trovan Unique;0006B39D46;15.06.2017;14:37:46;;-;-;;
31;Trovan Unique;0006B39D46;15.06.2017;14:37:47;;-;-;;
32;Trovan Unique;0006B39D46;15.06.2017;14:37:50;;-;-;;
33;Trovan Unique;0006B39D46;15.06.2017;14:37:51;;-;-;;
34;Trovan Unique;0006B39D46;15.06.2017;14:37:52;;-;-;;
35;Trovan Unique;0006B39D46;15.06.2017;14:37:53;;-;-;;
36;Trovan Unique;0006B39D46;15.06.2017;14:37:55;;-;-;;
37;Trovan Unique;0006B39D46;15.06.2017;14:38:03;;-;-;;
38;Trovan Unique;0006B39D46;15.06.2017;14:38:04;;-;-;;
39;Trovan Unique;0006B39D46;15.06.2017;14:56:39;;-;-;;
40;Trovan Unique;0006B387FA;15.06.2017;15:38:47;;-;-;;
41;Trovan Unique;0006B39D46;15.06.2017;15:43:03;;-;-;;
