#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;26.06.2017;12:39:14;;-;-;;
1;Trovan Unique;0006B3B283;26.06.2017;12:39:15;;-;-;;
2;Trovan Unique;00075B67A9;26.06.2017;13:28:35;;-;-;;
3;Trovan Unique;00075B67A9;26.06.2017;13:28:38;;-;-;;
4;Trovan Unique;00075B67A9;26.06.2017;13:28:42;;-;-;;
5;Trovan Unique;00075B67A9;26.06.2017;13:28:49;;-;-;;
6;Trovan Unique;00075B67A9;26.06.2017;13:29:29;;-;-;;
7;Trovan Unique;00075B67A9;26.06.2017;13:29:39;;-;-;;
8;Trovan Unique;00075B67A9;26.06.2017;13:29:56;;-;-;;
9;Trovan Unique;00075B67A9;26.06.2017;13:29:57;;-;-;;
10;Trovan Unique;00075B67A9;26.06.2017;13:30:01;;-;-;;
11;Trovan Unique;00075B67A9;26.06.2017;13:30:03;;-;-;;
12;Trovan Unique;00075B67A9;26.06.2017;13:30:04;;-;-;;
13;Trovan Unique;00075B67A9;26.06.2017;13:30:05;;-;-;;
14;Trovan Unique;00075B67A9;26.06.2017;13:30:06;;-;-;;
15;Trovan Unique;00075B67A9;26.06.2017;13:30:07;;-;-;;
16;Trovan Unique;00075B67A9;26.06.2017;13:30:08;;-;-;;
17;Trovan Unique;00075B67A9;26.06.2017;13:30:09;;-;-;;
18;Trovan Unique;00075B67A9;26.06.2017;13:30:10;;-;-;;
19;Trovan Unique;00075B67A9;26.06.2017;13:30:11;;-;-;;
20;Trovan Unique;00075B67A9;26.06.2017;13:30:12;;-;-;;
21;Trovan Unique;00075B67A9;26.06.2017;13:30:14;;-;-;;
22;Trovan Unique;00075B67A9;26.06.2017;13:30:15;;-;-;;
23;Trovan Unique;00075B67A9;26.06.2017;13:30:16;;-;-;;
24;Trovan Unique;00075B67A9;26.06.2017;13:30:17;;-;-;;
25;Trovan Unique;00075B67A9;26.06.2017;13:33:08;;-;-;;
26;Trovan Unique;00075B67A9;26.06.2017;13:34:29;;-;-;;
27;Trovan Unique;00075B67A9;26.06.2017;13:34:30;;-;-;;
28;Trovan Unique;00075B67A9;26.06.2017;13:34:31;;-;-;;
29;Trovan Unique;00075B67A9;26.06.2017;13:34:32;;-;-;;
30;Trovan Unique;00075B67A9;26.06.2017;13:34:33;;-;-;;
31;Trovan Unique;00075B67A9;26.06.2017;13:34:34;;-;-;;
32;Trovan Unique;00075B67A9;26.06.2017;13:34:39;;-;-;;
33;Trovan Unique;00075B67A9;26.06.2017;13:34:40;;-;-;;
34;Trovan Unique;00075B67A9;26.06.2017;13:34:43;;-;-;;
35;Trovan Unique;00075B67A9;26.06.2017;13:34:44;;-;-;;
36;Trovan Unique;00075B67A9;26.06.2017;13:34:45;;-;-;;
37;Trovan Unique;00075B67A9;26.06.2017;13:34:46;;-;-;;
38;Trovan Unique;00075B67A9;26.06.2017;13:34:48;;-;-;;
39;Trovan Unique;00075B67A9;26.06.2017;13:34:49;;-;-;;
40;Trovan Unique;00075B67A9;26.06.2017;13:34:50;;-;-;;
41;Trovan Unique;00075B67A9;26.06.2017;13:34:51;;-;-;;
42;Trovan Unique;00075B67A9;26.06.2017;13:34:59;;-;-;;
43;Trovan Unique;00075B67A9;26.06.2017;13:35:00;;-;-;;
44;Trovan Unique;00075B67A9;26.06.2017;13:35:01;;-;-;;
45;Trovan Unique;00075B67A9;26.06.2017;13:35:02;;-;-;;
46;Trovan Unique;00075B67A9;26.06.2017;13:35:03;;-;-;;
47;Trovan Unique;00075B67A9;26.06.2017;13:35:05;;-;-;;
48;Trovan Unique;00075B67A9;26.06.2017;13:35:06;;-;-;;
49;Trovan Unique;00075B67A9;26.06.2017;13:35:07;;-;-;;
