#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";30.07.2017;14:00:10;;0;-;;;
1;Trovan Unique;"0006B3B283";30.07.2017;14:00:16;;0;-;;;
2;Trovan Unique;"00075B5BC5";30.07.2017;21:27:37;;0;-;;;
3;Trovan Unique;"00075B5BC5";30.07.2017;21:27:38;;0;-;;;
4;Trovan Unique;"0007693657";30.07.2017;21:27:44;;0;-;;;
5;Trovan Unique;"0006B36536";30.07.2017;21:39:03;;0;-;;;
6;Trovan Unique;"0006B36536";30.07.2017;21:39:04;;0;-;;;
7;Trovan Unique;"00075B5BC5";30.07.2017;23:10:14;;0;-;;;
8;Trovan Unique;"00075B5BC5";30.07.2017;23:10:14;;0;-;;;
9;Trovan Unique;"00075B5BC5";30.07.2017;23:24:43;;0;-;;;
10;Trovan Unique;"00075B5BC5";30.07.2017;23:24:44;;0;-;;;
11;Trovan Unique;"00075B5BC5";30.07.2017;23:26:45;;0;-;;;
12;Trovan Unique;"00075B5BC5";30.07.2017;23:38:26;;0;-;;;
13;Trovan Unique;"0006B36536";31.07.2017;03:28:39;;0;-;;;
14;Trovan Unique;"0006B36536";31.07.2017;03:37:39;;0;-;;;
15;Trovan Unique;"0006B36536";31.07.2017;03:37:39;;0;-;;;
16;Trovan Unique;"0007693657";31.07.2017;05:35:45;;0;-;;;
17;Trovan Unique;"0006B36536";31.07.2017;05:38:29;;0;-;;;
18;Trovan Unique;"00075B5BC5";31.07.2017;05:41:18;;0;-;;;
19;Trovan Unique;"0006B3B283";31.07.2017;09:36:34;;0;-;;;
20;Trovan Unique;"0006B3B283";31.07.2017;09:36:36;;0;-;;;
