#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";02.08.2017;14:17:04;;0;-;;;
1;Trovan Unique;"0006B3B283";02.08.2017;14:17:05;;0;-;;;
2;Trovan Unique;"00075B5BC5";02.08.2017;21:29:43;;0;-;;;
3;Trovan Unique;"00075B5BC5";02.08.2017;21:29:44;;0;-;;;
4;Trovan Unique;"0006B36536";02.08.2017;21:31:28;;0;-;;;
5;Trovan Unique;"0006B36536";02.08.2017;21:31:28;;0;-;;;
6;Trovan Unique;"0006B36536";02.08.2017;21:31:29;;0;-;;;
7;Trovan Unique;"0006B36536";02.08.2017;21:31:30;;0;-;;;
8;Trovan Unique;"0006B36536";02.08.2017;21:31:31;;0;-;;;
9;Trovan Unique;"00075CE63E";02.08.2017;21:34:28;;0;-;;;
10;Trovan Unique;"00075CE63E";02.08.2017;21:34:29;;0;-;;;
11;Trovan Unique;"0006B3B283";03.08.2017;11:56:44;;0;-;;;
12;Trovan Unique;"0006B3B283";03.08.2017;11:56:45;;0;-;;;
13;Trovan Unique;"0006B3B283";03.08.2017;11:56:46;;0;-;;;
