#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00075CE63E";26.05.2018;15:54:41;;0;-;;;
1;Trovan Unique;"00075CE63E";26.05.2018;15:54:42;;0;-;;;
2;Trovan Unique;"00075CE63E";26.05.2018;15:54:43;;0;-;;;
3;Trovan Unique;"00075CE63E";26.05.2018;15:54:53;;0;-;;;
4;Trovan Unique;"00075CE63E";26.05.2018;15:54:56;;0;-;;;
5;Trovan Unique;"00075CE63E";26.05.2018;15:54:57;;0;-;;;
6;Trovan Unique;"00075CE63E";26.05.2018;15:54:58;;0;-;;;
7;Trovan Unique;"00075CE63E";26.05.2018;15:55:00;;0;-;;;
8;Trovan Unique;"00075CE63E";26.05.2018;15:55:04;;0;-;;;
9;Trovan Unique;"00075CE63E";26.05.2018;15:55:05;;0;-;;;
10;Trovan Unique;"0006B36536";26.05.2018;16:58:52;;0;-;;;
11;Trovan Unique;"0006B36536";26.05.2018;16:58:57;;0;-;;;
12;Trovan Unique;"0006B36536";26.05.2018;16:58:59;;0;-;;;
13;Trovan Unique;"00075CE63E";26.05.2018;16:59:00;;0;-;;;
14;Trovan Unique;"00075CE63E";26.05.2018;16:59:15;;0;-;;;
15;Trovan Unique;"00075CE63E";26.05.2018;16:59:16;;0;-;;;
16;Trovan Unique;"00075CE63E";26.05.2018;16:59:16;;0;-;;;
17;Trovan Unique;"00075CE63E";26.05.2018;16:59:17;;0;-;;;
18;Trovan Unique;"00075CE63E";26.05.2018;16:59:18;;0;-;;;
19;Trovan Unique;"00075CE63E";26.05.2018;16:59:19;;0;-;;;
20;Trovan Unique;"0006B36536";26.05.2018;16:59:21;;0;-;;;
21;Trovan Unique;"0006B36536";26.05.2018;16:59:22;;0;-;;;
22;Trovan Unique;"0006B36536";26.05.2018;16:59:23;;0;-;;;
23;Trovan Unique;"0006B36536";26.05.2018;16:59:24;;0;-;;;
24;Trovan Unique;"0006B36536";26.05.2018;16:59:25;;0;-;;;
25;Trovan Unique;"0006B36536";26.05.2018;16:59:26;;0;-;;;
26;Trovan Unique;"0006B36536";26.05.2018;16:59:27;;0;-;;;
27;Trovan Unique;"0006B36536";26.05.2018;16:59:28;;0;-;;;
28;Trovan Unique;"0006B36536";26.05.2018;16:59:29;;0;-;;;
29;Trovan Unique;"0006B36536";26.05.2018;16:59:30;;0;-;;;
30;Trovan Unique;"0006B36536";26.05.2018;16:59:30;;0;-;;;
31;Trovan Unique;"0006B36536";26.05.2018;16:59:31;;0;-;;;
32;Trovan Unique;"0006B36536";26.05.2018;16:59:32;;0;-;;;
33;Trovan Unique;"0006B36536";26.05.2018;16:59:33;;0;-;;;
34;Trovan Unique;"0006B36536";26.05.2018;16:59:34;;0;-;;;
35;Trovan Unique;"0006B36536";26.05.2018;16:59:35;;0;-;;;
36;Trovan Unique;"0006B36536";26.05.2018;16:59:36;;0;-;;;
37;Trovan Unique;"0006B36536";26.05.2018;16:59:37;;0;-;;;
38;Trovan Unique;"0006B36536";26.05.2018;16:59:38;;0;-;;;
39;Trovan Unique;"0006B36536";26.05.2018;16:59:39;;0;-;;;
40;Trovan Unique;"0006B36536";26.05.2018;16:59:40;;0;-;;;
41;Trovan Unique;"0006B36536";26.05.2018;16:59:41;;0;-;;;
42;Trovan Unique;"0006B36536";26.05.2018;16:59:41;;0;-;;;
43;Trovan Unique;"0006B36536";26.05.2018;16:59:42;;0;-;;;
44;Trovan Unique;"0006B36536";26.05.2018;16:59:43;;0;-;;;
45;Trovan Unique;"0006B36536";26.05.2018;16:59:44;;0;-;;;
46;Trovan Unique;"0006B36536";26.05.2018;16:59:45;;0;-;;;
47;Trovan Unique;"0006B36536";26.05.2018;16:59:46;;0;-;;;
48;Trovan Unique;"0006B36536";26.05.2018;16:59:47;;0;-;;;
49;Trovan Unique;"0006B36536";26.05.2018;16:59:48;;0;-;;;
50;Trovan Unique;"0006B36536";26.05.2018;16:59:49;;0;-;;;
51;Trovan Unique;"0006B36536";26.05.2018;16:59:50;;0;-;;;
52;Trovan Unique;"0006B36536";26.05.2018;16:59:51;;0;-;;;
53;Trovan Unique;"0006B36536";26.05.2018;16:59:52;;0;-;;;
54;Trovan Unique;"0006B36536";26.05.2018;16:59:53;;0;-;;;
55;Trovan Unique;"0006B36536";26.05.2018;16:59:53;;0;-;;;
56;Trovan Unique;"0006B36536";26.05.2018;16:59:59;;0;-;;;
57;Trovan Unique;"00075CE63E";26.05.2018;21:28:22;;0;-;;;
58;Trovan Unique;"00075CE63E";26.05.2018;21:28:23;;0;-;;;
59;Trovan Unique;"00075CE63E";26.05.2018;21:28:24;;0;-;;;
60;Trovan Unique;"00075CE63E";26.05.2018;21:28:25;;0;-;;;
61;Trovan Unique;"00075CE63E";26.05.2018;21:28:26;;0;-;;;
62;Trovan Unique;"00075CE63E";26.05.2018;21:28:27;;0;-;;;
63;Trovan Unique;"00075CE63E";26.05.2018;21:28:28;;0;-;;;
64;Trovan Unique;"00075CE63E";26.05.2018;21:28:29;;0;-;;;
65;Trovan Unique;"00075CE63E";26.05.2018;21:28:29;;0;-;;;
66;Trovan Unique;"00075CE63E";26.05.2018;21:28:30;;0;-;;;
67;Trovan Unique;"00075CE63E";26.05.2018;21:28:31;;0;-;;;
68;Trovan Unique;"00075CE63E";26.05.2018;21:28:32;;0;-;;;
69;Trovan Unique;"00075CE63E";26.05.2018;21:28:33;;0;-;;;
70;Trovan Unique;"00075CE63E";26.05.2018;21:28:34;;0;-;;;
71;Trovan Unique;"00075CE63E";26.05.2018;21:28:35;;0;-;;;
72;Trovan Unique;"00075CE63E";26.05.2018;21:28:36;;0;-;;;
73;Trovan Unique;"00075CE63E";26.05.2018;21:28:37;;0;-;;;
74;Trovan Unique;"00075CE63E";26.05.2018;21:28:38;;0;-;;;
75;Trovan Unique;"00075CE63E";26.05.2018;21:28:39;;0;-;;;
76;Trovan Unique;"00075CE63E";26.05.2018;21:28:40;;0;-;;;
77;Trovan Unique;"00075CE63E";26.05.2018;21:28:40;;0;-;;;
78;Trovan Unique;"00075CE63E";26.05.2018;21:28:41;;0;-;;;
79;Trovan Unique;"00075CE63E";26.05.2018;21:28:42;;0;-;;;
80;Trovan Unique;"00075CE63E";26.05.2018;21:28:43;;0;-;;;
81;Trovan Unique;"00075CE63E";26.05.2018;21:28:44;;0;-;;;
82;Trovan Unique;"00075CE63E";26.05.2018;21:28:45;;0;-;;;
83;Trovan Unique;"00075CE63E";26.05.2018;21:28:46;;0;-;;;
84;Trovan Unique;"00075CE63E";26.05.2018;21:28:47;;0;-;;;
85;Trovan Unique;"00075CE63E";26.05.2018;21:28:48;;0;-;;;
86;Trovan Unique;"00075CE63E";26.05.2018;21:28:49;;0;-;;;
87;Trovan Unique;"00075CE63E";26.05.2018;21:28:49;;0;-;;;
88;Trovan Unique;"00075CE63E";26.05.2018;21:28:50;;0;-;;;
89;Trovan Unique;"00075CE63E";26.05.2018;21:28:51;;0;-;;;
90;Trovan Unique;"00075CE63E";26.05.2018;21:28:52;;0;-;;;
91;Trovan Unique;"00075CE63E";26.05.2018;21:28:53;;0;-;;;
92;Trovan Unique;"00075CE63E";26.05.2018;21:28:54;;0;-;;;
93;Trovan Unique;"00075CE63E";26.05.2018;21:28:55;;0;-;;;
94;Trovan Unique;"00075CE63E";26.05.2018;21:28:56;;0;-;;;
95;Trovan Unique;"00075CE63E";26.05.2018;21:28:58;;0;-;;;
96;Trovan Unique;"00075CE63E";26.05.2018;21:28:59;;0;-;;;
97;Trovan Unique;"00075CE63E";26.05.2018;21:29:00;;0;-;;;
98;Trovan Unique;"00075CE63E";26.05.2018;21:29:02;;0;-;;;
99;Trovan Unique;"00075B5BC5";26.05.2018;21:30:40;;0;-;;;
100;Trovan Unique;"00075B5BC5";26.05.2018;21:30:41;;0;-;;;
101;Trovan Unique;"0006B36536";26.05.2018;21:31:55;;0;-;;;
102;Trovan Unique;"0006B36536";26.05.2018;21:31:56;;0;-;;;
103;Trovan Unique;"0006B36536";26.05.2018;21:31:56;;0;-;;;
104;Trovan Unique;"0006B36536";26.05.2018;21:31:57;;0;-;;;
105;Trovan Unique;"0006B36536";27.05.2018;00:30:02;;0;-;;;
106;Trovan Unique;"0006B36536";27.05.2018;00:30:04;;0;-;;;
107;Trovan Unique;"0006B36536";27.05.2018;00:30:05;;0;-;;;
108;Trovan Unique;"0006B36536";27.05.2018;00:30:06;;0;-;;;
109;Trovan Unique;"0006B3ADE3";27.05.2018;03:03:51;;0;-;;;
110;Trovan Unique;"00074C2037";27.05.2018;03:05:56;;0;-;;;
111;Trovan Unique;"0006B3ADE3";27.05.2018;03:06:02;;0;-;;;
112;Trovan Unique;"0006B3A241";27.05.2018;03:06:58;;0;-;;;
113;Trovan Unique;"0006B3ADE3";27.05.2018;03:09:55;;0;-;;;
114;Trovan Unique;"0006B3ADE3";27.05.2018;03:09:56;;0;-;;;
115;Trovan Unique;"0006B3ADE3";27.05.2018;03:09:57;;0;-;;;
116;Trovan Unique;"0006B3A241";27.05.2018;03:11:26;;0;-;;;
117;Trovan Unique;"0006B3A241";27.05.2018;03:11:27;;0;-;;;
118;Trovan Unique;"0006B3A241";27.05.2018;03:11:29;;0;-;;;
119;Trovan Unique;"0006B3A241";27.05.2018;03:11:30;;0;-;;;
120;Trovan Unique;"0006B3A241";27.05.2018;03:11:31;;0;-;;;
121;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:28;;0;-;;;
122;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:30;;0;-;;;
123;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:30;;0;-;;;
124;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:31;;0;-;;;
125;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:32;;0;-;;;
126;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:33;;0;-;;;
127;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:34;;0;-;;;
128;Trovan Unique;"0006B3ADE3";27.05.2018;04:29:35;;0;-;;;
129;Trovan Unique;"0006B3B283";27.05.2018;11:22:34;;0;-;;;
