#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
1;Trovan Unique;00075CE63E;02.06.2018;21:33:17;;0;-;;
2;Trovan Unique;00075CE63E;02.06.2018;21:33:18;;0;-;;
3;Trovan Unique;00075B5BC5;02.06.2018;21:53:20;;0;-;;
4;Trovan Unique;00075B5BC5;02.06.2018;21:53:22;;0;-;;
5;Trovan Unique;00075B5BC5;02.06.2018;21:53:23;;0;-;;
6;Trovan Unique;0006B36536;02.06.2018;21:54:31;;0;-;;
7;Trovan Unique;0006B36536;02.06.2018;21:54:32;;0;-;;
8;Trovan Unique;0006B36536;02.06.2018;21:54:33;;0;-;;
9;Trovan Unique;0006B36536;03.06.2018;01:36:06;;0;-;;
10;Trovan Unique;0006B36536;03.06.2018;01:36:07;;0;-;;
11;Trovan Unique;0006B36536;03.06.2018;01:36:08;;0;-;;
12;Trovan Unique;0006B36536;03.06.2018;01:36:09;;0;-;;
13;Trovan Unique;0006B36536;03.06.2018;01:36:12;;0;-;;
14;Trovan Unique;0006B36536;03.06.2018;01:36:15;;0;-;;
15;Trovan Unique;0006B36536;03.06.2018;01:36:16;;0;-;;
