#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3A241";08/06/2018;21:38:13;;0;-;;;
1;Trovan Unique;"0006B3A241";08/06/2018;21:38:15;;0;-;;;
2;Trovan Unique;"0006B3A241";08/06/2018;21:38:15;;0;-;;;
3;Trovan Unique;"0006B3A241";08/06/2018;21:38:16;;0;-;;;
4;Trovan Unique;"0006B3A241";08/06/2018;21:38:17;;0;-;;;
5;Trovan Unique;"0006B3A241";08/06/2018;21:38:20;;0;-;;;
6;Trovan Unique;"0006B3A241";08/06/2018;21:38:23;;0;-;;;
7;Trovan Unique;"0006B3A241";08/06/2018;21:38:24;;0;-;;;
8;Trovan Unique;"0006B3A241";08/06/2018;21:38:25;;0;-;;;
9;Trovan Unique;"0006B3A241";08/06/2018;21:38:26;;0;-;;;
10;Trovan Unique;"0006B3A241";08/06/2018;21:38:27;;0;-;;;
11;Trovan Unique;"0006B3A241";08/06/2018;21:38:29;;0;-;;;
12;Trovan Unique;"0006B3A241";08/06/2018;21:38:30;;0;-;;;
13;Trovan Unique;"0006B3ADE3";08/06/2018;21:48:33;;0;-;;;
14;Trovan Unique;"0006B39A11";08/06/2018;21:48:42;;0;-;;;
15;Trovan Unique;"0006B39A11";08/06/2018;21:48:43;;0;-;;;
16;Trovan Unique;"00075CD221";08/06/2018;21:50:03;;0;-;;;
17;Trovan Unique;"0006CC12F0";08/06/2018;21:51:27;;0;-;;;
18;Trovan Unique;"0006B39652";08/06/2018;21:53:14;;0;-;;;
19;Trovan Unique;"0006B39652";08/06/2018;21:53:21;;0;-;;;
20;Trovan Unique;"00074C2037";08/06/2018;21:53:31;;0;-;;;
21;Trovan Unique;"0006B36684";08/06/2018;21:55:38;;0;-;;;
22;Trovan Unique;"00079ABB95";09/06/2018;10:02:16;;0;-;;;
23;Trovan Unique;"00079ABB95";09/06/2018;10:02:17;;0;-;;;
