#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;09.06.2018;11:31:49;;-;-;;
1;Trovan Unique;0006B3B283;09.06.2018;11:31:50;;-;-;;
2;Trovan Unique;00075B5BC5;09.06.2018;22:27:54;;-;-;;
3;Trovan Unique;00075B5BC5;09.06.2018;22:27:55;;-;-;;
4;Trovan Unique;00075CE63E;09.06.2018;22:35:12;;-;-;;
5;Trovan Unique;00075CE63E;09.06.2018;22:35:13;;-;-;;
6;Trovan Unique;0006B36536;09.06.2018;23:01:18;;-;-;;
7;Trovan Unique;0006B36536;09.06.2018;23:01:19;;-;-;;
8;Trovan Unique;0006B36536;09.06.2018;23:39:22;;-;-;;
9;Trovan Unique;0006B36536;09.06.2018;23:39:23;;-;-;;
10;Trovan Unique;0006B36536;10.06.2018;00:32:57;;-;-;;
11;Trovan Unique;0006B36536;10.06.2018;01:11:47;;-;-;;
12;Trovan Unique;0006B36536;10.06.2018;01:11:48;;-;-;;
13;Trovan Unique;0006B36536;10.06.2018;01:58:40;;-;-;;
14;Trovan Unique;0006B36536;10.06.2018;02:05:56;;-;-;;
15;Trovan Unique;00075CE63E;10.06.2018;02:21:22;;-;-;;
16;Trovan Unique;0006B36536;10.06.2018;02:29:28;;-;-;;
17;Trovan Unique;00075CE63E;10.06.2018;02:29:48;;-;-;;
18;Trovan Unique;0006B36536;10.06.2018;03:32:32;;-;-;;
19;Trovan Unique;0006B36536;10.06.2018;03:32:33;;-;-;;
20;Trovan Unique;0006B36536;10.06.2018;03:56:42;;-;-;;
21;Trovan Unique;00075B5BC5;10.06.2018;04:32:09;;-;-;;
22;Trovan Unique;00075CE63E;10.06.2018;04:52:58;;-;-;;
23;Trovan Unique;0006B36536;10.06.2018;04:57:41;;-;-;;
