#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;00075CE63E;10.06.2018;21:42:25;;-;-;;
1;Trovan Unique;00075CE63E;10.06.2018;21:42:26;;-;-;;
2;Trovan Unique;0006B36536;10.06.2018;21:51:23;;-;-;;
3;Trovan Unique;0006B36536;10.06.2018;21:51:24;;-;-;;
4;Trovan Unique;00075B5BC5;10.06.2018;21:56:34;;-;-;;
5;Trovan Unique;00075B5BC5;10.06.2018;21:56:35;;-;-;;
6;Trovan Unique;0006B36536;10.06.2018;22:02:08;;-;-;;
7;Trovan Unique;0006B36536;10.06.2018;22:14:11;;-;-;;
8;Trovan Unique;0006B36536;10.06.2018;23:26:07;;-;-;;
9;Trovan Unique;0006B36536;10.06.2018;23:26:08;;-;-;;
10;Trovan Unique;0006B36536;10.06.2018;23:26:09;;-;-;;
11;Trovan Unique;0006B36536;10.06.2018;23:42:59;;-;-;;
12;Trovan Unique;0006B36536;10.06.2018;23:57:28;;-;-;;
13;Trovan Unique;0006B36536;11.06.2018;00:13:20;;-;-;;
14;Trovan Unique;0006B36536;11.06.2018;01:02:02;;-;-;;
15;Trovan Unique;0006B36536;11.06.2018;01:02:03;;-;-;;
16;Trovan Unique;00075CE63E;11.06.2018;01:49:49;;-;-;;
17;Trovan Unique;0006B36536;11.06.2018;01:50:09;;-;-;;
18;Trovan Unique;00075CE63E;11.06.2018;01:50:13;;-;-;;
19;Trovan Unique;00075CE63E;11.06.2018;01:50:14;;-;-;;
20;Trovan Unique;00075B5BC5;11.06.2018;01:52:31;;-;-;;
21;Trovan Unique;00075B5BC5;11.06.2018;01:52:32;;-;-;;
22;Trovan Unique;00075B5BC5;11.06.2018;01:52:33;;-;-;;
23;Trovan Unique;00075B5BC5;11.06.2018;01:52:34;;-;-;;
24;Trovan Unique;00075B5BC5;11.06.2018;01:52:35;;-;-;;
25;Trovan Unique;00075B5BC5;11.06.2018;01:52:37;;-;-;;
26;Trovan Unique;00075B5BC5;11.06.2018;01:52:38;;-;-;;
27;Trovan Unique;00075B5BC5;11.06.2018;01:52:42;;-;-;;
28;Trovan Unique;00075B5BC5;11.06.2018;01:52:43;;-;-;;
29;Trovan Unique;00075CE63E;11.06.2018;01:52:44;;-;-;;
30;Trovan Unique;00075CE63E;11.06.2018;01:52:45;;-;-;;
31;Trovan Unique;00075B5BC5;11.06.2018;01:52:48;;-;-;;
32;Trovan Unique;0006B36536;11.06.2018;01:52:50;;-;-;;
33;Trovan Unique;0006B36536;11.06.2018;01:52:51;;-;-;;
34;Trovan Unique;00075B5BC5;11.06.2018;01:53:11;;-;-;;
35;Trovan Unique;00075CE63E;11.06.2018;01:56:31;;-;-;;
36;Trovan Unique;00075B5BC5;11.06.2018;02:00:04;;-;-;;
37;Trovan Unique;0006B36536;11.06.2018;02:07:49;;-;-;;
38;Trovan Unique;0006B36536;11.06.2018;02:18:08;;-;-;;
39;Trovan Unique;0006B36536;11.06.2018;02:20:31;;-;-;;
40;Trovan Unique;0006B36536;11.06.2018;02:20:32;;-;-;;
41;Trovan Unique;0006B36536;11.06.2018;02:22:27;;-;-;;
42;Trovan Unique;0006B36536;11.06.2018;02:29:05;;-;-;;
43;Trovan Unique;0006B36536;11.06.2018;02:29:06;;-;-;;
44;Trovan Unique;0006B36536;11.06.2018;03:22:51;;-;-;;
45;Trovan Unique;0006B36536;11.06.2018;03:23:12;;-;-;;
46;Trovan Unique;0006B36536;11.06.2018;04:27:51;;-;-;;
47;Trovan Unique;0006B36536;11.06.2018;04:27:52;;-;-;;
48;Trovan Unique;0006B36536;11.06.2018;04:33:52;;-;-;;
49;Trovan Unique;00075B5BC5;11.06.2018;04:38:24;;-;-;;
50;Trovan Unique;00075CE63E;11.06.2018;04:45:24;;-;-;;
51;Trovan Unique;0006B36536;11.06.2018;04:53:41;;-;-;;
52;Trovan Unique;0006B3B283;11.06.2018;11:56:46;;-;-;;
