#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00079ABB95";15.06.2018;14:21:18;;0;-;;;
1;Trovan Unique;"00079ABB95";15.06.2018;14:21:20;;0;-;;;
2;Trovan Unique;"000770D9DF";15.06.2018;21:40:03;;0;-;;;
3;Trovan Unique;"000770D9DF";15.06.2018;21:40:04;;0;-;;;
4;Trovan Unique;"000770F5D5";15.06.2018;21:50:57;;0;-;;;
5;Trovan Unique;"000770F5D5";15.06.2018;21:50:58;;0;-;;;
6;Trovan Unique;"000770F2B4";15.06.2018;21:51:01;;0;-;;;
7;Trovan Unique;"000770F3DA";15.06.2018;21:51:03;;0;-;;;
8;Trovan Unique;"000770D9DF";15.06.2018;21:51:59;;0;-;;;
9;Trovan Unique;"0006CC11E7";15.06.2018;21:55:48;;0;-;;;
10;Trovan Unique;"000770D9DF";15.06.2018;21:56:09;;0;-;;;
11;Trovan Unique;"00075D1893";15.06.2018;21:56:14;;0;-;;;
12;Trovan Unique;"00075CC488";15.06.2018;21:58:20;;0;-;;;
13;Trovan Unique;"00075CC488";15.06.2018;21:58:21;;0;-;;;
14;Trovan Unique;"0006B3B7B9";15.06.2018;21:58:23;;0;-;;;
15;Trovan Unique;"00075B1BBB";15.06.2018;21:59:12;;0;-;;;
16;Trovan Unique;"00075B1BBB";15.06.2018;21:59:13;;0;-;;;
17;Trovan Unique;"000770F601";15.06.2018;21:59:14;;0;-;;;
18;Trovan Unique;"000770FA93";15.06.2018;22:03:37;;0;-;;;
19;Trovan Unique;"000770FA93";15.06.2018;22:03:37;;0;-;;;
20;Trovan Unique;"000770FA93";15.06.2018;22:03:38;;0;-;;;
21;Trovan Unique;"000770D9DF";15.06.2018;22:56:17;;0;-;;;
22;Trovan Unique;"000770D9DF";15.06.2018;22:56:18;;0;-;;;
23;Trovan Unique;"000770D9DF";15.06.2018;22:58:24;;0;-;;;
24;Trovan Unique;"000770F5D5";15.06.2018;23:17:19;;0;-;;;
25;Trovan Unique;"000770F5D5";15.06.2018;23:17:20;;0;-;;;
26;Trovan Unique;"000770F2B4";15.06.2018;23:19:52;;0;-;;;
27;Trovan Unique;"000770F2B4";15.06.2018;23:19:53;;0;-;;;
28;Trovan Unique;"000770D9DF";15.06.2018;23:20:07;;0;-;;;
29;Trovan Unique;"0006CC11E7";15.06.2018;23:20:45;;0;-;;;
30;Trovan Unique;"000770F3DA";15.06.2018;23:21:10;;0;-;;;
31;Trovan Unique;"00075D1893";15.06.2018;23:28:42;;0;-;;;
32;Trovan Unique;"00075D1893";15.06.2018;23:28:43;;0;-;;;
33;Trovan Unique;"00075D1893";15.06.2018;23:28:44;;0;-;;;
34;Trovan Unique;"00075D1893";15.06.2018;23:28:45;;0;-;;;
35;Trovan Unique;"00075D1893";15.06.2018;23:28:46;;0;-;;;
36;Trovan Unique;"00075D1893";15.06.2018;23:28:47;;0;-;;;
37;Trovan Unique;"00075D1893";15.06.2018;23:28:48;;0;-;;;
38;Trovan Unique;"00075D1893";15.06.2018;23:28:49;;0;-;;;
39;Trovan Unique;"000770F2B4";15.06.2018;23:29:32;;0;-;;;
40;Trovan Unique;"00075D1893";15.06.2018;23:30:41;;0;-;;;
41;Trovan Unique;"000770F5D5";15.06.2018;23:31:24;;0;-;;;
42;Trovan Unique;"000770F5D5";15.06.2018;23:31:25;;0;-;;;
43;Trovan Unique;"0006CC11E7";15.06.2018;23:31:57;;0;-;;;
44;Trovan Unique;"000770F3DA";15.06.2018;23:39:22;;0;-;;;
45;Trovan Unique;"000770F3DA";15.06.2018;23:39:23;;0;-;;;
46;Trovan Unique;"000770D9DF";15.06.2018;23:43:38;;0;-;;;
47;Trovan Unique;"000770F601";15.06.2018;23:47:37;;0;-;;;
48;Trovan Unique;"000770F601";15.06.2018;23:47:37;;0;-;;;
49;Trovan Unique;"00075D1893";15.06.2018;23:47:51;;0;-;;;
50;Trovan Unique;"00075D1893";15.06.2018;23:47:52;;0;-;;;
51;Trovan Unique;"000770F601";15.06.2018;23:49:46;;0;-;;;
52;Trovan Unique;"000770F601";15.06.2018;23:49:47;;0;-;;;
53;Trovan Unique;"000770F601";15.06.2018;23:49:48;;0;-;;;
54;Trovan Unique;"000770F601";15.06.2018;23:49:49;;0;-;;;
55;Trovan Unique;"000770F601";15.06.2018;23:49:50;;0;-;;;
56;Trovan Unique;"000770F601";15.06.2018;23:52:19;;0;-;;;
57;Trovan Unique;"000770F601";15.06.2018;23:52:20;;0;-;;;
58;Trovan Unique;"000770D9DF";15.06.2018;23:53:22;;0;-;;;
59;Trovan Unique;"000770D9DF";15.06.2018;23:53:29;;0;-;;;
60;Trovan Unique;"000770D9DF";15.06.2018;23:53:30;;0;-;;;
61;Trovan Unique;"000770F2B4";16.06.2018;00:05:04;;0;-;;;
62;Trovan Unique;"000770F2B4";16.06.2018;00:05:05;;0;-;;;
63;Trovan Unique;"000770F2B4";16.06.2018;00:08:54;;0;-;;;
64;Trovan Unique;"00075D1893";16.06.2018;00:11:22;;0;-;;;
65;Trovan Unique;"000770F5D5";16.06.2018;00:12:24;;0;-;;;
66;Trovan Unique;"000770F5D5";16.06.2018;00:12:25;;0;-;;;
67;Trovan Unique;"000770F5D5";16.06.2018;00:13:46;;0;-;;;
68;Trovan Unique;"000770F5D5";16.06.2018;00:13:47;;0;-;;;
69;Trovan Unique;"00075D1893";16.06.2018;00:13:55;;0;-;;;
70;Trovan Unique;"00075D1893";16.06.2018;00:13:56;;0;-;;;
71;Trovan Unique;"000770F3DA";16.06.2018;00:15:31;;0;-;;;
72;Trovan Unique;"000770F3DA";16.06.2018;00:15:32;;0;-;;;
73;Trovan Unique;"000770F5D5";16.06.2018;00:17:31;;0;-;;;
74;Trovan Unique;"000770F5D5";16.06.2018;00:17:32;;0;-;;;
75;Trovan Unique;"00075D1893";16.06.2018;00:20:13;;0;-;;;
76;Trovan Unique;"00075D1893";16.06.2018;00:20:14;;0;-;;;
77;Trovan Unique;"000770F2B4";16.06.2018;00:25:13;;0;-;;;
78;Trovan Unique;"000770F601";16.06.2018;00:27:39;;0;-;;;
79;Trovan Unique;"000770F5D5";16.06.2018;00:31:49;;0;-;;;
80;Trovan Unique;"000770F5D5";16.06.2018;00:31:50;;0;-;;;
81;Trovan Unique;"000770F3DA";16.06.2018;00:32:27;;0;-;;;
82;Trovan Unique;"000770F3DA";16.06.2018;00:32:28;;0;-;;;
83;Trovan Unique;"000770F2B4";16.06.2018;00:34:16;;0;-;;;
84;Trovan Unique;"00075D1893";16.06.2018;00:34:24;;0;-;;;
85;Trovan Unique;"0006CC11E7";16.06.2018;00:37:30;;0;-;;;
86;Trovan Unique;"000770D9DF";16.06.2018;00:38:39;;0;-;;;
87;Trovan Unique;"000770D9DF";16.06.2018;00:38:40;;0;-;;;
88;Trovan Unique;"000770D9DF";16.06.2018;00:41:21;;0;-;;;
89;Trovan Unique;"000770D9DF";16.06.2018;00:41:22;;0;-;;;
90;Trovan Unique;"000770D9DF";16.06.2018;00:43:14;;0;-;;;
91;Trovan Unique;"000770D9DF";16.06.2018;00:43:15;;0;-;;;
92;Trovan Unique;"000770D9DF";16.06.2018;00:43:16;;0;-;;;
93;Trovan Unique;"0006CC11E7";16.06.2018;00:47:22;;0;-;;;
94;Trovan Unique;"00075D1893";16.06.2018;00:50:07;;0;-;;;
95;Trovan Unique;"00075D1893";16.06.2018;00:50:33;;0;-;;;
