#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"000770D9DF";16/06/2018;21:37:04;;0;-;;;
1;Trovan Unique;"000770D9DF";16/06/2018;21:37:05;;0;-;;;
2;Trovan Unique;"000770F3DA";16/06/2018;21:45:32;;0;-;;;
3;Trovan Unique;"000770F3DA";16/06/2018;21:45:32;;0;-;;;
4;Trovan Unique;"0006CC11E7";16/06/2018;21:48:15;;0;-;;;
5;Trovan Unique;"00075CC488";16/06/2018;21:48:21;;0;-;;;
6;Trovan Unique;"00075CC488";16/06/2018;21:48:22;;0;-;;;
7;Trovan Unique;"00075CC488";16/06/2018;21:48:23;;0;-;;;
8;Trovan Unique;"000770F601";16/06/2018;21:51:10;;0;-;;;
9;Trovan Unique;"000770F2B4";16/06/2018;21:51:43;;0;-;;;
10;Trovan Unique;"00075D1893";16/06/2018;21:51:48;;0;-;;;
11;Trovan Unique;"000770F5D5";16/06/2018;21:51:51;;0;-;;;
12;Trovan Unique;"000770F5D5";16/06/2018;21:51:52;;0;-;;;
13;Trovan Unique;"00075B1BBB";16/06/2018;21:53:05;;0;-;;;
14;Trovan Unique;"00075B1BBB";16/06/2018;21:53:06;;0;-;;;
15;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:46;;0;-;;;
16;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:47;;0;-;;;
17;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:48;;0;-;;;
18;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:49;;0;-;;;
19;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:50;;0;-;;;
20;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:51;;0;-;;;
21;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:51;;0;-;;;
22;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:52;;0;-;;;
23;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:53;;0;-;;;
24;Trovan Unique;"0006B3B7B9";16/06/2018;21:57:54;;0;-;;;
25;Trovan Unique;"000770FA93";16/06/2018;22:00:44;;0;-;;;
26;Trovan Unique;"000770FA93";16/06/2018;22:00:45;;0;-;;;
27;Trovan Unique;"000770D9DF";16/06/2018;22:33:34;;0;-;;;
28;Trovan Unique;"000770D9DF";16/06/2018;22:44:11;;0;-;;;
29;Trovan Unique;"0006CC11E7";16/06/2018;23:13:52;;0;-;;;
30;Trovan Unique;"0006CC11E7";16/06/2018;23:19:08;;0;-;;;
31;Trovan Unique;"000770F3DA";16/06/2018;23:19:57;;0;-;;;
32;Trovan Unique;"000770F601";16/06/2018;23:20:47;;0;-;;;
33;Trovan Unique;"000770F2B4";16/06/2018;23:25:28;;0;-;;;
34;Trovan Unique;"000770F2B4";16/06/2018;23:25:29;;0;-;;;
35;Trovan Unique;"000770F601";16/06/2018;23:27:01;;0;-;;;
36;Trovan Unique;"000770F601";16/06/2018;23:27:02;;0;-;;;
37;Trovan Unique;"000770F2B4";16/06/2018;23:27:07;;0;-;;;
38;Trovan Unique;"000770F2B4";16/06/2018;23:27:08;;0;-;;;
39;Trovan Unique;"000770F2B4";16/06/2018;23:27:09;;0;-;;;
40;Trovan Unique;"000770F2B4";16/06/2018;23:27:10;;0;-;;;
41;Trovan Unique;"000770F2B4";16/06/2018;23:27:11;;0;-;;;
42;Trovan Unique;"000770F2B4";16/06/2018;23:27:11;;0;-;;;
43;Trovan Unique;"000770F2B4";16/06/2018;23:27:12;;0;-;;;
44;Trovan Unique;"000770F2B4";16/06/2018;23:27:13;;0;-;;;
45;Trovan Unique;"000770F2B4";16/06/2018;23:27:14;;0;-;;;
46;Trovan Unique;"000770F2B4";16/06/2018;23:27:15;;0;-;;;
47;Trovan Unique;"000770F2B4";16/06/2018;23:27:16;;0;-;;;
