#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;000770D9DF;23.06.2018;21:44:04;;-;-;;
1;Trovan Unique;000770D9DF;23.06.2018;21:44:05;;-;-;;
2;Trovan Unique;000770D9DF;23.06.2018;21:44:06;;-;-;;
3;Trovan Unique;000770D9DF;23.06.2018;21:44:07;;-;-;;
4;Trovan Unique;000770D9DF;23.06.2018;21:44:08;;-;-;;
5;Trovan Unique;00075D1893;23.06.2018;21:47:01;;-;-;;
6;Trovan Unique;00075D1893;23.06.2018;21:47:02;;-;-;;
7;Trovan Unique;00075D1893;23.06.2018;21:47:03;;-;-;;
8;Trovan Unique;00075D1893;23.06.2018;21:47:04;;-;-;;
9;Trovan Unique;00075D1893;23.06.2018;21:47:05;;-;-;;
10;Trovan Unique;00075D1893;23.06.2018;21:47:06;;-;-;;
11;Trovan Unique;00075D1893;23.06.2018;21:47:07;;-;-;;
12;Trovan Unique;00075D1893;23.06.2018;21:47:08;;-;-;;
13;Trovan Unique;00075D1893;23.06.2018;21:47:09;;-;-;;
14;Trovan Unique;0006CC11E7;23.06.2018;21:48:00;;-;-;;
15;Trovan Unique;000770F601;23.06.2018;21:49:30;;-;-;;
16;Trovan Unique;000770F2B4;23.06.2018;21:50:31;;-;-;;
17;Trovan Unique;00075CC488;23.06.2018;21:50:52;;-;-;;
18;Trovan Unique;00075CC488;23.06.2018;21:50:53;;-;-;;
19;Trovan Unique;000770F3DA;23.06.2018;21:53:30;;-;-;;
20;Trovan Unique;000770F3DA;23.06.2018;21:53:31;;-;-;;
21;Trovan Unique;000770F3DA;23.06.2018;21:53:32;;-;-;;
22;Trovan Unique;000770F3DA;23.06.2018;21:53:33;;-;-;;
23;Trovan Unique;000770F3DA;23.06.2018;21:53:34;;-;-;;
24;Trovan Unique;000770FA93;23.06.2018;21:55:40;;-;-;;
25;Trovan Unique;00075B1BBB;23.06.2018;21:58:17;;-;-;;
26;Trovan Unique;0006B3B7B9;23.06.2018;22:02:45;;-;-;;
27;Trovan Unique;0006B3B7B9;23.06.2018;22:02:46;;-;-;;
28;Trovan Unique;0006B3B7B9;23.06.2018;22:02:47;;-;-;;
29;Trovan Unique;000770F5D5;23.06.2018;22:03:13;;-;-;;
30;Trovan Unique;000770F5D5;23.06.2018;22:03:14;;-;-;;
31;Trovan Unique;000770F5D5;23.06.2018;22:03:15;;-;-;;
32;Trovan Unique;000770D9DF;23.06.2018;23:19:50;;-;-;;
33;Trovan Unique;000770D9DF;23.06.2018;23:35:03;;-;-;;
34;Trovan Unique;000770F2B4;24.06.2018;00:00:54;;-;-;;
35;Trovan Unique;000770F601;24.06.2018;00:01:58;;-;-;;
36;Trovan Unique;000770F3DA;24.06.2018;00:07:27;;-;-;;
37;Trovan Unique;000770F5D5;24.06.2018;00:12:12;;-;-;;
38;Trovan Unique;000770F2B4;24.06.2018;00:13:18;;-;-;;
39;Trovan Unique;000770F2B4;24.06.2018;00:18:46;;-;-;;
40;Trovan Unique;000770F5D5;24.06.2018;00:18:48;;-;-;;
41;Trovan Unique;000770F5D5;24.06.2018;00:19:46;;-;-;;
42;Trovan Unique;000770F3DA;24.06.2018;00:20:37;;-;-;;
43;Trovan Unique;000770F2B4;24.06.2018;00:23:07;;-;-;;
44;Trovan Unique;000770F5D5;24.06.2018;00:26:12;;-;-;;
45;Trovan Unique;000770F5D5;24.06.2018;00:26:41;;-;-;;
46;Trovan Unique;000770F5D5;24.06.2018;00:26:42;;-;-;;
47;Trovan Unique;000770F5D5;24.06.2018;00:26:43;;-;-;;
48;Trovan Unique;000770F5D5;24.06.2018;00:26:44;;-;-;;
49;Trovan Unique;000770F5D5;24.06.2018;00:26:45;;-;-;;
50;Trovan Unique;000770F5D5;24.06.2018;00:26:46;;-;-;;
51;Trovan Unique;000770F5D5;24.06.2018;00:26:47;;-;-;;
52;Trovan Unique;000770F5D5;24.06.2018;00:26:48;;-;-;;
