#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;23.07.2018;12:23:58;;-;-;;
1;Trovan Unique;0006B3B283;23.07.2018;12:23:59;;-;-;;
2;Trovan Unique;000770F5D5;23.07.2018;21:51:31;;-;-;;
3;Trovan Unique;000770F5D5;23.07.2018;21:51:32;;-;-;;
4;Trovan Unique;000770D9DF;23.07.2018;21:51:38;;-;-;;
5;Trovan Unique;000770F3DA;23.07.2018;21:54:54;;-;-;;
6;Trovan Unique;000770F3DA;23.07.2018;21:54:55;;-;-;;
7;Trovan Unique;000770FA93;23.07.2018;21:57:13;;-;-;;
8;Trovan Unique;000770FA93;23.07.2018;21:57:14;;-;-;;
9;Trovan Unique;000770FA93;23.07.2018;21:57:15;;-;-;;
10;Trovan Unique;0006B3B7B9;23.07.2018;21:58:07;;-;-;;
11;Trovan Unique;0006B3B7B9;23.07.2018;21:58:08;;-;-;;
12;Trovan Unique;0006B3B7B9;23.07.2018;21:58:10;;-;-;;
13;Trovan Unique;0006B3B7B9;23.07.2018;21:58:11;;-;-;;
14;Trovan Unique;000770F2B4;23.07.2018;21:59:36;;-;-;;
15;Trovan Unique;00075D1893;23.07.2018;21:59:47;;-;-;;
16;Trovan Unique;000770F601;23.07.2018;22:00:56;;-;-;;
17;Trovan Unique;000770F601;23.07.2018;22:00:57;;-;-;;
18;Trovan Unique;00075B1BBB;23.07.2018;22:02:16;;-;-;;
19;Trovan Unique;00075B1BBB;23.07.2018;22:02:17;;-;-;;
20;Trovan Unique;00075B1BBB;23.07.2018;22:02:18;;-;-;;
21;Trovan Unique;000770F3DA;24.07.2018;05:19:07;;-;-;;
22;Trovan Unique;000770FA93;24.07.2018;05:19:36;;-;-;;
23;Trovan Unique;0006B3B7B9;24.07.2018;05:22:00;;-;-;;
24;Trovan Unique;000770D9DF;24.07.2018;05:22:19;;-;-;;
25;Trovan Unique;0006CC11E7;24.07.2018;05:22:37;;-;-;;
26;Trovan Unique;000770F601;24.07.2018;05:23:54;;-;-;;
27;Trovan Unique;000770F5D5;24.07.2018;05:24:51;;-;-;;
