#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;26.07.2018;12:31:21;;-;-;;
1;Trovan Unique;0006B3B283;26.07.2018;12:31:22;;-;-;;
2;Trovan Unique;0006B39652;26.07.2018;21:13:05;;-;-;;
3;Trovan Unique;0006B39652;26.07.2018;21:13:06;;-;-;;
4;Trovan Unique;0006B39652;26.07.2018;21:13:07;;-;-;;
5;Trovan Unique;0006B39652;26.07.2018;21:13:08;;-;-;;
6;Trovan Unique;0006B39652;26.07.2018;21:13:09;;-;-;;
7;Trovan Unique;0006B39652;26.07.2018;21:13:10;;-;-;;
8;Trovan Unique;00075CD221;26.07.2018;21:18:41;;-;-;;
9;Trovan Unique;0006B3A241;26.07.2018;21:24:25;;-;-;;
10;Trovan Unique;0006B36684;26.07.2018;21:27:08;;-;-;;
11;Trovan Unique;0006CC12F0;26.07.2018;21:34:28;;-;-;;
12;Trovan Unique;0006CC12F0;26.07.2018;21:34:29;;-;-;;
13;Trovan Unique;0006B39A11;26.07.2018;21:38:26;;-;-;;
14;Trovan Unique;00074C2037;26.07.2018;21:47:56;;-;-;;
15;Trovan Unique;00075CD221;27.07.2018;03:01:02;;-;-;;
16;Trovan Unique;0006B3A241;27.07.2018;03:01:11;;-;-;;
17;Trovan Unique;0006B3A241;27.07.2018;03:01:13;;-;-;;
18;Trovan Unique;0006B3A241;27.07.2018;03:05:41;;-;-;;
19;Trovan Unique;00075CD221;27.07.2018;03:10:06;;-;-;;
20;Trovan Unique;00075CD221;27.07.2018;03:10:08;;-;-;;
21;Trovan Unique;00075CD221;27.07.2018;03:14:27;;-;-;;
22;Trovan Unique;00075CD221;27.07.2018;04:01:00;;-;-;;
23;Trovan Unique;00075CD221;27.07.2018;04:01:01;;-;-;;
24;Trovan Unique;00075CD221;27.07.2018;04:03:21;;-;-;;
25;Trovan Unique;0006B3A241;27.07.2018;04:03:55;;-;-;;
26;Trovan Unique;0006B3A241;27.07.2018;04:05:03;;-;-;;
27;Trovan Unique;0006B3A241;27.07.2018;04:05:04;;-;-;;
28;Trovan Unique;0006B3A241;27.07.2018;04:05:05;;-;-;;
29;Trovan Unique;0006B3A241;27.07.2018;04:05:06;;-;-;;
30;Trovan Unique;0006B3A241;27.07.2018;04:05:07;;-;-;;
31;Trovan Unique;0006B3A241;27.07.2018;04:05:08;;-;-;;
32;Trovan Unique;0006B3A241;27.07.2018;04:05:09;;-;-;;
33;Trovan Unique;0006B3A241;27.07.2018;04:05:10;;-;-;;
34;Trovan Unique;0006B3A241;27.07.2018;04:05:11;;-;-;;
35;Trovan Unique;0006B3A241;27.07.2018;04:05:12;;-;-;;
36;Trovan Unique;0006CC12F0;27.07.2018;05:00:02;;-;-;;
37;Trovan Unique;0006B39A11;27.07.2018;05:09:33;;-;-;;
38;Trovan Unique;0006B3A241;27.07.2018;05:26:36;;-;-;;
39;Trovan Unique;0006B36684;27.07.2018;05:27:02;;-;-;;
40;Trovan Unique;0006B39652;27.07.2018;05:28:30;;-;-;;
41;Trovan Unique;0006B39652;27.07.2018;05:40:20;;-;-;;
