#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00079ABB95";21.05.2018;11:58:41;;0;-;;;
1;Trovan Unique;"00079ABB95";21.05.2018;11:58:42;;0;-;;;
2;Trovan Unique;"0006B3A241";21.05.2018;16:34:13;;0;-;;;
3;Trovan Unique;"0006B3A241";21.05.2018;16:34:14;;0;-;;;
4;Trovan Unique;"0006B3A241";21.05.2018;16:34:16;;0;-;;;
5;Trovan Unique;"0006B3A241";21.05.2018;21:34:07;;0;-;;;
6;Trovan Unique;"0006B3A241";21.05.2018;21:34:08;;0;-;;;
7;Trovan Unique;"0006B3A241";21.05.2018;21:34:09;;0;-;;;
8;Trovan Unique;"0006B3ADE3";21.05.2018;21:34:59;;0;-;;;
9;Trovan Unique;"0006B3ADE3";21.05.2018;21:35:00;;0;-;;;
10;Trovan Unique;"0006B3ADE3";21.05.2018;21:35:01;;0;-;;;
11;Trovan Unique;"0006B3ADE3";21.05.2018;21:35:02;;0;-;;;
12;Trovan Unique;"0006B3ADE3";21.05.2018;21:35:58;;0;-;;;
13;Trovan Unique;"0006B39A11";21.05.2018;21:41:03;;0;-;;;
14;Trovan Unique;"00075CD221";21.05.2018;21:42:56;;0;-;;;
15;Trovan Unique;"0006CC12F0";21.05.2018;21:43:10;;0;-;;;
16;Trovan Unique;"0006B36684";21.05.2018;21:43:25;;0;-;;;
17;Trovan Unique;"0006B39652";21.05.2018;21:43:27;;0;-;;;
18;Trovan Unique;"00074C2037";21.05.2018;21:52:47;;0;-;;;
19;Trovan Unique;"0006B3ADE3";22.05.2018;01:56:58;;0;-;;;
20;Trovan Unique;"0006B39652";22.05.2018;01:57:24;;0;-;;;
21;Trovan Unique;"0006B39652";22.05.2018;01:57:25;;0;-;;;
22;Trovan Unique;"0006B39652";22.05.2018;01:57:25;;0;-;;;
23;Trovan Unique;"0006B3ADE3";22.05.2018;01:58:27;;0;-;;;
24;Trovan Unique;"0006B3ADE3";22.05.2018;01:58:28;;0;-;;;
25;Trovan Unique;"0006B3ADE3";22.05.2018;01:58:29;;0;-;;;
26;Trovan Unique;"0006B3A241";22.05.2018;02:17:33;;0;-;;;
27;Trovan Unique;"0006B3A241";22.05.2018;02:17:34;;0;-;;;
28;Trovan Unique;"0006B3A241";22.05.2018;02:17:35;;0;-;;;
29;Trovan Unique;"0006B3ADE3";22.05.2018;02:17:43;;0;-;;;
30;Trovan Unique;"0006B3A241";22.05.2018;02:17:44;;0;-;;;
31;Trovan Unique;"0006B3A241";22.05.2018;02:17:45;;0;-;;;
32;Trovan Unique;"0006B3A241";22.05.2018;02:17:46;;0;-;;;
33;Trovan Unique;"0006B3A241";22.05.2018;02:17:48;;0;-;;;
34;Trovan Unique;"0006B3A241";22.05.2018;02:17:49;;0;-;;;
35;Trovan Unique;"0006B3A241";22.05.2018;02:17:51;;0;-;;;
36;Trovan Unique;"0006B3A241";22.05.2018;02:17:52;;0;-;;;
37;Trovan Unique;"0006B3A241";22.05.2018;02:17:56;;0;-;;;
38;Trovan Unique;"0006B3A241";22.05.2018;02:17:57;;0;-;;;
39;Trovan Unique;"0006B3A241";22.05.2018;02:17:57;;0;-;;;
40;Trovan Unique;"0006B3A241";22.05.2018;02:18:04;;0;-;;;
41;Trovan Unique;"0006B3ADE3";22.05.2018;02:18:10;;0;-;;;
42;Trovan Unique;"0006B3ADE3";22.05.2018;02:18:11;;0;-;;;
43;Trovan Unique;"00075CD221";22.05.2018;04:42:04;;0;-;;;
44;Trovan Unique;"0006B36684";22.05.2018;04:42:32;;0;-;;;
45;Trovan Unique;"0006B3A241";22.05.2018;04:49:54;;0;-;;;
46;Trovan Unique;"0006B39A11";22.05.2018;04:51:05;;0;-;;;
47;Trovan Unique;"0006B3B283";22.05.2018;13:02:05;;0;-;;;
