#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00079ABB95";22.05.2018;14:26:04;;0;-;;;
1;Trovan Unique;"00079ABB95";22.05.2018;14:26:05;;0;-;;;
2;Trovan Unique;"0006B3A241";22.05.2018;21:31:35;;0;-;;;
3;Trovan Unique;"0006B3A241";22.05.2018;21:31:36;;0;-;;;
4;Trovan Unique;"00075CD221";22.05.2018;21:38:04;;0;-;;;
5;Trovan Unique;"0006B3ADE3";22.05.2018;21:39:10;;0;-;;;
6;Trovan Unique;"0006B3ADE3";22.05.2018;21:39:11;;0;-;;;
7;Trovan Unique;"0006B39652";22.05.2018;21:39:40;;0;-;;;
8;Trovan Unique;"0006B39652";22.05.2018;21:39:41;;0;-;;;
9;Trovan Unique;"0006B39A11";22.05.2018;21:40:56;;0;-;;;
10;Trovan Unique;"0006B39A11";22.05.2018;21:40:57;;0;-;;;
11;Trovan Unique;"0006B39A11";22.05.2018;21:40:58;;0;-;;;
12;Trovan Unique;"0006B36684";22.05.2018;21:41:06;;0;-;;;
13;Trovan Unique;"0006B3B283";23.05.2018;13:58:05;;0;-;;;
