#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;00079ABB95;05.06.2018;12:20:56;;0;-;;
1;Trovan Unique;00079ABB95;05.06.2018;12:20:57;;0;-;;
2;Trovan Unique;0006B3ADE3;05.06.2018;21:51:13;;0;-;;
3;Trovan Unique;0006B3ADE3;05.06.2018;21:51:14;;0;-;;
4;Trovan Unique;0006B3A241;05.06.2018;21:52:33;;0;-;;
5;Trovan Unique;0006B3A241;05.06.2018;21:52:34;;0;-;;
6;Trovan Unique;0006CC12F0;05.06.2018;21:56:39;;0;-;;
7;Trovan Unique;00074C2037;05.06.2018;21:57:52;;0;-;;
8;Trovan Unique;0006B39A11;05.06.2018;21:59:44;;0;-;;
9;Trovan Unique;0006B39A11;05.06.2018;21:59:45;;0;-;;
10;Trovan Unique;00075CD221;05.06.2018;22:00:19;;0;-;;
11;Trovan Unique;0006B39652;05.06.2018;22:03:14;;0;-;;
12;Trovan Unique;0006B39652;05.06.2018;22:03:17;;0;-;;
13;Trovan Unique;0006B39652;05.06.2018;22:03:17;;0;-;;
14;Trovan Unique;0006B39652;05.06.2018;22:03:22;;0;-;;
15;Trovan Unique;0006B39652;05.06.2018;22:03:24;;0;-;;
16;Trovan Unique;0006B36684;05.06.2018;22:03:47;;0;-;;
17;Trovan Unique;0006B39652;06.06.2018;04:24:02;;0;-;;
18;Trovan Unique;0006CC12F0;06.06.2018;04:24:26;;0;-;;
19;Trovan Unique;0006B39A11;06.06.2018;04:27:02;;0;-;;
20;Trovan Unique;00074C2037;06.06.2018;04:27:29;;0;-;;
21;Trovan Unique;0006B3A241;06.06.2018;04:28:47;;0;-;;
22;Trovan Unique;0006B3ADE3;06.06.2018;04:39:59;;0;-;;
