#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;00079ABB95;09.06.2018;10:24:08;;0;-;;
1;Trovan Unique;00079ABB95;09.06.2018;10:24:10;;0;-;;
2;Trovan Unique;0006B3ADE3;09.06.2018;22:15:50;;0;-;;
3;Trovan Unique;0006B3ADE3;09.06.2018;22:15:51;;0;-;;
4;Trovan Unique;0006B3ADE3;09.06.2018;22:15:52;;0;-;;
5;Trovan Unique;0006B3A241;09.06.2018;22:20:44;;0;-;;
6;Trovan Unique;0006B3A241;09.06.2018;22:20:45;;0;-;;
7;Trovan Unique;0006B3A241;09.06.2018;22:20:46;;0;-;;
8;Trovan Unique;0006B3A241;09.06.2018;22:20:49;;0;-;;
9;Trovan Unique;0006B3A241;09.06.2018;22:20:51;;0;-;;
10;Trovan Unique;0006B3A241;09.06.2018;22:20:52;;0;-;;
11;Trovan Unique;0006B3A241;09.06.2018;22:20:53;;0;-;;
12;Trovan Unique;0006B39652;09.06.2018;22:24:24;;0;-;;
13;Trovan Unique;0006B39A11;09.06.2018;22:24:50;;0;-;;
14;Trovan Unique;0006B39A11;09.06.2018;22:24:51;;0;-;;
15;Trovan Unique;0006B39A11;09.06.2018;22:24:52;;0;-;;
16;Trovan Unique;0006B39A11;09.06.2018;22:24:53;;0;-;;
17;Trovan Unique;0006B39A11;09.06.2018;22:24:54;;0;-;;
18;Trovan Unique;0006B39A11;09.06.2018;22:24:55;;0;-;;
19;Trovan Unique;0006CC12F0;09.06.2018;22:26:13;;0;-;;
20;Trovan Unique;0006CC12F0;09.06.2018;22:26:14;;0;-;;
21;Trovan Unique;00074C2037;09.06.2018;22:26:39;;0;-;;
22;Trovan Unique;0006B36684;09.06.2018;22:33:39;;0;-;;
23;Trovan Unique;0006B36684;09.06.2018;22:33:40;;0;-;;
24;Trovan Unique;0006B35F23;10.06.2018;00:59:52;;0;-;;
25;Trovan Unique;0006B35F23;10.06.2018;00:59:53;;0;-;;
26;Trovan Unique;0006B35F23;10.06.2018;00:59:54;;0;-;;
27;Trovan Unique;0006B38ACD;10.06.2018;00:59:55;;0;-;;
28;Trovan Unique;0006B38ACD;10.06.2018;00:59:56;;0;-;;
29;Trovan Unique;0006B38ACD;10.06.2018;00:59:57;;0;-;;
30;Trovan Unique;0006B3B2B6;10.06.2018;01:00:03;;0;-;;
31;Trovan Unique;0006B3B2B6;10.06.2018;01:00:04;;0;-;;
32;Trovan Unique;0006B38ACD;10.06.2018;01:00:12;;0;-;;
33;Trovan Unique;0006B38ACD;10.06.2018;01:00:13;;0;-;;
34;Trovan Unique;0006B38ACD;10.06.2018;01:00:14;;0;-;;
35;Trovan Unique;0006B3B2B6;10.06.2018;01:00:15;;0;-;;
36;Trovan Unique;0006B35F23;10.06.2018;01:00:17;;0;-;;
37;Trovan Unique;0006B35F23;10.06.2018;01:00:18;;0;-;;
38;Trovan Unique;0006B3ADE3;10.06.2018;04:06:11;;0;-;;
39;Trovan Unique;0006B39652;10.06.2018;04:10:49;;0;-;;
40;Trovan Unique;0006B3ADE3;10.06.2018;04:16:03;;0;-;;
41;Trovan Unique;0006B3ADE3;10.06.2018;04:16:04;;0;-;;
42;Trovan Unique;0006B3ADE3;10.06.2018;04:16:05;;0;-;;
43;Trovan Unique;0006B3ADE3;10.06.2018;04:16:06;;0;-;;
44;Trovan Unique;0006B3ADE3;10.06.2018;04:16:38;;0;-;;
45;Trovan Unique;0006B3ADE3;10.06.2018;04:16:39;;0;-;;
46;Trovan Unique;0006B36684;10.06.2018;04:22:59;;0;-;;
47;Trovan Unique;0006B3ADE3;10.06.2018;04:30:10;;0;-;;
48;Trovan Unique;0006B3A241;10.06.2018;04:30:28;;0;-;;
49;Trovan Unique;0006B3A241;10.06.2018;04:30:29;;0;-;;
50;Trovan Unique;00075CD221;10.06.2018;04:31:10;;0;-;;
51;Trovan Unique;0006B3ADE3;10.06.2018;04:47:33;;0;-;;
52;Trovan Unique;0006B3ADE3;10.06.2018;04:47:34;;0;-;;
53;Trovan Unique;0006B3ADE3;10.06.2018;04:47:38;;0;-;;
54;Trovan Unique;0006B3ADE3;10.06.2018;04:47:39;;0;-;;
55;Trovan Unique;0006B3ADE3;10.06.2018;04:47:40;;0;-;;
56;Trovan Unique;0006B3ADE3;10.06.2018;04:47:41;;0;-;;
57;Trovan Unique;0006B3ADE3;10.06.2018;04:47:42;;0;-;;
58;Trovan Unique;0006B3ADE3;10.06.2018;04:47:43;;0;-;;
59;Trovan Unique;0006B3ADE3;10.06.2018;04:47:44;;0;-;;
60;Trovan Unique;0006B3ADE3;10.06.2018;04:47:45;;0;-;;
61;Trovan Unique;0006B39A11;10.06.2018;04:53:46;;0;-;;
62;Trovan Unique;0006B36684;10.06.2018;05:06:55;;0;-;;
63;Trovan Unique;0006B36684;10.06.2018;05:07:03;;0;-;;
64;Trovan Unique;0006B36684;10.06.2018;05:07:14;;0;-;;
65;Trovan Unique;0006B36684;10.06.2018;05:07:17;;0;-;;
66;Trovan Unique;0006B36684;10.06.2018;05:11:39;;0;-;;
