#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3ADE3";14/06/2018;21:50:12;;0;-;;;
1;Trovan Unique;"0006B39A11";14/06/2018;21:54:10;;0;-;;;
2;Trovan Unique;"0006B39A11";14/06/2018;21:54:10;;0;-;;;
3;Trovan Unique;"0006B3A241";14/06/2018;22:00:42;;0;-;;;
4;Trovan Unique;"0006B3A241";14/06/2018;22:00:44;;0;-;;;
5;Trovan Unique;"0006B3A241";14/06/2018;22:00:45;;0;-;;;
6;Trovan Unique;"00075CD221";14/06/2018;22:04:28;;0;-;;;
7;Trovan Unique;"00074C2037";14/06/2018;22:05:01;;0;-;;;
8;Trovan Unique;"0006B39652";14/06/2018;22:05:23;;0;-;;;
9;Trovan Unique;"0006B36684";14/06/2018;22:05:38;;0;-;;;
10;Trovan Unique;"0006CC12F0";14/06/2018;22:15:11;;0;-;;;
11;Trovan Unique;"0006B36684";14/06/2018;22:35:13;;0;-;;;
12;Trovan Unique;"0006B39A11";14/06/2018;22:36:17;;0;-;;;
13;Trovan Unique;"0006B3A241";14/06/2018;22:38:22;;0;-;;;
14;Trovan Unique;"0006B3ADE3";14/06/2018;22:39:39;;0;-;;;
15;Trovan Unique;"0006B3ADE3";14/06/2018;22:47:58;;0;-;;;
16;Trovan Unique;"0006B3ADE3";14/06/2018;22:48:01;;0;-;;;
17;Trovan Unique;"0006B3ADE3";14/06/2018;22:48:02;;0;-;;;
18;Trovan Unique;"0006B3ADE3";14/06/2018;22:48:03;;0;-;;;
19;Trovan Unique;"0006B3ADE3";14/06/2018;22:48:07;;0;-;;;
20;Trovan Unique;"0006B3ADE3";14/06/2018;22:48:07;;0;-;;;
21;Trovan Unique;"0006B3ADE3";14/06/2018;22:48:08;;0;-;;;
22;Trovan Unique;"0006B3ADE3";14/06/2018;22:48:09;;0;-;;;
23;Trovan Unique;"0006B3ADE3";14/06/2018;22:50:05;;0;-;;;
24;Trovan Unique;"0006B3A241";14/06/2018;22:50:40;;0;-;;;
25;Trovan Unique;"0006B3A241";14/06/2018;22:50:41;;0;-;;;
26;Trovan Unique;"0006B3A241";14/06/2018;22:50:42;;0;-;;;
27;Trovan Unique;"0006B3A241";14/06/2018;22:50:43;;0;-;;;
28;Trovan Unique;"0006B3A241";14/06/2018;22:50:44;;0;-;;;
29;Trovan Unique;"0006B3ADE3";14/06/2018;22:51:10;;0;-;;;
30;Trovan Unique;"0006B39A11";14/06/2018;22:54:12;;0;-;;;
31;Trovan Unique;"0006B3ADE3";14/06/2018;22:55:13;;0;-;;;
32;Trovan Unique;"0006B3ADE3";14/06/2018;22:55:14;;0;-;;;
33;Trovan Unique;"0006B3ADE3";14/06/2018;23:20:46;;0;-;;;
34;Trovan Unique;"0006B3A241";14/06/2018;23:34:11;;0;-;;;
35;Trovan Unique;"0006CC12F0";14/06/2018;23:34:15;;0;-;;;
36;Trovan Unique;"0006B36684";14/06/2018;23:46:11;;0;-;;;
