#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
560;Trovan Unique;00075D12AA;15.06.2018;21:38:06;;-;-;;
561;Trovan Unique;0006B36ADC;15.06.2018;21:39:20;;-;-;;
562;Trovan Unique;0006CC287B;15.06.2018;21:42:00;;-;-;;
563;Trovan Unique;00074F9852;15.06.2018;21:43:59;;-;-;;
564;Trovan Unique;0006B34B41;15.06.2018;21:44:00;;-;-;;
565;Trovan Unique;0006CC2D08;15.06.2018;21:49:57;;-;-;;
566;Trovan Unique;0006B36A8D;15.06.2018;21:54:15;;-;-;;
567;Trovan Unique;0006B36ADC;15.06.2018;21:56:25;;-;-;;
568;Trovan Unique;0006B35F23;15.06.2018;21:56:28;;-;-;;
569;Trovan Unique;000783C9A5;15.06.2018;21:56:31;;-;-;;
570;Trovan Unique;00075CC71F;15.06.2018;21:56:34;;-;-;;
571;Trovan Unique;0006B38BB9;15.06.2018;21:56:35;;-;-;;
572;Trovan Unique;00075CEE9E;15.06.2018;21:57:27;;-;-;;
573;Trovan Unique;00075CEE9E;15.06.2018;21:57:28;;-;-;;
574;Trovan Unique;00075CEE9E;15.06.2018;21:57:29;;-;-;;
575;Trovan Unique;00075CEE9E;15.06.2018;21:57:30;;-;-;;
576;Trovan Unique;00075CEE9E;15.06.2018;21:57:32;;-;-;;
577;Trovan Unique;00075CEE9E;15.06.2018;21:57:32;;-;-;;
578;Trovan Unique;00075CEE9E;15.06.2018;21:57:33;;-;-;;
579;Trovan Unique;00075CEE9E;15.06.2018;21:57:34;;-;-;;
580;Trovan Unique;0006CC287B;15.06.2018;21:58:01;;-;-;;
581;Trovan Unique;0006B358D2;15.06.2018;21:58:33;;-;-;;
582;Trovan Unique;00075D12AA;15.06.2018;21:59:28;;-;-;;
583;Trovan Unique;0006B37D1C;15.06.2018;22:02:54;;-;-;;
584;Trovan Unique;0006B38E37;15.06.2018;22:03:25;;-;-;;
585;Trovan Unique;0006B34E3F;15.06.2018;22:05:33;;-;-;;
586;Trovan Unique;0007872B0E;15.06.2018;22:07:08;;-;-;;
587;Trovan Unique;0007872B0E;15.06.2018;22:07:09;;-;-;;
588;Trovan Unique;0006B358D2;15.06.2018;22:07:13;;-;-;;
589;Trovan Unique;00075B26F3;15.06.2018;22:07:52;;-;-;;
590;Trovan Unique;00075B274F;15.06.2018;22:09:19;;-;-;;
591;Trovan Unique;0006B3A9DA;15.06.2018;22:09:22;;-;-;;
592;Trovan Unique;0006B3B45F;15.06.2018;22:10:29;;-;-;;
593;Trovan Unique;0006B37D1C;15.06.2018;22:11:24;;-;-;;
594;Trovan Unique;0006B37D1C;15.06.2018;22:11:25;;-;-;;
595;Trovan Unique;0006B36ADC;15.06.2018;22:13:50;;-;-;;
596;Trovan Unique;0006B387FA;15.06.2018;22:15:18;;-;-;;
597;Trovan Unique;0006B39504;15.06.2018;22:16:54;;-;-;;
598;Trovan Unique;00074BD719;15.06.2018;22:17:39;;-;-;;
599;Trovan Unique;0006B39CDF;15.06.2018;22:19:04;;-;-;;
600;Trovan Unique;00075B67A9;15.06.2018;22:19:20;;-;-;;
601;Trovan Unique;0006B38933;15.06.2018;22:20:19;;-;-;;
602;Trovan Unique;0006B397F6;15.06.2018;22:20:56;;-;-;;
603;Trovan Unique;0006B3A610;15.06.2018;22:21:16;;-;-;;
604;Trovan Unique;0006B3B45F;15.06.2018;22:22:12;;-;-;;
605;Trovan Unique;00075CFEF0;15.06.2018;22:22:18;;-;-;;
606;Trovan Unique;0006B3A610;15.06.2018;22:24:02;;-;-;;
607;Trovan Unique;0006B358D2;15.06.2018;22:24:27;;-;-;;
608;Trovan Unique;0006B358D2;15.06.2018;22:24:28;;-;-;;
609;Trovan Unique;0006B3B45F;15.06.2018;22:24:52;;-;-;;
610;Trovan Unique;0006B39D6F;15.06.2018;22:26:37;;-;-;;
611;Trovan Unique;00075B26F3;15.06.2018;22:27:44;;-;-;;
612;Trovan Unique;00074BD719;15.06.2018;22:27:45;;-;-;;
613;Trovan Unique;0006B3B2B6;15.06.2018;22:29:31;;-;-;;
614;Trovan Unique;0006B39D6F;15.06.2018;22:30:38;;-;-;;
615;Trovan Unique;0006B3B45F;15.06.2018;22:30:59;;-;-;;
616;Trovan Unique;0006B37D1C;15.06.2018;22:31:28;;-;-;;
617;Trovan Unique;0006B39D6F;15.06.2018;22:35:14;;-;-;;
618;Trovan Unique;0006B397F6;15.06.2018;22:35:32;;-;-;;
619;Trovan Unique;00075CDD9A;15.06.2018;22:36:40;;-;-;;
620;Trovan Unique;0006CC199B;15.06.2018;22:37:39;;-;-;;
621;Trovan Unique;0006CC199B;15.06.2018;22:37:40;;-;-;;
622;Trovan Unique;0006B39D6F;15.06.2018;22:40:02;;-;-;;
623;Trovan Unique;0006B36A8D;15.06.2018;22:46:21;;-;-;;
624;Trovan Unique;00075CEE9E;15.06.2018;22:46:42;;-;-;;
625;Trovan Unique;00075CEE9E;15.06.2018;22:46:43;;-;-;;
626;Trovan Unique;00075CEE9E;15.06.2018;22:46:44;;-;-;;
627;Trovan Unique;00075CEE9E;15.06.2018;22:46:45;;-;-;;
628;Trovan Unique;00075B26F3;15.06.2018;22:48:20;;-;-;;
629;Trovan Unique;0006B3A272;15.06.2018;22:48:39;;-;-;;
630;Trovan Unique;0006B36A8D;15.06.2018;22:49:44;;-;-;;
631;Trovan Unique;0006B36A8D;15.06.2018;22:51:08;;-;-;;
632;Trovan Unique;00075B6E70;15.06.2018;22:52:02;;-;-;;
633;Trovan Unique;000783C9A5;15.06.2018;22:52:06;;-;-;;
634;Trovan Unique;00075CDD9A;15.06.2018;22:52:33;;-;-;;
635;Trovan Unique;0006CC08AD;15.06.2018;22:53:00;;-;-;;
636;Trovan Unique;0006CC08AD;15.06.2018;22:53:01;;-;-;;
637;Trovan Unique;0006CC08AD;15.06.2018;22:53:02;;-;-;;
638;Trovan Unique;0006CC08AD;15.06.2018;22:53:04;;-;-;;
639;Trovan Unique;00075B2A5D;15.06.2018;22:53:38;;-;-;;
640;Trovan Unique;00074F9852;15.06.2018;22:54:13;;-;-;;
641;Trovan Unique;0006CC1F85;15.06.2018;22:54:30;;-;-;;
642;Trovan Unique;0006CC1F85;15.06.2018;22:55:08;;-;-;;
643;Trovan Unique;00075B6E70;15.06.2018;22:55:50;;-;-;;
644;Trovan Unique;0006CC199B;15.06.2018;22:56:21;;-;-;;
645;Trovan Unique;00074BD719;15.06.2018;22:56:22;;-;-;;
646;Trovan Unique;00074F9852;15.06.2018;22:57:47;;-;-;;
647;Trovan Unique;00075B26F3;15.06.2018;22:58:00;;-;-;;
648;Trovan Unique;00075CEE9E;15.06.2018;22:58:32;;-;-;;
649;Trovan Unique;00075CEE9E;15.06.2018;22:58:33;;-;-;;
650;Trovan Unique;00074BD719;15.06.2018;22:59:01;;-;-;;
651;Trovan Unique;0006B37F93;15.06.2018;22:59:58;;-;-;;
652;Trovan Unique;00074BD719;15.06.2018;23:00:37;;-;-;;
653;Trovan Unique;00074BD719;15.06.2018;23:00:38;;-;-;;
654;Trovan Unique;0006B37F93;15.06.2018;23:00:57;;-;-;;
655;Trovan Unique;0006CC1687;15.06.2018;23:02:40;;-;-;;
656;Trovan Unique;0006CC08AD;15.06.2018;23:03:56;;-;-;;
657;Trovan Unique;0006CC1F85;15.06.2018;23:06:25;;-;-;;
658;Trovan Unique;00074F9852;15.06.2018;23:09:57;;-;-;;
659;Trovan Unique;00075D0BFD;15.06.2018;23:12:37;;-;-;;
660;Trovan Unique;00075B6E70;15.06.2018;23:13:27;;-;-;;
661;Trovan Unique;00074F9852;15.06.2018;23:15:24;;-;-;;
662;Trovan Unique;00075B26F3;15.06.2018;23:18:12;;-;-;;
663;Trovan Unique;0006B3A610;15.06.2018;23:18:41;;-;-;;
664;Trovan Unique;00075B26F3;15.06.2018;23:18:50;;-;-;;
665;Trovan Unique;0006B3A610;15.06.2018;23:20:44;;-;-;;
666;Trovan Unique;00075B6E70;15.06.2018;23:27:08;;-;-;;
667;Trovan Unique;0006B3A610;15.06.2018;23:28:46;;-;-;;
668;Trovan Unique;00075B26F3;15.06.2018;23:34:23;;-;-;;
669;Trovan Unique;00075B26F3;15.06.2018;23:34:24;;-;-;;
670;Trovan Unique;0006B38933;15.06.2018;23:38:37;;-;-;;
671;Trovan Unique;0006B38933;15.06.2018;23:49:37;;-;-;;
672;Trovan Unique;0006B38933;15.06.2018;23:49:38;;-;-;;
673;Trovan Unique;0006B39D6F;15.06.2018;23:55:03;;-;-;;
674;Trovan Unique;0006B39D6F;15.06.2018;23:55:05;;-;-;;
675;Trovan Unique;0006CC1F85;15.06.2018;23:55:06;;-;-;;
676;Trovan Unique;0006B371D7;15.06.2018;23:55:21;;-;-;;
677;Trovan Unique;00075CDD9A;15.06.2018;23:55:29;;-;-;;
678;Trovan Unique;00075B2A5D;15.06.2018;23:55:30;;-;-;;
679;Trovan Unique;00075CDD9A;15.06.2018;23:56:38;;-;-;;
680;Trovan Unique;00075CC71F;15.06.2018;23:57:37;;-;-;;
681;Trovan Unique;0006B39D6F;16.06.2018;00:00:44;;-;-;;
682;Trovan Unique;0006B3B2B6;16.06.2018;00:00:56;;-;-;;
683;Trovan Unique;0006CC1F85;16.06.2018;00:01:02;;-;-;;
684;Trovan Unique;0006CC1F85;16.06.2018;00:01:03;;-;-;;
685;Trovan Unique;0006CC1F85;16.06.2018;00:01:04;;-;-;;
686;Trovan Unique;0006CC1F85;16.06.2018;00:01:05;;-;-;;
687;Trovan Unique;0006CC1F85;16.06.2018;00:01:06;;-;-;;
688;Trovan Unique;0006B37D1C;16.06.2018;00:01:07;;-;-;;
689;Trovan Unique;0006B37D1C;16.06.2018;00:01:08;;-;-;;
690;Trovan Unique;0006CC1F85;16.06.2018;00:01:09;;-;-;;
691;Trovan Unique;0006CC1F85;16.06.2018;00:01:12;;-;-;;
692;Trovan Unique;0006CC1F85;16.06.2018;00:01:13;;-;-;;
693;Trovan Unique;0006CC1F85;16.06.2018;00:01:21;;-;-;;
694;Trovan Unique;0006CC08AD;16.06.2018;00:01:22;;-;-;;
695;Trovan Unique;000783C9A5;16.06.2018;00:04:30;;-;-;;
696;Trovan Unique;0006B35F23;16.06.2018;00:04:32;;-;-;;
697;Trovan Unique;0006B35F23;16.06.2018;00:08:14;;-;-;;
698;Trovan Unique;0006B3B2B6;16.06.2018;00:10:27;;-;-;;
699;Trovan Unique;0006B371D7;16.06.2018;00:11:43;;-;-;;
700;Trovan Unique;0006CC287B;16.06.2018;00:16:23;;-;-;;
701;Trovan Unique;0006B3B2B6;16.06.2018;00:18:10;;-;-;;
702;Trovan Unique;0006B34E3F;16.06.2018;00:19:32;;-;-;;
703;Trovan Unique;0006B3A272;16.06.2018;00:23:53;;-;-;;
704;Trovan Unique;0006B39504;16.06.2018;00:23:54;;-;-;;
705;Trovan Unique;0006B39504;16.06.2018;00:23:55;;-;-;;
706;Trovan Unique;0006B39504;16.06.2018;00:23:56;;-;-;;
707;Trovan Unique;0006B371D7;16.06.2018;00:23:57;;-;-;;
708;Trovan Unique;00075D12AA;16.06.2018;00:25:10;;-;-;;
709;Trovan Unique;0006B387FA;16.06.2018;00:25:17;;-;-;;
710;Trovan Unique;0006CC287B;16.06.2018;00:25:28;;-;-;;
711;Trovan Unique;0006CC287B;16.06.2018;00:25:29;;-;-;;
712;Trovan Unique;0006B34B41;16.06.2018;00:26:39;;-;-;;
713;Trovan Unique;0006B358D2;16.06.2018;00:26:40;;-;-;;
714;Trovan Unique;000786A535;16.06.2018;00:31:03;;-;-;;
715;Trovan Unique;00075D12AA;16.06.2018;00:32:34;;-;-;;
716;Trovan Unique;0006B358D2;16.06.2018;00:32:35;;-;-;;
717;Trovan Unique;0006B38933;16.06.2018;00:32:53;;-;-;;
718;Trovan Unique;0006B38933;16.06.2018;00:32:54;;-;-;;
719;Trovan Unique;0006B354E6;16.06.2018;00:34:01;;-;-;;
720;Trovan Unique;0006B36A8D;16.06.2018;00:34:42;;-;-;;
721;Trovan Unique;0006B34B41;16.06.2018;00:35:39;;-;-;;
722;Trovan Unique;0006B387FA;16.06.2018;00:36:17;;-;-;;
723;Trovan Unique;0006B387FA;16.06.2018;00:36:19;;-;-;;
724;Trovan Unique;0006B387FA;16.06.2018;00:36:20;;-;-;;
725;Trovan Unique;0006B387FA;16.06.2018;00:36:22;;-;-;;
726;Trovan Unique;0006B387FA;16.06.2018;00:36:23;;-;-;;
727;Trovan Unique;0006B387FA;16.06.2018;00:36:24;;-;-;;
728;Trovan Unique;0006B387FA;16.06.2018;00:36:25;;-;-;;
729;Trovan Unique;00075B6E70;16.06.2018;00:37:14;;-;-;;
730;Trovan Unique;0006CC199B;16.06.2018;00:37:48;;-;-;;
731;Trovan Unique;00075D12AA;16.06.2018;00:41:13;;-;-;;
732;Trovan Unique;00075D12AA;16.06.2018;00:41:14;;-;-;;
733;Trovan Unique;0006B36A8D;16.06.2018;00:41:57;;-;-;;
734;Trovan Unique;0006B36A8D;16.06.2018;00:41:58;;-;-;;
735;Trovan Unique;0006B36A8D;16.06.2018;00:41:59;;-;-;;
736;Trovan Unique;0006B34B41;16.06.2018;00:42:00;;-;-;;
737;Trovan Unique;0006B354E6;16.06.2018;00:45:45;;-;-;;
738;Trovan Unique;0006B354E6;16.06.2018;00:45:46;;-;-;;
739;Trovan Unique;0006CC1687;16.06.2018;00:47:34;;-;-;;
740;Trovan Unique;0006B34B41;16.06.2018;00:48:36;;-;-;;
741;Trovan Unique;0006B34B41;16.06.2018;00:48:37;;-;-;;
742;Trovan Unique;0006B39D6F;16.06.2018;00:49:48;;-;-;;
743;Trovan Unique;0007872B0E;16.06.2018;00:51:54;;-;-;;
744;Trovan Unique;0006B39D6F;16.06.2018;00:52:32;;-;-;;
745;Trovan Unique;0006B354E6;16.06.2018;00:54:31;;-;-;;
746;Trovan Unique;7,88E+18;16.06.2018;00:54:47;;-;-;;
747;Trovan Unique;0006CC1F85;16.06.2018;00:56:25;;-;-;;
748;Trovan Unique;0006CC1F85;16.06.2018;00:56:26;;-;-;;
749;Trovan Unique;0006B39D6F;16.06.2018;00:57:00;;-;-;;
750;Trovan Unique;0006B3A610;16.06.2018;00:58:02;;-;-;;
751;Trovan Unique;00075CE5CF;16.06.2018;00:58:04;;-;-;;
752;Trovan Unique;0006B39D6F;16.06.2018;00:58:25;;-;-;;
753;Trovan Unique;0006B39D6F;16.06.2018;00:58:26;;-;-;;
754;Trovan Unique;00075B274F;16.06.2018;00:59:36;;-;-;;
755;Trovan Unique;00075B274F;16.06.2018;00:59:37;;-;-;;
756;Trovan Unique;00075B274F;16.06.2018;00:59:38;;-;-;;
757;Trovan Unique;00075B274F;16.06.2018;00:59:39;;-;-;;
758;Trovan Unique;00075B67A9;16.06.2018;01:01:53;;-;-;;
759;Trovan Unique;00075B67A9;16.06.2018;01:01:54;;-;-;;
760;Trovan Unique;0006B3A610;16.06.2018;01:08:10;;-;-;;
761;Trovan Unique;0006B358D2;16.06.2018;01:08:21;;-;-;;
762;Trovan Unique;0006B358D2;16.06.2018;01:08:22;;-;-;;
763;Trovan Unique;0006B358D2;16.06.2018;01:08:23;;-;-;;
764;Trovan Unique;0006B358D2;16.06.2018;01:08:24;;-;-;;
765;Trovan Unique;0006B358D2;16.06.2018;01:08:25;;-;-;;
766;Trovan Unique;0006B358D2;16.06.2018;01:08:26;;-;-;;
767;Trovan Unique;0006B358D2;16.06.2018;01:08:27;;-;-;;
768;Trovan Unique;0006B358D2;16.06.2018;01:08:28;;-;-;;
769;Trovan Unique;0006B358D2;16.06.2018;01:08:29;;-;-;;
770;Trovan Unique;0006B358D2;16.06.2018;01:08:30;;-;-;;
771;Trovan Unique;0006B358D2;16.06.2018;01:08:31;;-;-;;
772;Trovan Unique;0006B358D2;16.06.2018;01:08:32;;-;-;;
773;Trovan Unique;0006B3A610;16.06.2018;01:08:46;;-;-;;
774;Trovan Unique;0006B3A610;16.06.2018;01:09:24;;-;-;;
775;Trovan Unique;00075B274F;16.06.2018;01:10:30;;-;-;;
776;Trovan Unique;00074F9852;16.06.2018;01:11:39;;-;-;;
777;Trovan Unique;00075B274F;16.06.2018;01:12:08;;-;-;;
778;Trovan Unique;00075B274F;16.06.2018;01:12:10;;-;-;;
779;Trovan Unique;00075B274F;16.06.2018;01:12:11;;-;-;;
780;Trovan Unique;0006B3A610;16.06.2018;01:12:21;;-;-;;
781;Trovan Unique;0006B3A610;16.06.2018;01:12:22;;-;-;;
782;Trovan Unique;00075CE5CF;16.06.2018;01:13:08;;-;-;;
783;Trovan Unique;00075B67A9;16.06.2018;01:13:18;;-;-;;
784;Trovan Unique;00074F9852;16.06.2018;01:14:25;;-;-;;
785;Trovan Unique;00074F9852;16.06.2018;01:14:26;;-;-;;
786;Trovan Unique;00074F9852;16.06.2018;01:14:29;;-;-;;
787;Trovan Unique;00074F9852;16.06.2018;01:14:30;;-;-;;
788;Trovan Unique;00075B67A9;16.06.2018;01:21:39;;-;-;;
789;Trovan Unique;0006CC287B;16.06.2018;01:26:08;;-;-;;
790;Trovan Unique;0006B371D7;16.06.2018;01:29:17;;-;-;;
791;Trovan Unique;0006B371D7;16.06.2018;01:29:18;;-;-;;
792;Trovan Unique;0006CC3BE1;16.06.2018;01:31:37;;-;-;;
793;Trovan Unique;0006CC3B21;16.06.2018;01:31:43;;-;-;;
794;Trovan Unique;0006B38977;16.06.2018;01:34:29;;-;-;;
795;Trovan Unique;0006CC287B;16.06.2018;01:35:41;;-;-;;
796;Trovan Unique;0006B38977;16.06.2018;01:36:01;;-;-;;
797;Trovan Unique;7,88E+18;16.06.2018;01:36:24;;-;-;;
798;Trovan Unique;0006B371D7;16.06.2018;01:37:03;;-;-;;
799;Trovan Unique;0006B371D7;16.06.2018;01:37:08;;-;-;;
800;Trovan Unique;0006B371D7;16.06.2018;01:37:15;;-;-;;
801;Trovan Unique;0006B371D7;16.06.2018;01:37:17;;-;-;;
802;Trovan Unique;0006B371D7;16.06.2018;01:37:18;;-;-;;
803;Trovan Unique;0006B371D7;16.06.2018;01:37:20;;-;-;;
804;Trovan Unique;0006B371D7;16.06.2018;01:37:25;;-;-;;
805;Trovan Unique;0006B371D7;16.06.2018;01:37:26;;-;-;;
806;Trovan Unique;0006B371D7;16.06.2018;01:37:28;;-;-;;
807;Trovan Unique;0006B371D7;16.06.2018;01:37:29;;-;-;;
808;Trovan Unique;0006B371D7;16.06.2018;01:37:30;;-;-;;
809;Trovan Unique;0006B371D7;16.06.2018;01:37:31;;-;-;;
810;Trovan Unique;0006B371D7;16.06.2018;01:37:32;;-;-;;
811;Trovan Unique;0006B371D7;16.06.2018;01:37:33;;-;-;;
812;Trovan Unique;0006B371D7;16.06.2018;01:37:34;;-;-;;
813;Trovan Unique;0006B371D7;16.06.2018;01:37:35;;-;-;;
814;Trovan Unique;0006B371D7;16.06.2018;01:37:36;;-;-;;
815;Trovan Unique;0006B371D7;16.06.2018;01:37:37;;-;-;;
816;Trovan Unique;0006B371D7;16.06.2018;01:37:38;;-;-;;
817;Trovan Unique;0006B371D7;16.06.2018;01:37:39;;-;-;;
818;Trovan Unique;0006B371D7;16.06.2018;01:37:39;;-;-;;
819;Trovan Unique;0006B371D7;16.06.2018;01:37:40;;-;-;;
820;Trovan Unique;0006B371D7;16.06.2018;01:37:41;;-;-;;
821;Trovan Unique;0006B371D7;16.06.2018;01:37:43;;-;-;;
822;Trovan Unique;0006B371D7;16.06.2018;01:37:44;;-;-;;
823;Trovan Unique;0006B371D7;16.06.2018;01:37:45;;-;-;;
824;Trovan Unique;0006B371D7;16.06.2018;01:37:46;;-;-;;
825;Trovan Unique;0006B371D7;16.06.2018;01:37:47;;-;-;;
826;Trovan Unique;0006B371D7;16.06.2018;01:37:48;;-;-;;
