#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3A241";18.06.2018;21:41:20;;0;-;;;
1;Trovan Unique;"0006B39652";18.06.2018;21:42:25;;0;-;;;
2;Trovan Unique;"0006B36684";18.06.2018;21:45:12;;0;-;;;
3;Trovan Unique;"0006CC12F0";18.06.2018;21:46:19;;0;-;;;
4;Trovan Unique;"0006B3ADE3";18.06.2018;21:46:27;;0;-;;;
5;Trovan Unique;"0006B39A11";18.06.2018;21:53:31;;0;-;;;
6;Trovan Unique;"00075CD221";18.06.2018;22:05:52;;0;-;;;
7;Trovan Unique;"0006B3A241";18.06.2018;22:24:24;;0;-;;;
8;Trovan Unique;"0006B36684";18.06.2018;22:32:48;;0;-;;;
9;Trovan Unique;"0006B36684";18.06.2018;22:32:50;;0;-;;;
10;Trovan Unique;"0006B36684";18.06.2018;22:32:52;;0;-;;;
11;Trovan Unique;"0006B36684";18.06.2018;22:32:53;;0;-;;;
12;Trovan Unique;"0006B36684";18.06.2018;22:32:54;;0;-;;;
13;Trovan Unique;"0006B3A241";18.06.2018;22:41:42;;0;-;;;
14;Trovan Unique;"0006B3A241";18.06.2018;22:41:43;;0;-;;;
15;Trovan Unique;"0006B39A11";18.06.2018;22:54:35;;0;-;;;
16;Trovan Unique;"0006B36684";18.06.2018;22:58:36;;0;-;;;
17;Trovan Unique;"0006B39A11";18.06.2018;23:10:54;;0;-;;;
18;Trovan Unique;"0006B39A11";18.06.2018;23:10:55;;0;-;;;
19;Trovan Unique;"0006B39A11";18.06.2018;23:10:56;;0;-;;;
20;Trovan Unique;"0006B39A11";18.06.2018;23:10:57;;0;-;;;
21;Trovan Unique;"0006B39A11";18.06.2018;23:10:58;;0;-;;;
22;Trovan Unique;"0006B36684";18.06.2018;23:16:35;;0;-;;;
23;Trovan Unique;"0006B3A241";18.06.2018;23:28:08;;0;-;;;
24;Trovan Unique;"0006B36684";18.06.2018;23:39:47;;0;-;;;
25;Trovan Unique;"0006B39A11";18.06.2018;23:54:43;;0;-;;;
26;Trovan Unique;"0006B3ADE3";18.06.2018;23:57:27;;0;-;;;
27;Trovan Unique;"0006B3ADE3";18.06.2018;23:57:28;;0;-;;;
28;Trovan Unique;"0006B3ADE3";18.06.2018;23:57:29;;0;-;;;
29;Trovan Unique;"0006CC12F0";19.06.2018;00:00:33;;0;-;;;
30;Trovan Unique;"0006B39A11";19.06.2018;00:06:56;;0;-;;;
31;Trovan Unique;"0006B39A11";19.06.2018;00:06:57;;0;-;;;
32;Trovan Unique;"0006B36684";19.06.2018;00:07:27;;0;-;;;
33;Trovan Unique;"0006B3A241";19.06.2018;00:11:47;;0;-;;;
34;Trovan Unique;"0006B3A241";19.06.2018;00:11:48;;0;-;;;
35;Trovan Unique;"0006B39652";19.06.2018;00:20:47;;0;-;;;
36;Trovan Unique;"0006B36684";19.06.2018;00:36:05;;0;-;;;
37;Trovan Unique;"0006B3ADE3";19.06.2018;00:36:57;;0;-;;;
38;Trovan Unique;"0006B3A241";19.06.2018;00:50:10;;0;-;;;
39;Trovan Unique;"0006B3A241";19.06.2018;01:16:48;;0;-;;;
40;Trovan Unique;"0006B3A241";19.06.2018;01:16:49;;0;-;;;
41;Trovan Unique;"0006B36684";19.06.2018;01:26:01;;0;-;;;
42;Trovan Unique;"0006B36684";19.06.2018;01:26:02;;0;-;;;
43;Trovan Unique;"0006B3ADE3";19.06.2018;01:26:38;;0;-;;;
44;Trovan Unique;"0006B3ADE3";19.06.2018;01:26:39;;0;-;;;
45;Trovan Unique;"0006B36684";19.06.2018;01:29:34;;0;-;;;
46;Trovan Unique;"0006CC12F0";19.06.2018;01:32:05;;0;-;;;
47;Trovan Unique;"0006B3A241";19.06.2018;01:41:37;;0;-;;;
48;Trovan Unique;"0006B3A241";19.06.2018;01:41:38;;0;-;;;
49;Trovan Unique;"0006B39A11";19.06.2018;02:03:11;;0;-;;;
50;Trovan Unique;"0006B3A241";19.06.2018;02:19:34;;0;-;;;
51;Trovan Unique;"0006B3ADE3";19.06.2018;02:26:19;;0;-;;;
52;Trovan Unique;"0006B39A11";19.06.2018;02:27:05;;0;-;;;
53;Trovan Unique;"0006B39A11";19.06.2018;02:27:05;;0;-;;;
54;Trovan Unique;"0006B39A11";19.06.2018;02:27:06;;0;-;;;
55;Trovan Unique;"0006B36684";19.06.2018;02:28:53;;0;-;;;
56;Trovan Unique;"0006B36684";19.06.2018;02:28:54;;0;-;;;
57;Trovan Unique;"0006B39652";19.06.2018;02:36:16;;0;-;;;
58;Trovan Unique;"0006B3ADE3";19.06.2018;03:01:12;;0;-;;;
59;Trovan Unique;"0006B3ADE3";19.06.2018;03:08:20;;0;-;;;
60;Trovan Unique;"0006B3ADE3";19.06.2018;03:08:21;;0;-;;;
61;Trovan Unique;"0006CC12F0";19.06.2018;03:08:58;;0;-;;;
62;Trovan Unique;"0006B3A241";19.06.2018;03:11:28;;0;-;;;
63;Trovan Unique;"0006B3A241";19.06.2018;03:34:33;;0;-;;;
64;Trovan Unique;"0006B36684";19.06.2018;03:34:44;;0;-;;;
65;Trovan Unique;"0006B39A11";19.06.2018;04:26:44;;0;-;;;
66;Trovan Unique;"00075CD221";19.06.2018;04:41:36;;0;-;;;
67;Trovan Unique;"0006B36684";19.06.2018;04:45:02;;0;-;;;
