#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3A241";19.06.2018;21:44:48;;0;-;;;
1;Trovan Unique;"0006B39652";19.06.2018;21:46:51;;0;-;;;
2;Trovan Unique;"0006B36684";19.06.2018;21:49:11;;0;-;;;
3;Trovan Unique;"0006B3ADE3";19.06.2018;21:50:23;;0;-;;;
4;Trovan Unique;"0006CC12F0";19.06.2018;21:55:14;;0;-;;;
5;Trovan Unique;"0006B39A11";19.06.2018;21:55:19;;0;-;;;
6;Trovan Unique;"00075CD221";19.06.2018;21:58:05;;0;-;;;
7;Trovan Unique;"0006B36684";19.06.2018;22:39:47;;0;-;;;
8;Trovan Unique;"0006B36684";19.06.2018;22:41:17;;0;-;;;
9;Trovan Unique;"0006B36684";19.06.2018;22:41:18;;0;-;;;
10;Trovan Unique;"0006B36684";19.06.2018;22:41:19;;0;-;;;
11;Trovan Unique;"00075CD221";19.06.2018;22:48:59;;0;-;;;
12;Trovan Unique;"00075CD221";19.06.2018;22:49:09;;0;-;;;
13;Trovan Unique;"00075CD221";19.06.2018;23:17:20;;0;-;;;
14;Trovan Unique;"0006B39652";19.06.2018;23:29:31;;0;-;;;
15;Trovan Unique;"0006B3A241";19.06.2018;23:32:18;;0;-;;;
16;Trovan Unique;"0006B3A241";19.06.2018;23:37:08;;0;-;;;
17;Trovan Unique;"0006B3A241";19.06.2018;23:37:09;;0;-;;;
18;Trovan Unique;"0006B3A241";19.06.2018;23:37:10;;0;-;;;
19;Trovan Unique;"0006B3A241";19.06.2018;23:37:11;;0;-;;;
20;Trovan Unique;"0006B3A241";19.06.2018;23:37:12;;0;-;;;
21;Trovan Unique;"0006B3A241";19.06.2018;23:37:13;;0;-;;;
22;Trovan Unique;"0006B3A241";19.06.2018;23:37:13;;0;-;;;
23;Trovan Unique;"0006B3A241";19.06.2018;23:37:14;;0;-;;;
24;Trovan Unique;"0006B3A241";19.06.2018;23:37:15;;0;-;;;
25;Trovan Unique;"0006B39652";19.06.2018;23:52:21;;0;-;;;
26;Trovan Unique;"0006B39652";19.06.2018;23:52:43;;0;-;;;
27;Trovan Unique;"0006B39652";19.06.2018;23:52:44;;0;-;;;
28;Trovan Unique;"0006B39652";19.06.2018;23:57:06;;0;-;;;
29;Trovan Unique;"0006B39652";19.06.2018;23:57:08;;0;-;;;
