#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B39652";23.06.2018;21:33:09;;0;-;;;
1;Trovan Unique;"0006B39652";23.06.2018;21:33:13;;0;-;;;
2;Trovan Unique;"0006B39652";23.06.2018;21:33:13;;0;-;;;
3;Trovan Unique;"0006B39652";23.06.2018;21:33:15;;0;-;;;
4;Trovan Unique;"0006B39652";23.06.2018;21:33:16;;0;-;;;
5;Trovan Unique;"0006B39652";23.06.2018;21:33:17;;0;-;;;
6;Trovan Unique;"0006B39652";23.06.2018;21:33:18;;0;-;;;
7;Trovan Unique;"0006B39652";23.06.2018;21:33:19;;0;-;;;
8;Trovan Unique;"0006B39652";23.06.2018;21:33:20;;0;-;;;
9;Trovan Unique;"0006B39652";23.06.2018;21:33:21;;0;-;;;
10;Trovan Unique;"00075CD221";23.06.2018;21:36:13;;0;-;;;
11;Trovan Unique;"00075CD221";23.06.2018;21:36:15;;0;-;;;
12;Trovan Unique;"0006B3A241";23.06.2018;21:44:56;;0;-;;;
13;Trovan Unique;"0006B3A241";23.06.2018;21:44:57;;0;-;;;
14;Trovan Unique;"0006B3A241";23.06.2018;21:44:58;;0;-;;;
15;Trovan Unique;"0006B3A241";23.06.2018;21:44:59;;0;-;;;
16;Trovan Unique;"0006B3A241";23.06.2018;21:45:00;;0;-;;;
17;Trovan Unique;"0006B3A241";23.06.2018;21:45:01;;0;-;;;
18;Trovan Unique;"0006B3A241";23.06.2018;21:45:02;;0;-;;;
19;Trovan Unique;"0006B3A241";23.06.2018;21:45:02;;0;-;;;
20;Trovan Unique;"0006B3A241";23.06.2018;21:45:03;;0;-;;;
21;Trovan Unique;"0006B3A241";23.06.2018;21:45:04;;0;-;;;
22;Trovan Unique;"0006B3A241";23.06.2018;21:45:05;;0;-;;;
23;Trovan Unique;"0006B3A241";23.06.2018;21:45:08;;0;-;;;
24;Trovan Unique;"0006B3A241";23.06.2018;21:45:09;;0;-;;;
25;Trovan Unique;"0006B3A241";23.06.2018;21:45:09;;0;-;;;
26;Trovan Unique;"0006B3A241";23.06.2018;21:45:11;;0;-;;;
27;Trovan Unique;"0006B3A241";23.06.2018;21:45:12;;0;-;;;
28;Trovan Unique;"0006B3A241";23.06.2018;21:45:13;;0;-;;;
29;Trovan Unique;"0006B3A241";23.06.2018;21:45:14;;0;-;;;
30;Trovan Unique;"0006B3A241";23.06.2018;21:45:15;;0;-;;;
31;Trovan Unique;"00075CD221";23.06.2018;21:45:57;;0;-;;;
32;Trovan Unique;"0006B36684";23.06.2018;21:48:33;;0;-;;;
33;Trovan Unique;"0006B39A11";23.06.2018;21:57:26;;0;-;;;
34;Trovan Unique;"0006B39A11";23.06.2018;21:57:27;;0;-;;;
35;Trovan Unique;"0006B39A11";23.06.2018;21:57:27;;0;-;;;
36;Trovan Unique;"0006B39A11";23.06.2018;21:57:28;;0;-;;;
37;Trovan Unique;"0006B39A11";23.06.2018;21:57:29;;0;-;;;
38;Trovan Unique;"0006B39A11";23.06.2018;21:57:30;;0;-;;;
39;Trovan Unique;"0006B3ADE3";23.06.2018;21:57:41;;0;-;;;
40;Trovan Unique;"00074C2037";23.06.2018;22:03:20;;0;-;;;
41;Trovan Unique;"00075CD221";23.06.2018;23:05:22;;0;-;;;
42;Trovan Unique;"0006CC12F0";23.06.2018;23:51:40;;0;-;;;
43;Trovan Unique;"0006B3ADE3";24.06.2018;00:09:30;;0;-;;;
44;Trovan Unique;"0006B3ADE3";24.06.2018;00:09:31;;0;-;;;
45;Trovan Unique;"0006B39652";24.06.2018;00:15:26;;0;-;;;
46;Trovan Unique;"0006B3ADE3";24.06.2018;00:43:18;;0;-;;;
47;Trovan Unique;"0006B39A11";24.06.2018;00:54:50;;0;-;;;
