#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
66;Trovan Unique;0006B39652;15.07.2018;21:00:12;;0;-;;
67;Trovan Unique;0006B39652;15.07.2018;21:00:13;;0;-;;
68;Trovan Unique;0006B39652;15.07.2018;21:00:14;;0;-;;
69;Trovan Unique;0006B39652;15.07.2018;21:00:15;;0;-;;
70;Trovan Unique;0006B39652;15.07.2018;21:00:16;;0;-;;
71;Trovan Unique;0006B39652;15.07.2018;21:00:16;;0;-;;
72;Trovan Unique;0006B39652;15.07.2018;21:00:17;;0;-;;
73;Trovan Unique;0006B39652;15.07.2018;21:00:18;;0;-;;
74;Trovan Unique;0006B39652;15.07.2018;21:00:19;;0;-;;
75;Trovan Unique;0006B39652;15.07.2018;21:00:20;;0;-;;
76;Trovan Unique;0006B39652;15.07.2018;21:06:05;;0;-;;
77;Trovan Unique;0006B39652;15.07.2018;21:06:11;;0;-;;
78;Trovan Unique;0006B39652;15.07.2018;21:06:12;;0;-;;
79;Trovan Unique;0006B39652;15.07.2018;21:06:13;;0;-;;
80;Trovan Unique;0006B39652;15.07.2018;21:06:14;;0;-;;
81;Trovan Unique;0006B39652;15.07.2018;21:06:15;;0;-;;
82;Trovan Unique;0006B39652;15.07.2018;21:06:16;;0;-;;
83;Trovan Unique;0006B39652;15.07.2018;21:06:25;;0;-;;
84;Trovan Unique;0006B39652;15.07.2018;21:06:27;;0;-;;
85;Trovan Unique;0006B39652;15.07.2018;21:06:29;;0;-;;
86;Trovan Unique;0006B39652;15.07.2018;21:06:30;;0;-;;
87;Trovan Unique;0006B3A241;15.07.2018;21:15:01;;0;-;;
88;Trovan Unique;0006B3A241;15.07.2018;21:15:02;;0;-;;
89;Trovan Unique;0006B3A241;15.07.2018;21:15:02;;0;-;;
90;Trovan Unique;0006B3A241;15.07.2018;21:15:03;;0;-;;
91;Trovan Unique;0006B3A241;15.07.2018;21:15:04;;0;-;;
