#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"000799E1BA";14/08/2018;21:21:33;;0;-;;;
1;Trovan Unique;"000799E1BA";14/08/2018;21:21:34;;0;-;;;
2;Trovan Unique;"0006B39A11";14/08/2018;21:26:25;;0;-;;;
3;Trovan Unique;"0006B39A11";14/08/2018;21:26:26;;0;-;;;
4;Trovan Unique;"00079A861B";14/08/2018;21:27:12;;0;-;;;
5;Trovan Unique;"00079A861B";14/08/2018;21:27:13;;0;-;;;
6;Trovan Unique;"0006B3A241";15/08/2018;02:57:31;;0;-;;;
7;Trovan Unique;"0006B3A241";15/08/2018;02:57:32;;0;-;;;
8;Trovan Unique;"000799E1BA";15/08/2018;02:57:52;;0;-;;;
9;Trovan Unique;"000799E1BA";15/08/2018;02:57:53;;0;-;;;
10;Trovan Unique;"000799E1BA";15/08/2018;02:57:54;;0;-;;;
11;Trovan Unique;"000799E1BA";15/08/2018;03:04:36;;0;-;;;
12;Trovan Unique;"000799E1BA";15/08/2018;03:04:37;;0;-;;;
13;Trovan Unique;"0006B3A241";15/08/2018;03:07:27;;0;-;;;
14;Trovan Unique;"0006B3A241";15/08/2018;05:16:35;;0;-;;;
15;Trovan Unique;"0006B36684";15/08/2018;05:16:41;;0;-;;;
16;Trovan Unique;"00074C2037";15/08/2018;05:16:48;;0;-;;;
17;Trovan Unique;"00079A861B";15/08/2018;05:16:59;;0;-;;;
18;Trovan Unique;"00079A861B";15/08/2018;05:17:00;;0;-;;;
19;Trovan Unique;"0006B39A11";15/08/2018;05:19:26;;0;-;;;
20;Trovan Unique;"000799E1BA";15/08/2018;05:24:36;;0;-;;;
21;Trovan Unique;"00075CD221";15/08/2018;05:26:26;;0;-;;;
22;Trovan Unique;"0006B3A241";15/08/2018;05:30:28;;0;-;;;
23;Trovan Unique;"0006B36684";15/08/2018;05:48:02;;0;-;;;
24;Trovan Unique;"0006B36684";15/08/2018;05:55:02;;0;-;;;
25;Trovan Unique;"0007AC1A65";15/08/2018;05:56:15;;0;-;;;
26;Trovan Unique;"0006B39652";15/08/2018;20:50:42;;0;-;;;
27;Trovan Unique;"0006B39652";15/08/2018;20:50:43;;0;-;;;
28;Trovan Unique;"0006B3A241";15/08/2018;20:56:34;;0;-;;;
29;Trovan Unique;"000799E1BA";15/08/2018;20:58:14;;0;-;;;
30;Trovan Unique;"000799E1BA";15/08/2018;20:58:15;;0;-;;;
31;Trovan Unique;"00075CD221";15/08/2018;20:58:52;;0;-;;;
32;Trovan Unique;"0006B39A11";15/08/2018;21:05:06;;0;-;;;
33;Trovan Unique;"0006B36684";15/08/2018;21:05:25;;0;-;;;
34;Trovan Unique;"00079A861B";15/08/2018;21:05:35;;0;-;;;
35;Trovan Unique;"00074C2037";15/08/2018;21:06:16;;0;-;;;
36;Trovan Unique;"0007AC1A65";15/08/2018;21:09:43;;0;-;;;
37;Trovan Unique;"0007AC1A65";15/08/2018;21:09:44;;0;-;;;
38;Trovan Unique;"0007AC1A65";15/08/2018;21:09:45;;0;-;;;
39;Trovan Unique;"0006CC12F0";15/08/2018;21:11:34;;0;-;;;
40;Trovan Unique;"0006B3A241";15/08/2018;21:39:02;;0;-;;;
41;Trovan Unique;"0006B3A241";15/08/2018;21:39:03;;0;-;;;
42;Trovan Unique;"0007AC1A65";15/08/2018;22:15:29;;0;-;;;
43;Trovan Unique;"0007AC1A65";15/08/2018;22:15:30;;0;-;;;
44;Trovan Unique;"0007AC1A65";15/08/2018;22:34:12;;0;-;;;
45;Trovan Unique;"0007AC1A65";15/08/2018;22:34:13;;0;-;;;
46;Trovan Unique;"0006B3A241";15/08/2018;22:47:34;;0;-;;;
47;Trovan Unique;"0006B3A241";15/08/2018;22:56:54;;0;-;;;
48;Trovan Unique;"0006B39A11";16/08/2018;05:09:07;;0;-;;;
49;Trovan Unique;"0006B3A241";16/08/2018;05:13:33;;0;-;;;
50;Trovan Unique;"00079A861B";16/08/2018;05:14:09;;0;-;;;
51;Trovan Unique;"000799E1BA";16/08/2018;05:14:20;;0;-;;;
52;Trovan Unique;"0007AC1A65";16/08/2018;05:20:50;;0;-;;;
53;Trovan Unique;"0006B3A241";16/08/2018;05:30:54;;0;-;;;
54;Trovan Unique;"0006B3A241";16/08/2018;05:30:55;;0;-;;;
55;Trovan Unique;"0006B3A241";16/08/2018;05:30:56;;0;-;;;
56;Trovan Unique;"00074C2037";16/08/2018;05:37:40;;0;-;;;
57;Trovan Unique;"0006B36684";16/08/2018;05:46:58;;0;-;;;
58;Trovan Unique;"0006B3A241";16/08/2018;05:51:55;;0;-;;;
