#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B36684";19/08/2018;20:48:36;;0;-;;;
1;Trovan Unique;"0006B3A241";19/08/2018;20:54:04;;0;-;;;
2;Trovan Unique;"0006B3A241";19/08/2018;20:54:05;;0;-;;;
3;Trovan Unique;"0007AC1A65";19/08/2018;20:54:56;;0;-;;;
4;Trovan Unique;"0007AC1A65";19/08/2018;20:54:57;;0;-;;;
5;Trovan Unique;"0007AC1A65";19/08/2018;20:54:58;;0;-;;;
6;Trovan Unique;"0007AC1A65";19/08/2018;20:54:59;;0;-;;;
7;Trovan Unique;"0006B39A11";19/08/2018;20:57:10;;0;-;;;
8;Trovan Unique;"00075CD221";19/08/2018;20:57:33;;0;-;;;
9;Trovan Unique;"0006CC12F0";19/08/2018;20:57:39;;0;-;;;
10;Trovan Unique;"0006B39652";19/08/2018;20:57:50;;0;-;;;
11;Trovan Unique;"000799E1BA";19/08/2018;20:58:23;;0;-;;;
12;Trovan Unique;"000799E1BA";19/08/2018;20:58:23;;0;-;;;
13;Trovan Unique;"00079A861B";19/08/2018;20:58:51;;0;-;;;
14;Trovan Unique;"00079A861B";19/08/2018;20:58:51;;0;-;;;
15;Trovan Unique;"00074C2037";19/08/2018;20:59:10;;0;-;;;
