#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00079A861B";23/08/2018;20:36:50;;0;-;;;
1;Trovan Unique;"00079A861B";23/08/2018;20:36:51;;0;-;;;
2;Trovan Unique;"0006B3A241";23/08/2018;20:37:18;;0;-;;;
3;Trovan Unique;"0006B36684";23/08/2018;20:37:58;;0;-;;;
4;Trovan Unique;"0007AC1A65";23/08/2018;20:38:37;;0;-;;;
5;Trovan Unique;"0006B39652";23/08/2018;20:42:47;;0;-;;;
6;Trovan Unique;"000799E1BA";23/08/2018;20:43:04;;0;-;;;
7;Trovan Unique;"000799E1BA";23/08/2018;20:43:05;;0;-;;;
8;Trovan Unique;"0006B39A11";23/08/2018;20:43:20;;0;-;;;
9;Trovan Unique;"0006CC12F0";23/08/2018;20:47:03;;0;-;;;
10;Trovan Unique;"0006B36684";24/08/2018;05:17:38;;0;-;;;
11;Trovan Unique;"0006CC12F0";24/08/2018;05:18:20;;0;-;;;
12;Trovan Unique;"0007AC1A65";24/08/2018;05:21:16;;0;-;;;
13;Trovan Unique;"0006B3A241";24/08/2018;05:29:38;;0;-;;;
14;Trovan Unique;"0006B39652";24/08/2018;05:30:35;;0;-;;;
15;Trovan Unique;"000799E1BA";24/08/2018;05:36:28;;0;-;;;
16;Trovan Unique;"000799E1BA";24/08/2018;05:36:29;;0;-;;;
17;Trovan Unique;"00079A861B";24/08/2018;05:41:37;;0;-;;;
18;Trovan Unique;"0006B39A11";24/08/2018;05:54:20;;0;-;;;
