#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";29/08/2018;11:52:21;;0;-;;;
1;Trovan Unique;"0006B3B283";29/08/2018;11:52:22;;0;-;;;
2;Trovan Unique;"0006B3A241";29/08/2018;20:30:44;;0;-;;;
3;Trovan Unique;"0006B3A241";29/08/2018;20:30:45;;0;-;;;
4;Trovan Unique;"0007AC1A65";29/08/2018;20:30:48;;0;-;;;
5;Trovan Unique;"0007AC1A65";29/08/2018;20:30:49;;0;-;;;
6;Trovan Unique;"0006B39A11";29/08/2018;20:33:03;;0;-;;;
7;Trovan Unique;"0006B39A11";29/08/2018;20:33:04;;0;-;;;
8;Trovan Unique;"0006B36684";29/08/2018;20:35:26;;0;-;;;
9;Trovan Unique;"00079A861B";29/08/2018;20:36:02;;0;-;;;
10;Trovan Unique;"00079A861B";29/08/2018;20:36:03;;0;-;;;
11;Trovan Unique;"00079A861B";29/08/2018;20:36:04;;0;-;;;
12;Trovan Unique;"00075CD221";29/08/2018;20:36:18;;0;-;;;
13;Trovan Unique;"000799E1BA";29/08/2018;20:36:33;;0;-;;;
14;Trovan Unique;"000799E1BA";29/08/2018;20:36:34;;0;-;;;
15;Trovan Unique;"0006CC12F0";29/08/2018;20:37:12;;0;-;;;
16;Trovan Unique;"0006B39652";29/08/2018;20:38:50;;0;-;;;
17;Trovan Unique;"0006B39652";29/08/2018;20:38:52;;0;-;;;
18;Trovan Unique;"0007AC1A65";30/08/2018;04:30:54;;0;-;;;
19;Trovan Unique;"0007AC1A65";30/08/2018;04:30:55;;0;-;;;
20;Trovan Unique;"0007AC1A65";30/08/2018;04:30:56;;0;-;;;
21;Trovan Unique;"0007AC1A65";30/08/2018;04:30:56;;0;-;;;
22;Trovan Unique;"0007AC1A65";30/08/2018;04:30:57;;0;-;;;
23;Trovan Unique;"0007AC1A65";30/08/2018;04:31:14;;0;-;;;
24;Trovan Unique;"0006B39652";30/08/2018;05:17:49;;0;-;;;
25;Trovan Unique;"0006B39652";30/08/2018;05:17:50;;0;-;;;
26;Trovan Unique;"0006B39652";30/08/2018;05:17:53;;0;-;;;
27;Trovan Unique;"0006B39652";30/08/2018;05:17:56;;0;-;;;
28;Trovan Unique;"0006B39652";30/08/2018;05:17:57;;0;-;;;
29;Trovan Unique;"0006B39652";30/08/2018;05:17:58;;0;-;;;
30;Trovan Unique;"0006B39652";30/08/2018;05:17:59;;0;-;;;
31;Trovan Unique;"0006B39652";30/08/2018;05:18:01;;0;-;;;
32;Trovan Unique;"0006B39652";30/08/2018;05:18:02;;0;-;;;
33;Trovan Unique;"0006B39652";30/08/2018;05:18:04;;0;-;;;
34;Trovan Unique;"0006B39652";30/08/2018;05:29:22;;0;-;;;
35;Trovan Unique;"0006CC12F0";30/08/2018;05:29:41;;0;-;;;
36;Trovan Unique;"0006CC12F0";30/08/2018;05:30:15;;0;-;;;
37;Trovan Unique;"0006B39652";30/08/2018;05:30:17;;0;-;;;
