#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;00079ABB95;03.06.2018;10:51:45;;0;-;;
1;Trovan Unique;00079ABB95;03.06.2018;10:51:46;;0;-;;
2;Trovan Unique;0006B39027;04.06.2018;00:25:29;;0;-;;
3;Trovan Unique;0006B39027;04.06.2018;00:25:30;;0;-;;
4;Trovan Unique;0006B39027;04.06.2018;00:25:31;;0;-;;
5;Trovan Unique;0006B39027;04.06.2018;00:25:32;;0;-;;
6;Trovan Unique;0006B39027;04.06.2018;00:25:33;;0;-;;
7;Trovan Unique;0006B39027;04.06.2018;00:25:34;;0;-;;
8;Trovan Unique;00074F9852;04.06.2018;00:26:01;;0;-;;
9;Trovan Unique;00074F9852;04.06.2018;00:26:02;;0;-;;
10;Trovan Unique;00074EDDD3;04.06.2018;00:26:12;;0;-;;
11;Trovan Unique;00074EDDD3;04.06.2018;00:26:13;;0;-;;
12;Trovan Unique;00074EDDD3;04.06.2018;00:26:14;;0;-;;
13;Trovan Unique;00074EDDD3;04.06.2018;00:26:15;;0;-;;
14;Trovan Unique;00074EDDD3;04.06.2018;00:27:22;;0;-;;
15;Trovan Unique;00074EDDD3;04.06.2018;00:27:23;;0;-;;
16;Trovan Unique;00074EDDD3;04.06.2018;00:27:28;;0;-;;
17;Trovan Unique;00074EDDD3;04.06.2018;00:27:30;;0;-;;
18;Trovan Unique;00074EDDD3;04.06.2018;00:27:33;;0;-;;
19;Trovan Unique;00074EDDD3;04.06.2018;00:27:34;;0;-;;
20;Trovan Unique;00074EDDD3;04.06.2018;00:27:35;;0;-;;
21;Trovan Unique;00074EDDD3;04.06.2018;00:27:35;;0;-;;
22;Trovan Unique;00074EDDD3;04.06.2018;00:27:36;;0;-;;
23;Trovan Unique;00074EDDD3;04.06.2018;00:27:37;;0;-;;
24;Trovan Unique;00074EDDD3;04.06.2018;00:27:38;;0;-;;
25;Trovan Unique;00074EDDD3;04.06.2018;00:27:39;;0;-;;
26;Trovan Unique;00074EDDD3;04.06.2018;00:27:40;;0;-;;
27;Trovan Unique;00074EDDD3;04.06.2018;00:27:41;;0;-;;
28;Trovan Unique;00074EDDD3;04.06.2018;00:27:42;;0;-;;
29;Trovan Unique;00074EDDD3;04.06.2018;00:27:43;;0;-;;
30;Trovan Unique;00074EDDD3;04.06.2018;00:27:44;;0;-;;
31;Trovan Unique;00074EDDD3;04.06.2018;00:27:44;;0;-;;
32;Trovan Unique;00074EDDD3;04.06.2018;00:27:45;;0;-;;
33;Trovan Unique;00074EDDD3;04.06.2018;00:27:46;;0;-;;
34;Trovan Unique;00074EDDD3;04.06.2018;00:27:47;;0;-;;
35;Trovan Unique;00074EDDD3;04.06.2018;00:27:48;;0;-;;
36;Trovan Unique;00074EDDD3;04.06.2018;00:27:49;;0;-;;
37;Trovan Unique;00074F9852;04.06.2018;00:27:50;;0;-;;
38;Trovan Unique;00074F9852;04.06.2018;00:27:51;;0;-;;
39;Trovan Unique;0006B39027;04.06.2018;00:27:59;;0;-;;
40;Trovan Unique;00074F9852;04.06.2018;00:28:17;;0;-;;
41;Trovan Unique;00074EDDD3;04.06.2018;00:28:24;;0;-;;
42;Trovan Unique;0006B39027;04.06.2018;00:28:28;;0;-;;
43;Trovan Unique;0006B35DA1;04.06.2018;00:29:32;;0;-;;
44;Trovan Unique;00074EDDD3;04.06.2018;00:30:55;;0;-;;
45;Trovan Unique;00074EDDD3;04.06.2018;00:30:56;;0;-;;
46;Trovan Unique;00074EDDD3;04.06.2018;00:30:57;;0;-;;
47;Trovan Unique;00074EDDD3;04.06.2018;00:30:58;;0;-;;
48;Trovan Unique;00074EDDD3;04.06.2018;00:30:59;;0;-;;
49;Trovan Unique;00074EDDD3;04.06.2018;00:30:59;;0;-;;
50;Trovan Unique;00074EDDD3;04.06.2018;00:31:00;;0;-;;
51;Trovan Unique;00074EDDD3;04.06.2018;00:31:01;;0;-;;
52;Trovan Unique;00074EDDD3;04.06.2018;00:31:02;;0;-;;
53;Trovan Unique;00074EDDD3;04.06.2018;00:31:03;;0;-;;
54;Trovan Unique;00074EDDD3;04.06.2018;00:31:04;;0;-;;
55;Trovan Unique;00074EDDD3;04.06.2018;00:31:05;;0;-;;
56;Trovan Unique;0006B35DA1;04.06.2018;00:31:15;;0;-;;
57;Trovan Unique;0006B35DA1;04.06.2018;00:31:16;;0;-;;
58;Trovan Unique;0006B35DA1;04.06.2018;00:31:17;;0;-;;
59;Trovan Unique;0006B35DA1;04.06.2018;00:31:18;;0;-;;
60;Trovan Unique;00075CE5CF;04.06.2018;00:31:20;;0;-;;
61;Trovan Unique;00075CE5CF;04.06.2018;00:31:21;;0;-;;
62;Trovan Unique;00075CE5CF;04.06.2018;00:31:23;;0;-;;
63;Trovan Unique;00075CE5CF;04.06.2018;00:31:24;;0;-;;
64;Trovan Unique;00075CE5CF;04.06.2018;00:31:24;;0;-;;
65;Trovan Unique;00075CE5CF;04.06.2018;00:31:26;;0;-;;
66;Trovan Unique;00075CE5CF;04.06.2018;00:31:27;;0;-;;
67;Trovan Unique;00075CE5CF;04.06.2018;00:31:28;;0;-;;
68;Trovan Unique;00075CE5CF;04.06.2018;00:31:29;;0;-;;
69;Trovan Unique;00075CE5CF;04.06.2018;00:31:30;;0;-;;
70;Trovan Unique;00075CE5CF;04.06.2018;00:31:31;;0;-;;
71;Trovan Unique;00075CE5CF;04.06.2018;00:31:32;;0;-;;
72;Trovan Unique;0006B39027;04.06.2018;00:31:33;;0;-;;
73;Trovan Unique;0006B39027;04.06.2018;00:31:51;;0;-;;
74;Trovan Unique;0006B39027;04.06.2018;00:31:52;;0;-;;
75;Trovan Unique;0006B39027;04.06.2018;00:31:54;;0;-;;
76;Trovan Unique;0006B39027;04.06.2018;00:31:55;;0;-;;
77;Trovan Unique;0006B39027;04.06.2018;00:31:55;;0;-;;
78;Trovan Unique;0006B39027;04.06.2018;00:31:56;;0;-;;
79;Trovan Unique;0006B39027;04.06.2018;00:32:03;;0;-;;
80;Trovan Unique;0006B35DA1;04.06.2018;00:32:07;;0;-;;
81;Trovan Unique;00074F9852;04.06.2018;00:33:41;;0;-;;
82;Trovan Unique;00075CE5CF;04.06.2018;00:34:49;;0;-;;
83;Trovan Unique;0006B35DA1;04.06.2018;00:35:19;;0;-;;
84;Trovan Unique;0006B39027;04.06.2018;01:30:08;;0;-;;
85;Trovan Unique;0006B39027;04.06.2018;01:30:09;;0;-;;
86;Trovan Unique;0006B39027;04.06.2018;01:37:34;;0;-;;
87;Trovan Unique;0006B39027;04.06.2018;01:37:35;;0;-;;
88;Trovan Unique;0006B39027;04.06.2018;01:53:54;;0;-;;
89;Trovan Unique;0006B39027;04.06.2018;01:59:02;;0;-;;
90;Trovan Unique;0006B39027;04.06.2018;03:54:02;;0;-;;
91;Trovan Unique;0006B39027;04.06.2018;04:25:50;;0;-;;
92;Trovan Unique;0006B39027;04.06.2018;04:27:42;;0;-;;
93;Trovan Unique;0006B39027;04.06.2018;04:27:43;;0;-;;
94;Trovan Unique;0006CC1F19;04.06.2018;04:28:01;;0;-;;
95;Trovan Unique;00075D0BFD;04.06.2018;04:28:56;;0;-;;
