#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00075D701D";04.06.2018;12:43:05;;0;-;;;
1;Trovan Unique;"00075D701D";04.06.2018;12:43:06;;0;-;;;
2;Trovan Unique;"00075D701D";04.06.2018;12:43:07;;0;-;;;
3;Trovan Unique;"00075D701D";04.06.2018;12:43:07;;0;-;;;
4;Trovan Unique;"0006B354E6";04.06.2018;14:17:07;;0;-;;;
5;Trovan Unique;"0006B354E6";04.06.2018;14:17:09;;0;-;;;
6;Trovan Unique;"0006B354E6";04.06.2018;14:17:10;;0;-;;;
7;Trovan Unique;"0006B354E6";04.06.2018;14:17:11;;0;-;;;
8;Trovan Unique;"0006B354E6";04.06.2018;14:17:14;;0;-;;;
9;Trovan Unique;"0006B354E6";04.06.2018;14:17:15;;0;-;;;
10;Trovan Unique;"0006B354E6";04.06.2018;14:17:16;;0;-;;;
11;Trovan Unique;"0006B354E6";04.06.2018;14:33:43;;0;-;;;
12;Trovan Unique;"0006B354E6";04.06.2018;14:33:44;;0;-;;;
13;Trovan Unique;"0006B354E6";04.06.2018;14:33:50;;0;-;;;
14;Trovan Unique;"0006B354E6";04.06.2018;14:33:55;;0;-;;;
15;Trovan Unique;"0006B354E6";04.06.2018;14:33:56;;0;-;;;
16;Trovan Unique;"0006B354E6";04.06.2018;14:33:57;;0;-;;;
17;Trovan Unique;"0006B354E6";04.06.2018;14:33:58;;0;-;;;
18;Trovan Unique;"0006B354E6";04.06.2018;14:33:59;;0;-;;;
19;Trovan Unique;"0006B354E6";04.06.2018;14:34:00;;0;-;;;
20;Trovan Unique;"0006B354E6";04.06.2018;14:34:01;;0;-;;;
21;Trovan Unique;"0006B354E6";04.06.2018;14:34:02;;0;-;;;
22;Trovan Unique;"0006B354E6";04.06.2018;14:34:03;;0;-;;;
23;Trovan Unique;"0006B354E6";04.06.2018;14:34:04;;0;-;;;
24;Trovan Unique;"0006B354E6";04.06.2018;14:34:05;;0;-;;;
25;Trovan Unique;"0006B354E6";04.06.2018;14:34:06;;0;-;;;
26;Trovan Unique;"0006B354E6";04.06.2018;14:34:07;;0;-;;;
27;Trovan Unique;"0006B354E6";04.06.2018;14:34:08;;0;-;;;
28;Trovan Unique;"0006B354E6";04.06.2018;14:34:09;;0;-;;;
29;Trovan Unique;"0006B354E6";04.06.2018;14:34:10;;0;-;;;
30;Trovan Unique;"0006B354E6";04.06.2018;14:34:11;;0;-;;;
31;Trovan Unique;"0006B354E6";04.06.2018;14:34:12;;0;-;;;
32;Trovan Unique;"0006B354E6";04.06.2018;14:34:13;;0;-;;;
33;Trovan Unique;"0006B354E6";04.06.2018;14:34:14;;0;-;;;
34;Trovan Unique;"0006B354E6";04.06.2018;14:34:17;;0;-;;;
35;Trovan Unique;"0006B354E6";04.06.2018;14:34:18;;0;-;;;
36;Trovan Unique;"0006B354E6";04.06.2018;14:34:20;;0;-;;;
37;Trovan Unique;"0006B354E6";04.06.2018;14:34:21;;0;-;;;
38;Trovan Unique;"0006B354E6";04.06.2018;14:34:22;;0;-;;;
39;Trovan Unique;"0006B354E6";04.06.2018;14:34:23;;0;-;;;
40;Trovan Unique;"0006B354E6";04.06.2018;14:34:24;;0;-;;;
41;Trovan Unique;"0006B354E6";04.06.2018;14:34:25;;0;-;;;
42;Trovan Unique;"0006B354E6";04.06.2018;14:34:25;;0;-;;;
43;Trovan Unique;"0006B354E6";04.06.2018;14:34:26;;0;-;;;
44;Trovan Unique;"0006B354E6";04.06.2018;14:34:27;;0;-;;;
45;Trovan Unique;"0006B354E6";04.06.2018;14:34:28;;0;-;;;
46;Trovan Unique;"0006B354E6";04.06.2018;14:34:29;;0;-;;;
47;Trovan Unique;"0006B354E6";04.06.2018;14:34:30;;0;-;;;
48;Trovan Unique;"0006B354E6";04.06.2018;14:34:31;;0;-;;;
49;Trovan Unique;"0006B354E6";04.06.2018;14:34:32;;0;-;;;
50;Trovan Unique;"0006B354E6";04.06.2018;14:34:33;;0;-;;;
51;Trovan Unique;"0006B354E6";04.06.2018;14:34:34;;0;-;;;
52;Trovan Unique;"0006B354E6";04.06.2018;14:34:35;;0;-;;;
53;Trovan Unique;"0006B354E6";04.06.2018;14:34:35;;0;-;;;
54;Trovan Unique;"0006B354E6";04.06.2018;14:34:36;;0;-;;;
55;Trovan Unique;"0006B354E6";04.06.2018;14:34:37;;0;-;;;
56;Trovan Unique;"0006B354E6";04.06.2018;14:34:38;;0;-;;;
57;Trovan Unique;"0006B354E6";04.06.2018;14:34:39;;0;-;;;
58;Trovan Unique;"0006B354E6";04.06.2018;14:34:40;;0;-;;;
59;Trovan Unique;"0006B354E6";04.06.2018;14:34:41;;0;-;;;
60;Trovan Unique;"0006B354E6";04.06.2018;14:34:42;;0;-;;;
61;Trovan Unique;"0006B354E6";04.06.2018;14:34:43;;0;-;;;
62;Trovan Unique;"0006B354E6";04.06.2018;14:34:43;;0;-;;;
63;Trovan Unique;"0006B354E6";04.06.2018;14:34:44;;0;-;;;
64;Trovan Unique;"0006B354E6";04.06.2018;14:34:45;;0;-;;;
65;Trovan Unique;"0006B354E6";04.06.2018;14:34:47;;0;-;;;
66;Trovan Unique;"0006B354E6";04.06.2018;14:34:47;;0;-;;;
67;Trovan Unique;"0006B354E6";04.06.2018;14:34:48;;0;-;;;
68;Trovan Unique;"0006B354E6";04.06.2018;14:34:49;;0;-;;;
69;Trovan Unique;"0006B354E6";04.06.2018;14:34:50;;0;-;;;
70;Trovan Unique;"0006B354E6";04.06.2018;14:34:51;;0;-;;;
71;Trovan Unique;"0006B354E6";04.06.2018;14:34:52;;0;-;;;
72;Trovan Unique;"0006B354E6";04.06.2018;14:34:54;;0;-;;;
73;Trovan Unique;"0006B354E6";04.06.2018;14:34:54;;0;-;;;
74;Trovan Unique;"0006B354E6";04.06.2018;14:34:55;;0;-;;;
75;Trovan Unique;"0006B354E6";04.06.2018;14:34:56;;0;-;;;
76;Trovan Unique;"0006B354E6";04.06.2018;14:34:58;;0;-;;;
77;Trovan Unique;"0006B354E6";04.06.2018;14:34:59;;0;-;;;
78;Trovan Unique;"0006B354E6";04.06.2018;14:35:00;;0;-;;;
79;Trovan Unique;"0006B354E6";04.06.2018;14:35:01;;0;-;;;
80;Trovan Unique;"0006B354E6";04.06.2018;14:35:05;;0;-;;;
81;Trovan Unique;"0006B354E6";04.06.2018;14:35:06;;0;-;;;
82;Trovan Unique;"0006B354E6";04.06.2018;14:35:09;;0;-;;;
83;Trovan Unique;"0006B354E6";04.06.2018;14:35:10;;0;-;;;
84;Trovan Unique;"0006B354E6";04.06.2018;14:35:11;;0;-;;;
85;Trovan Unique;"0006B354E6";04.06.2018;14:35:12;;0;-;;;
86;Trovan Unique;"0006B354E6";04.06.2018;14:35:16;;0;-;;;
87;Trovan Unique;"0006B354E6";04.06.2018;14:35:17;;0;-;;;
88;Trovan Unique;"0006B354E6";04.06.2018;14:35:17;;0;-;;;
89;Trovan Unique;"0006B354E6";04.06.2018;14:35:21;;0;-;;;
90;Trovan Unique;"0006B354E6";04.06.2018;14:35:22;;0;-;;;
91;Trovan Unique;"0006B354E6";04.06.2018;14:35:24;;0;-;;;
92;Trovan Unique;"0006B354E6";04.06.2018;14:35:25;;0;-;;;
93;Trovan Unique;"0006B354E6";04.06.2018;14:35:26;;0;-;;;
94;Trovan Unique;"0006B354E6";04.06.2018;14:35:27;;0;-;;;
95;Trovan Unique;"0006B354E6";04.06.2018;14:35:28;;0;-;;;
96;Trovan Unique;"0006B354E6";04.06.2018;14:35:29;;0;-;;;
97;Trovan Unique;"0006B354E6";04.06.2018;14:35:31;;0;-;;;
98;Trovan Unique;"0006B354E6";04.06.2018;14:35:31;;0;-;;;
99;Trovan Unique;"0006B354E6";04.06.2018;14:35:32;;0;-;;;
100;Trovan Unique;"0006B354E6";04.06.2018;14:35:33;;0;-;;;
101;Trovan Unique;"0006B354E6";04.06.2018;14:35:34;;0;-;;;
102;Trovan Unique;"0006B354E6";04.06.2018;14:35:36;;0;-;;;
103;Trovan Unique;"0006B354E6";04.06.2018;14:35:37;;0;-;;;
104;Trovan Unique;"0006B354E6";04.06.2018;14:35:38;;0;-;;;
105;Trovan Unique;"0006B354E6";04.06.2018;14:35:40;;0;-;;;
106;Trovan Unique;"0006B354E6";04.06.2018;14:35:41;;0;-;;;
107;Trovan Unique;"0006B354E6";04.06.2018;14:35:42;;0;-;;;
108;Trovan Unique;"0006B354E6";04.06.2018;14:35:43;;0;-;;;
109;Trovan Unique;"0006B354E6";04.06.2018;14:35:44;;0;-;;;
110;Trovan Unique;"0006B354E6";04.06.2018;14:35:44;;0;-;;;
111;Trovan Unique;"0006B354E6";04.06.2018;14:35:45;;0;-;;;
112;Trovan Unique;"0006B354E6";04.06.2018;14:35:46;;0;-;;;
113;Trovan Unique;"0006B354E6";04.06.2018;14:35:47;;0;-;;;
114;Trovan Unique;"0006B354E6";04.06.2018;14:35:48;;0;-;;;
115;Trovan Unique;"0006B354E6";04.06.2018;14:35:49;;0;-;;;
116;Trovan Unique;"0006B354E6";04.06.2018;14:35:50;;0;-;;;
117;Trovan Unique;"0006B354E6";04.06.2018;14:35:51;;0;-;;;
118;Trovan Unique;"0006B354E6";04.06.2018;14:35:52;;0;-;;;
119;Trovan Unique;"0006B354E6";04.06.2018;14:35:53;;0;-;;;
120;Trovan Unique;"0006B354E6";04.06.2018;14:35:54;;0;-;;;
121;Trovan Unique;"0006B354E6";04.06.2018;14:35:55;;0;-;;;
122;Trovan Unique;"0006B354E6";04.06.2018;14:35:56;;0;-;;;
