#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
39;Trovan Unique;0006B3B2B6;06.07.2018;21:57:05;;-;-;;
40;Trovan Unique;00075CC71F;06.07.2018;22:04:19;;-;-;;
41;Trovan Unique;0006CC3449;06.07.2018;22:06:30;;-;-;;
42;Trovan Unique;0006B38977;06.07.2018;22:08:10;;-;-;;
43;Trovan Unique;0006CC287B;06.07.2018;22:12:18;;-;-;;
44;Trovan Unique;0006B3BF50;06.07.2018;22:15:50;;-;-;;
45;Trovan Unique;000770FADF;06.07.2018;22:16:02;;-;-;;
46;Trovan Unique;00075D701D;07.07.2018;00:50:56;;-;-;;
47;Trovan Unique;00075B67A9;07.07.2018;00:51:09;;-;-;;
48;Trovan Unique;0006CC199B;07.07.2018;01:26:24;;-;-;;
49;Trovan Unique;0006CC199B;07.07.2018;01:26:26;;-;-;;
50;Trovan Unique;0006CC199B;07.07.2018;01:26:27;;-;-;;
51;Trovan Unique;00075D12AA;07.07.2018;05:00:47;;-;-;;
52;Trovan Unique;00075D12AA;07.07.2018;05:00:49;;-;-;;
53;Trovan Unique;0006B39027;07.07.2018;05:09:07;;-;-;;
54;Trovan Unique;000770FADF;07.07.2018;05:09:18;;-;-;;
55;Trovan Unique;000786A535;07.07.2018;05:10:01;;-;-;;
56;Trovan Unique;0006B37D1C;07.07.2018;05:10:28;;-;-;;
57;Trovan Unique;0006B38977;07.07.2018;05:11:49;;-;-;;
58;Trovan Unique;0006B3BF50;07.07.2018;05:17:09;;-;-;;
59;Trovan Unique;0006B3B283;07.07.2018;12:14:20;;-;-;;
