#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
175;Trovan Unique;00075CC71F;09.07.2018;21:55:47;;0;-;;
176;Trovan Unique;00075B6E70;09.07.2018;21:55:49;;0;-;;
177;Trovan Unique;00075B26F3;09.07.2018;22:02:47;;0;-;;
178;Trovan Unique;0006B358D2;09.07.2018;22:03:38;;0;-;;
179;Trovan Unique;0006B358D2;09.07.2018;22:03:39;;0;-;;
180;Trovan Unique;0006B38BB9;09.07.2018;22:04:14;;0;-;;
181;Trovan Unique;0006B3AFC0;09.07.2018;22:05:36;;0;-;;
182;Trovan Unique;000770F4ED;09.07.2018;22:05:51;;0;-;;
183;Trovan Unique;0006B354E6;09.07.2018;22:06:08;;0;-;;
184;Trovan Unique;00071E3992;09.07.2018;22:07:38;;0;-;;
185;Trovan Unique;0006B38BB9;09.07.2018;22:07:52;;0;-;;
186;Trovan Unique;0006B38BB9;09.07.2018;22:07:53;;0;-;;
187;Trovan Unique;0006B38BB9;09.07.2018;22:07:54;;0;-;;
188;Trovan Unique;0006B38BB9;09.07.2018;22:07:55;;0;-;;
189;Trovan Unique;0006B354E6;09.07.2018;22:09:25;;0;-;;
190;Trovan Unique;0006B354E6;09.07.2018;22:09:26;;0;-;;
191;Trovan Unique;0006B354E6;09.07.2018;22:09:27;;0;-;;
192;Trovan Unique;0007ABDD83;09.07.2018;22:12:29;;0;-;;
193;Trovan Unique;0007ABDD83;09.07.2018;22:12:30;;0;-;;
194;Trovan Unique;0007ABDD83;09.07.2018;22:12:31;;0;-;;
195;Trovan Unique;0006B354E6;09.07.2018;22:14:06;;0;-;;
196;Trovan Unique;0006B354E6;09.07.2018;22:15:03;;0;-;;
197;Trovan Unique;0006B387FA;09.07.2018;22:15:22;;0;-;;
198;Trovan Unique;0006B354E6;09.07.2018;22:18:45;;0;-;;
199;Trovan Unique;0006B354E6;09.07.2018;22:25:36;;0;-;;
200;Trovan Unique;0006B354E6;09.07.2018;22:25:37;;0;-;;
201;Trovan Unique;0006B358D2;10.07.2018;00:59:08;;0;-;;
202;Trovan Unique;0006B358D2;10.07.2018;00:59:09;;0;-;;
203;Trovan Unique;0006B358D2;10.07.2018;00:59:10;;0;-;;
204;Trovan Unique;0006B358D2;10.07.2018;00:59:11;;0;-;;
205;Trovan Unique;0006B358D2;10.07.2018;00:59:12;;0;-;;
206;Trovan Unique;0006B358D2;10.07.2018;00:59:13;;0;-;;
207;Trovan Unique;0006B358D2;10.07.2018;00:59:42;;0;-;;
208;Trovan Unique;0006B358D2;10.07.2018;00:59:43;;0;-;;
209;Trovan Unique;00075B2A5D;10.07.2018;01:06:21;;0;-;;
210;Trovan Unique;0006B358D2;10.07.2018;01:06:25;;0;-;;
211;Trovan Unique;0006B358D2;10.07.2018;01:06:26;;0;-;;
212;Trovan Unique;0006B38933;10.07.2018;01:06:30;;0;-;;
213;Trovan Unique;0006B38933;10.07.2018;01:07:30;;0;-;;
214;Trovan Unique;0006B38933;10.07.2018;01:07:31;;0;-;;
215;Trovan Unique;0006B38933;10.07.2018;01:07:32;;0;-;;
216;Trovan Unique;0006B38933;10.07.2018;01:07:33;;0;-;;
217;Trovan Unique;0006B38933;10.07.2018;01:07:34;;0;-;;
218;Trovan Unique;0006B38933;10.07.2018;01:07:35;;0;-;;
219;Trovan Unique;0006B35F23;10.07.2018;01:07:51;;0;-;;
220;Trovan Unique;0006B35F23;10.07.2018;01:09:24;;0;-;;
221;Trovan Unique;00075B2A5D;10.07.2018;01:09:47;;0;-;;
222;Trovan Unique;00075B2A5D;10.07.2018;01:09:49;;0;-;;
223;Trovan Unique;0006B38933;10.07.2018;01:11:09;;0;-;;
