#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00079ABB95";10.07.2018;10:42:46;;0;-;;;
1;Trovan Unique;"00079ABB95";10.07.2018;10:42:47;;0;-;;;
2;Trovan Unique;"00079ABB95";10.07.2018;10:42:48;;0;-;;;
3;Trovan Unique;"0006B358D2";10.07.2018;21:52:27;;0;-;;;
4;Trovan Unique;"0006B358D2";10.07.2018;21:52:28;;0;-;;;
5;Trovan Unique;"0006B358D2";10.07.2018;21:52:29;;0;-;;;
6;Trovan Unique;"0006B358D2";10.07.2018;21:52:30;;0;-;;;
7;Trovan Unique;"00075B6E70";10.07.2018;21:53:02;;0;-;;;
8;Trovan Unique;"00075B6E70";10.07.2018;21:53:03;;0;-;;;
9;Trovan Unique;"00075D12AA";10.07.2018;21:53:45;;0;-;;;
10;Trovan Unique;"00075D12AA";10.07.2018;21:53:48;;0;-;;;
11;Trovan Unique;"00075D12AA";10.07.2018;21:53:48;;0;-;;;
12;Trovan Unique;"00075D12AA";10.07.2018;21:53:49;;0;-;;;
13;Trovan Unique;"00075D12AA";10.07.2018;21:53:50;;0;-;;;
14;Trovan Unique;"00075D12AA";10.07.2018;21:53:51;;0;-;;;
15;Trovan Unique;"00075D12AA";10.07.2018;21:53:55;;0;-;;;
16;Trovan Unique;"00075D12AA";10.07.2018;21:53:56;;0;-;;;
17;Trovan Unique;"00075CDD9A";10.07.2018;21:54:21;;0;-;;;
18;Trovan Unique;"0007ABDA1D";10.07.2018;21:54:28;;0;-;;;
19;Trovan Unique;"0007ABDA1D";10.07.2018;21:54:29;;0;-;;;
20;Trovan Unique;"0006B354E6";10.07.2018;21:55:19;;0;-;;;
21;Trovan Unique;"0006B354E6";10.07.2018;21:55:20;;0;-;;;
22;Trovan Unique;"0006B354E6";10.07.2018;21:55:21;;0;-;;;
23;Trovan Unique;"0006B354E6";10.07.2018;21:55:30;;0;-;;;
24;Trovan Unique;"00075CC71F";10.07.2018;21:55:46;;0;-;;;
25;Trovan Unique;"0006B38ACD";10.07.2018;21:56:37;;0;-;;;
26;Trovan Unique;"0006B38ACD";10.07.2018;21:56:38;;0;-;;;
27;Trovan Unique;"0006B38ACD";10.07.2018;21:56:39;;0;-;;;
28;Trovan Unique;"0006B38ACD";10.07.2018;21:56:40;;0;-;;;
29;Trovan Unique;"0006B38ACD";10.07.2018;21:56:41;;0;-;;;
30;Trovan Unique;"00075CE5CF";10.07.2018;21:56:59;;0;-;;;
31;Trovan Unique;"00075B2A5D";10.07.2018;21:59:03;;0;-;;;
32;Trovan Unique;"00075B2A5D";10.07.2018;21:59:06;;0;-;;;
33;Trovan Unique;"00075B2A5D";10.07.2018;21:59:07;;0;-;;;
34;Trovan Unique;"00075D072C";10.07.2018;21:59:56;;0;-;;;
35;Trovan Unique;"00075D072C";10.07.2018;21:59:57;;0;-;;;
36;Trovan Unique;"00075D072C";10.07.2018;21:59:58;;0;-;;;
37;Trovan Unique;"00075B26F3";10.07.2018;21:59:59;;0;-;;;
38;Trovan Unique;"00075B26F3";10.07.2018;22:00:00;;0;-;;;
39;Trovan Unique;"0006B37D1C";10.07.2018;22:00:08;;0;-;;;
40;Trovan Unique;"0006B37D1C";10.07.2018;22:00:09;;0;-;;;
41;Trovan Unique;"0006B37D1C";10.07.2018;22:00:10;;0;-;;;
42;Trovan Unique;"0006B37D1C";10.07.2018;22:00:11;;0;-;;;
43;Trovan Unique;"0006B37D1C";10.07.2018;22:00:11;;0;-;;;
44;Trovan Unique;"0006B37D1C";10.07.2018;22:00:12;;0;-;;;
45;Trovan Unique;"0006B35F23";10.07.2018;22:00:21;;0;-;;;
46;Trovan Unique;"00075CEE9E";10.07.2018;22:00:24;;0;-;;;
47;Trovan Unique;"00075CEE9E";10.07.2018;22:00:25;;0;-;;;
48;Trovan Unique;"0006B39302";10.07.2018;22:01:59;;0;-;;;
49;Trovan Unique;"0006B3A9DA";10.07.2018;22:02:40;;0;-;;;
50;Trovan Unique;"0006B3A9DA";10.07.2018;22:02:41;;0;-;;;
51;Trovan Unique;"0006B3A9DA";10.07.2018;22:02:42;;0;-;;;
52;Trovan Unique;"0006B3A9DA";10.07.2018;22:02:43;;0;-;;;
53;Trovan Unique;"0006B3A9DA";10.07.2018;22:02:44;;0;-;;;
54;Trovan Unique;"0006B3A9DA";10.07.2018;22:02:44;;0;-;;;
55;Trovan Unique;"0006B36ADC";10.07.2018;22:03:01;;0;-;;;
56;Trovan Unique;"0006B36ADC";10.07.2018;22:03:07;;0;-;;;
57;Trovan Unique;"0006B36ADC";10.07.2018;22:03:08;;0;-;;;
58;Trovan Unique;"0006B36ADC";10.07.2018;22:03:09;;0;-;;;
59;Trovan Unique;"0006B38BB9";10.07.2018;22:05:25;;0;-;;;
60;Trovan Unique;"0006B38BB9";10.07.2018;22:05:26;;0;-;;;
61;Trovan Unique;"00071E3992";10.07.2018;22:05:29;;0;-;;;
62;Trovan Unique;"000770FB8F";10.07.2018;22:06:09;;0;-;;;
63;Trovan Unique;"00074FA66F";10.07.2018;22:06:53;;0;-;;;
64;Trovan Unique;"00074FA66F";10.07.2018;22:06:53;;0;-;;;
65;Trovan Unique;"00074FA66F";10.07.2018;22:06:54;;0;-;;;
66;Trovan Unique;"0006B39BBE";10.07.2018;22:07:19;;0;-;;;
67;Trovan Unique;"0007884E15";10.07.2018;22:08:21;;0;-;;;
68;Trovan Unique;"000770F4ED";10.07.2018;22:08:58;;0;-;;;
69;Trovan Unique;"0006B387FA";10.07.2018;22:09:38;;0;-;;;
70;Trovan Unique;"0006B387FA";10.07.2018;22:09:39;;0;-;;;
71;Trovan Unique;"0006B387FA";10.07.2018;22:09:40;;0;-;;;
72;Trovan Unique;"0007ABDD83";10.07.2018;22:09:50;;0;-;;;
73;Trovan Unique;"0007ABDD83";10.07.2018;22:09:51;;0;-;;;
74;Trovan Unique;"0007ABDD83";10.07.2018;22:09:56;;0;-;;;
75;Trovan Unique;"0007ABDD83";10.07.2018;22:09:57;;0;-;;;
76;Trovan Unique;"0007ABDD83";10.07.2018;22:09:57;;0;-;;;
77;Trovan Unique;"0006B3AFC0";10.07.2018;22:10:00;;0;-;;;
78;Trovan Unique;"00075B67A9";10.07.2018;22:12:43;;0;-;;;
79;Trovan Unique;"00075B67A9";10.07.2018;22:12:44;;0;-;;;
80;Trovan Unique;"000770D828";11.07.2018;01:03:37;;0;-;;;
81;Trovan Unique;"000770D828";11.07.2018;01:03:38;;0;-;;;
82;Trovan Unique;"000770D828";11.07.2018;01:03:38;;0;-;;;
83;Trovan Unique;"000770D828";11.07.2018;01:04:01;;0;-;;;
84;Trovan Unique;"000770D828";11.07.2018;01:04:02;;0;-;;;
85;Trovan Unique;"000770D828";11.07.2018;01:04:03;;0;-;;;
86;Trovan Unique;"0006B358D2";11.07.2018;01:49:09;;0;-;;;
87;Trovan Unique;"0006B358D2";11.07.2018;01:49:09;;0;-;;;
88;Trovan Unique;"0006B358D2";11.07.2018;01:49:11;;0;-;;;
89;Trovan Unique;"0006B358D2";11.07.2018;01:49:11;;0;-;;;
90;Trovan Unique;"0006B358D2";11.07.2018;01:50:07;;0;-;;;
91;Trovan Unique;"0006B358D2";11.07.2018;01:50:08;;0;-;;;
