#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
74;Trovan Unique;00075B2A5D;18.07.2018;20:11:18;;-;-;;
75;Trovan Unique;00075B2A5D;18.07.2018;20:11:20;;-;-;;
76;Trovan Unique;00075B2A5D;18.07.2018;20:11:21;;-;-;;
77;Trovan Unique;00075B2A5D;18.07.2018;20:11:22;;-;-;;
78;Trovan Unique;00075B2A5D;18.07.2018;20:12:01;;-;-;;
79;Trovan Unique;00075B2A5D;18.07.2018;20:12:02;;-;-;;
80;Trovan Unique;00075B2A5D;18.07.2018;20:12:20;;-;-;;
81;Trovan Unique;00075B2A5D;18.07.2018;20:12:38;;-;-;;
82;Trovan Unique;00075B2A5D;18.07.2018;20:12:45;;-;-;;
83;Trovan Unique;00075B2A5D;18.07.2018;20:12:46;;-;-;;
84;Trovan Unique;00075B2A5D;18.07.2018;20:12:47;;-;-;;
85;Trovan Unique;00075B2A5D;18.07.2018;20:12:55;;-;-;;
86;Trovan Unique;00075B2A5D;18.07.2018;20:12:57;;-;-;;
87;Trovan Unique;00075B2A5D;18.07.2018;20:12:58;;-;-;;
88;Trovan Unique;00075B2A5D;18.07.2018;21:06:51;;-;-;;
89;Trovan Unique;00075B2A5D;18.07.2018;21:07:02;;-;-;;
90;Trovan Unique;00075B2A5D;18.07.2018;21:07:03;;-;-;;
91;Trovan Unique;00075B2A5D;18.07.2018;21:07:04;;-;-;;
92;Trovan Unique;00075B2A5D;18.07.2018;21:07:14;;-;-;;
93;Trovan Unique;00075B2A5D;18.07.2018;21:07:16;;-;-;;
94;Trovan Unique;00075B2A5D;18.07.2018;21:07:22;;-;-;;
95;Trovan Unique;00075B2A5D;18.07.2018;21:08:28;;-;-;;
96;Trovan Unique;00075B2A5D;18.07.2018;21:08:29;;-;-;;
97;Trovan Unique;00075B2A5D;18.07.2018;21:08:30;;-;-;;
98;Trovan Unique;00075B2A5D;18.07.2018;21:08:31;;-;-;;
99;Trovan Unique;00075B2A5D;18.07.2018;21:08:32;;-;-;;
100;Trovan Unique;00075B2A5D;18.07.2018;21:08:33;;-;-;;
101;Trovan Unique;00075B2A5D;18.07.2018;21:08:35;;-;-;;
102;Trovan Unique;00075B2A5D;18.07.2018;21:09:29;;-;-;;
103;Trovan Unique;00075B2A5D;18.07.2018;21:09:30;;-;-;;
104;Trovan Unique;00075B2A5D;18.07.2018;21:09:31;;-;-;;
105;Trovan Unique;00075B2A5D;18.07.2018;21:09:32;;-;-;;
106;Trovan Unique;0006B391E1;18.07.2018;21:47:15;;-;-;;
107;Trovan Unique;000786A535;18.07.2018;21:47:19;;-;-;;
108;Trovan Unique;000783C9A5;18.07.2018;21:47:23;;-;-;;
109;Trovan Unique;0006CC1687;18.07.2018;21:48:31;;-;-;;
110;Trovan Unique;000770F620;18.07.2018;21:51:50;;-;-;;
111;Trovan Unique;0006B39027;18.07.2018;21:52:16;;-;-;;
112;Trovan Unique;0006B38933;18.07.2018;21:52:33;;-;-;;
113;Trovan Unique;00075CEE9E;18.07.2018;21:55:11;;-;-;;
114;Trovan Unique;00075CEE9E;18.07.2018;21:55:14;;-;-;;
115;Trovan Unique;00075CEE9E;18.07.2018;21:55:15;;-;-;;
116;Trovan Unique;0006B39504;18.07.2018;21:55:23;;-;-;;
117;Trovan Unique;0006B38ACD;18.07.2018;21:56:55;;-;-;;
118;Trovan Unique;00075B2A5D;18.07.2018;21:58:49;;-;-;;
119;Trovan Unique;00075B2A5D;18.07.2018;21:58:54;;-;-;;
120;Trovan Unique;00075CDD9A;18.07.2018;22:01:07;;-;-;;
121;Trovan Unique;00075B26F3;18.07.2018;22:01:45;;-;-;;
122;Trovan Unique;0006B3A9DA;18.07.2018;22:01:51;;-;-;;
123;Trovan Unique;0006B3A610;18.07.2018;22:04:04;;-;-;;
124;Trovan Unique;0006B39302;18.07.2018;22:05:40;;-;-;;
125;Trovan Unique;0006B39302;18.07.2018;22:05:41;;-;-;;
126;Trovan Unique;0006B39302;18.07.2018;22:05:42;;-;-;;
127;Trovan Unique;0006CC1F85;18.07.2018;22:07:10;;-;-;;
128;Trovan Unique;00075CE5CF;18.07.2018;22:07:43;;-;-;;
129;Trovan Unique;0006B3B2B6;18.07.2018;22:07:57;;-;-;;
130;Trovan Unique;0006B39D6F;18.07.2018;22:07:58;;-;-;;
131;Trovan Unique;0006B38BB9;18.07.2018;22:08:08;;-;-;;
132;Trovan Unique;0006B38BB9;18.07.2018;22:08:09;;-;-;;
133;Trovan Unique;0006B38BB9;18.07.2018;22:08:10;;-;-;;
134;Trovan Unique;00074BD719;18.07.2018;22:08:27;;-;-;;
135;Trovan Unique;0006CC3449;18.07.2018;22:09:57;;-;-;;
136;Trovan Unique;0006CC199B;18.07.2018;22:12:59;;-;-;;
137;Trovan Unique;0006B37090;18.07.2018;22:16:53;;-;-;;
138;Trovan Unique;0006B3A610;19.07.2018;02:23:29;;-;-;;
139;Trovan Unique;0006B3A610;19.07.2018;02:24:01;;-;-;;
140;Trovan Unique;0006B3A610;19.07.2018;02:24:02;;-;-;;
141;Trovan Unique;0006B354E6;19.07.2018;04:29:27;;-;-;;
142;Trovan Unique;0006B35DA1;19.07.2018;04:31:42;;-;-;;
143;Trovan Unique;0006B35F23;19.07.2018;04:34:14;;-;-;;
144;Trovan Unique;0006B39027;19.07.2018;04:37:21;;-;-;;
145;Trovan Unique;0006B39BBE;19.07.2018;04:40:21;;-;-;;
146;Trovan Unique;00074BD719;19.07.2018;04:40:29;;-;-;;
147;Trovan Unique;0006CC287B;19.07.2018;04:42:37;;-;-;;
