#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
509;Trovan Unique;00079A66B3;12.08.2018;16:38:30;;0;-;;
510;Trovan Unique;00079A66B3;12.08.2018;16:38:32;;0;-;;
511;Trovan Unique;00079A66B3;12.08.2018;16:38:33;;0;-;;
512;Trovan Unique;00079A66B3;12.08.2018;16:38:35;;0;-;;
513;Trovan Unique;00079A66B3;12.08.2018;16:38:36;;0;-;;
514;Trovan Unique;00079A66B3;12.08.2018;16:38:37;;0;-;;
515;Trovan Unique;00079A66B3;12.08.2018;16:38:51;;0;-;;
516;Trovan Unique;00079A5BEB;12.08.2018;16:48:29;;0;-;;
517;Trovan Unique;00079A5BEB;12.08.2018;16:48:30;;0;-;;
518;Trovan Unique;00079A5BEB;12.08.2018;16:48:32;;0;-;;
519;Trovan Unique;00079A5BEB;12.08.2018;16:48:36;;0;-;;
520;Trovan Unique;00079A5BEB;12.08.2018;16:48:39;;0;-;;
521;Trovan Unique;00079A5BEB;12.08.2018;16:48:40;;0;-;;
522;Trovan Unique;00079A5BEB;12.08.2018;16:48:41;;0;-;;
523;Trovan Unique;00079A5BEB;12.08.2018;16:48:42;;0;-;;
524;Trovan Unique;00079A5BEB;12.08.2018;16:48:43;;0;-;;
525;Trovan Unique;00079A5BEB;12.08.2018;16:48:44;;0;-;;
526;Trovan Unique;00079A5BEB;12.08.2018;16:48:45;;0;-;;
527;Trovan Unique;00079A5BEB;12.08.2018;16:48:46;;0;-;;
528;Trovan Unique;00079A5BEB;12.08.2018;16:48:46;;0;-;;
529;Trovan Unique;00079A5BEB;12.08.2018;16:48:47;;0;-;;
530;Trovan Unique;00079A5BEB;12.08.2018;16:48:48;;0;-;;
531;Trovan Unique;00079A5BEB;12.08.2018;16:48:51;;0;-;;
532;Trovan Unique;00079A5BEB;12.08.2018;16:48:52;;0;-;;
533;Trovan Unique;00079A5BEB;12.08.2018;16:48:53;;0;-;;
534;Trovan Unique;00079A5BEB;12.08.2018;16:48:59;;0;-;;
535;Trovan Unique;00079A5BEB;12.08.2018;16:49:01;;0;-;;
536;Trovan Unique;00079A5BEB;12.08.2018;16:49:02;;0;-;;
537;Trovan Unique;00079A5BEB;12.08.2018;16:49:03;;0;-;;
538;Trovan Unique;00079A5BEB;12.08.2018;16:49:04;;0;-;;
539;Trovan Unique;00079A5BEB;12.08.2018;16:49:04;;0;-;;
540;Trovan Unique;00079A5BEB;12.08.2018;16:49:05;;0;-;;
541;Trovan Unique;00079A5BEB;12.08.2018;16:49:06;;0;-;;
542;Trovan Unique;00079A5BEB;12.08.2018;16:49:07;;0;-;;
543;Trovan Unique;00079A5BEB;12.08.2018;16:49:08;;0;-;;
544;Trovan Unique;00079A5BEB;12.08.2018;16:49:09;;0;-;;
545;Trovan Unique;00079A5BEB;12.08.2018;16:49:10;;0;-;;
546;Trovan Unique;00079A5BEB;12.08.2018;16:49:11;;0;-;;
547;Trovan Unique;00079A5BEB;12.08.2018;16:49:12;;0;-;;
548;Trovan Unique;00079A5BEB;12.08.2018;16:49:13;;0;-;;
549;Trovan Unique;00079A5BEB;12.08.2018;16:49:14;;0;-;;
550;Trovan Unique;00079A5BEB;12.08.2018;16:49:15;;0;-;;
551;Trovan Unique;00079A5BEB;12.08.2018;16:49:15;;0;-;;
552;Trovan Unique;00079A5BEB;12.08.2018;16:49:17;;0;-;;
553;Trovan Unique;00079A5BEB;12.08.2018;16:49:17;;0;-;;
554;Trovan Unique;00079A5BEB;12.08.2018;16:49:18;;0;-;;
555;Trovan Unique;00079A5BEB;12.08.2018;16:49:19;;0;-;;
556;Trovan Unique;00079A5BEB;12.08.2018;16:49:20;;0;-;;
557;Trovan Unique;00079A5BEB;12.08.2018;16:49:21;;0;-;;
558;Trovan Unique;00079A5BEB;12.08.2018;16:49:22;;0;-;;
