#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"000799C228";13/08/2018;13:59:06;;0;-;;;
1;Trovan Unique;"000799C228";13/08/2018;13:59:08;;0;-;;;
2;Trovan Unique;"000799C228";13/08/2018;13:59:09;;0;-;;;
3;Trovan Unique;"00079A66B3";13/08/2018;19:01:55;;0;-;;;
4;Trovan Unique;"00079A66B3";13/08/2018;19:01:56;;0;-;;;
5;Trovan Unique;"00079A66B3";13/08/2018;19:01:57;;0;-;;;
6;Trovan Unique;"00079A66B3";13/08/2018;19:01:58;;0;-;;;
7;Trovan Unique;"00079A66B3";13/08/2018;19:01:58;;0;-;;;
8;Trovan Unique;"00079A66B3";13/08/2018;19:01:59;;0;-;;;
9;Trovan Unique;"00079A66B3";13/08/2018;19:02:00;;0;-;;;
10;Trovan Unique;"00079A66B3";13/08/2018;19:02:01;;0;-;;;
11;Trovan Unique;"00079A66B3";13/08/2018;19:02:02;;0;-;;;
12;Trovan Unique;"00079A66B3";13/08/2018;19:02:03;;0;-;;;
13;Trovan Unique;"00079A66B3";13/08/2018;19:02:04;;0;-;;;
14;Trovan Unique;"00079A66B3";13/08/2018;19:02:05;;0;-;;;
15;Trovan Unique;"00079A66B3";13/08/2018;19:02:06;;0;-;;;
16;Trovan Unique;"00079A66B3";13/08/2018;19:02:07;;0;-;;;
17;Trovan Unique;"00079A66B3";13/08/2018;19:02:08;;0;-;;;
18;Trovan Unique;"00079A66B3";13/08/2018;19:02:08;;0;-;;;
19;Trovan Unique;"00079A66B3";13/08/2018;19:10:17;;0;-;;;
20;Trovan Unique;"00079A66B3";13/08/2018;19:10:18;;0;-;;;
21;Trovan Unique;"00079A66B3";13/08/2018;19:10:19;;0;-;;;
22;Trovan Unique;"00079A66B3";13/08/2018;19:10:20;;0;-;;;
23;Trovan Unique;"00079A66B3";13/08/2018;19:10:21;;0;-;;;
24;Trovan Unique;"00079A66B3";13/08/2018;19:10:22;;0;-;;;
