#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B397F6";14/08/2018;17:11:28;;0;-;;;
1;Trovan Unique;"00079A7221";14/08/2018;18:20:49;;0;-;;;
2;Trovan Unique;"00079A7221";14/08/2018;18:20:50;;0;-;;;
3;Trovan Unique;"00079A7221";14/08/2018;18:20:52;;0;-;;;
4;Trovan Unique;"00079A7221";14/08/2018;18:20:53;;0;-;;;
5;Trovan Unique;"00079A7221";14/08/2018;18:20:54;;0;-;;;
6;Trovan Unique;"00079A7221";14/08/2018;18:21:31;;0;-;;;
7;Trovan Unique;"00079A7221";14/08/2018;18:21:32;;0;-;;;
8;Trovan Unique;"00079A7221";14/08/2018;18:21:33;;0;-;;;
9;Trovan Unique;"00079A7221";14/08/2018;18:21:34;;0;-;;;
10;Trovan Unique;"00079A7221";14/08/2018;18:21:35;;0;-;;;
11;Trovan Unique;"00079A7221";14/08/2018;18:21:36;;0;-;;;
12;Trovan Unique;"00079A7221";14/08/2018;18:21:38;;0;-;;;
13;Trovan Unique;"00079A7221";14/08/2018;18:21:39;;0;-;;;
14;Trovan Unique;"00079A7221";14/08/2018;18:21:40;;0;-;;;
15;Trovan Unique;"00079A7221";14/08/2018;18:21:49;;0;-;;;
16;Trovan Unique;"00079A7221";14/08/2018;18:22:07;;0;-;;;
17;Trovan Unique;"00079A7221";14/08/2018;18:22:09;;0;-;;;
18;Trovan Unique;"00079A7221";14/08/2018;18:22:10;;0;-;;;
19;Trovan Unique;"00079A7221";14/08/2018;18:22:13;;0;-;;;
20;Trovan Unique;"00079A7221";14/08/2018;18:22:14;;0;-;;;
21;Trovan Unique;"00079A7221";14/08/2018;18:22:15;;0;-;;;
22;Trovan Unique;"0006B35F23";14/08/2018;20:44:57;;0;-;;;
23;Trovan Unique;"0006B35F23";14/08/2018;20:44:58;;0;-;;;
24;Trovan Unique;"0006B35F23";14/08/2018;20:44:59;;0;-;;;
25;Trovan Unique;"0006B35F23";14/08/2018;20:45:00;;0;-;;;
26;Trovan Unique;"0006B35F23";14/08/2018;20:45:01;;0;-;;;
27;Trovan Unique;"0006B35F23";14/08/2018;20:45:02;;0;-;;;
28;Trovan Unique;"0006B35F23";14/08/2018;20:45:03;;0;-;;;
29;Trovan Unique;"0006B35F23";14/08/2018;20:45:04;;0;-;;;
30;Trovan Unique;"0006B35F23";14/08/2018;20:45:05;;0;-;;;
31;Trovan Unique;"0006B35F23";14/08/2018;20:45:06;;0;-;;;
32;Trovan Unique;"0006B35F23";14/08/2018;20:45:07;;0;-;;;
33;Trovan Unique;"0006B35F23";14/08/2018;20:45:08;;0;-;;;
34;Trovan Unique;"0006B35F23";14/08/2018;20:45:09;;0;-;;;
35;Trovan Unique;"0006B35F23";14/08/2018;20:45:09;;0;-;;;
36;Trovan Unique;"0006B35F23";14/08/2018;20:45:10;;0;-;;;
37;Trovan Unique;"0006B35F23";14/08/2018;20:45:11;;0;-;;;
38;Trovan Unique;"0006B35F23";14/08/2018;20:45:12;;0;-;;;
