#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"000770D520";15/08/2018;21:00:38;;0;-;;;
1;Trovan Unique;"000770D520";15/08/2018;21:00:39;;0;-;;;
2;Trovan Unique;"000770D520";15/08/2018;21:00:40;;0;-;;;
3;Trovan Unique;"000799C228";15/08/2018;21:12:41;;0;-;;;
4;Trovan Unique;"000799C228";15/08/2018;21:12:42;;0;-;;;
5;Trovan Unique;"0006CC1F19";15/08/2018;21:13:48;;0;-;;;
6;Trovan Unique;"0006CC1F85";15/08/2018;21:16:05;;0;-;;;
7;Trovan Unique;"0006CC3D93";15/08/2018;21:22:47;;0;-;;;
8;Trovan Unique;"00079A7221";15/08/2018;21:24:08;;0;-;;;
9;Trovan Unique;"00079A7221";15/08/2018;21:24:09;;0;-;;;
10;Trovan Unique;"0006B35DA1";15/08/2018;21:25:18;;0;-;;;
11;Trovan Unique;"000786A535";15/08/2018;21:25:49;;0;-;;;
12;Trovan Unique;"000786A535";15/08/2018;21:25:50;;0;-;;;
13;Trovan Unique;"000786A535";15/08/2018;21:25:51;;0;-;;;
14;Trovan Unique;"0006B391E1";15/08/2018;21:26:02;;0;-;;;
15;Trovan Unique;"00075B6E70";15/08/2018;21:27:06;;0;-;;;
16;Trovan Unique;"00079A6F3C";15/08/2018;21:27:53;;0;-;;;
17;Trovan Unique;"00079A6F3C";15/08/2018;21:27:55;;0;-;;;
18;Trovan Unique;"0006B3BF50";15/08/2018;21:28:31;;0;-;;;
19;Trovan Unique;"0006CC08AD";15/08/2018;21:33:23;;0;-;;;
20;Trovan Unique;"00079A7221";15/08/2018;21:33:29;;0;-;;;
21;Trovan Unique;"000786A535";16/08/2018;02:03:15;;0;-;;;
22;Trovan Unique;"00079A7221";16/08/2018;04:59:26;;0;-;;;
23;Trovan Unique;"00079A7221";16/08/2018;04:59:27;;0;-;;;
24;Trovan Unique;"00079A7221";16/08/2018;04:59:28;;0;-;;;
25;Trovan Unique;"0006B38977";16/08/2018;05:00:12;;0;-;;;
26;Trovan Unique;"0006B38977";16/08/2018;05:00:14;;0;-;;;
27;Trovan Unique;"0006B39027";16/08/2018;05:00:26;;0;-;;;
28;Trovan Unique;"0006CC3BE1";16/08/2018;05:01:06;;0;-;;;
29;Trovan Unique;"0006CC3B21";16/08/2018;05:02:25;;0;-;;;
30;Trovan Unique;"0006B39BBE";16/08/2018;05:03:12;;0;-;;;
31;Trovan Unique;"0006B39BBE";16/08/2018;05:03:13;;0;-;;;
32;Trovan Unique;"0006B39BBE";16/08/2018;05:03:58;;0;-;;;
33;Trovan Unique;"0006CC1F85";16/08/2018;05:04:03;;0;-;;;
34;Trovan Unique;"0006CC3B21";16/08/2018;05:04:22;;0;-;;;
35;Trovan Unique;"0006B39504";16/08/2018;05:04:34;;0;-;;;
36;Trovan Unique;"0006B387FA";16/08/2018;05:05:44;;0;-;;;
37;Trovan Unique;"0006B39504";16/08/2018;05:06:22;;0;-;;;
38;Trovan Unique;"00074FA66F";16/08/2018;05:06:47;;0;-;;;
39;Trovan Unique;"00074FA66F";16/08/2018;05:07:41;;0;-;;;
40;Trovan Unique;"00075B6E70";16/08/2018;05:08:38;;0;-;;;
41;Trovan Unique;"00079A5BEB";16/08/2018;05:12:07;;0;-;;;
42;Trovan Unique;"00079A5BEB";16/08/2018;05:12:08;;0;-;;;
43;Trovan Unique;"0006B387FA";16/08/2018;05:14:15;;0;-;;;
44;Trovan Unique;"0006B387FA";16/08/2018;05:14:16;;0;-;;;
45;Trovan Unique;"00079A5BEB";16/08/2018;05:14:32;;0;-;;;
46;Trovan Unique;"00079A5BEB";16/08/2018;05:14:33;;0;-;;;
47;Trovan Unique;"00079A5BEB";16/08/2018;05:14:34;;0;-;;;
48;Trovan Unique;"00079A5BEB";16/08/2018;05:15:23;;0;-;;;
49;Trovan Unique;"0006B35DA1";16/08/2018;05:15:55;;0;-;;;
50;Trovan Unique;"0006B39504";16/08/2018;05:26:30;;0;-;;;
51;Trovan Unique;"0006B39BBE";16/08/2018;05:26:48;;0;-;;;
52;Trovan Unique;"0006E24A97";16/08/2018;05:27:26;;0;-;;;
53;Trovan Unique;"00079A2FA3";16/08/2018;05:28:23;;0;-;;;
54;Trovan Unique;"00075D0BFD";16/08/2018;05:28:52;;0;-;;;
55;Trovan Unique;"0007ABDA1D";16/08/2018;05:31:27;;0;-;;;
56;Trovan Unique;"0007ABDA1D";16/08/2018;05:31:28;;0;-;;;
57;Trovan Unique;"00075CE5CF";16/08/2018;05:33:20;;0;-;;;
58;Trovan Unique;"0006B3BF50";16/08/2018;05:33:38;;0;-;;;
59;Trovan Unique;"0006B37D1C";16/08/2018;05:35:22;;0;-;;;
60;Trovan Unique;"0006B37D1C";16/08/2018;05:36:22;;0;-;;;
61;Trovan Unique;"0006B37D1C";16/08/2018;05:36:23;;0;-;;;
62;Trovan Unique;"000799C228";16/08/2018;05:40:58;;0;-;;;
63;Trovan Unique;"000799C228";16/08/2018;05:40:59;;0;-;;;
64;Trovan Unique;"0006B391E1";16/08/2018;05:54:05;;0;-;;;
65;Trovan Unique;"000799C5D1";16/08/2018;05:54:11;;0;-;;;
66;Trovan Unique;"0006CC1F19";16/08/2018;05:55:08;;0;-;;;
67;Trovan Unique;"000770F48A";16/08/2018;06:07:09;;0;-;;;
