#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";28/08/2018;13:25:47;;0;-;;;
1;Trovan Unique;"0006B3B283";28/08/2018;13:25:48;;0;-;;;
2;Trovan Unique;"0006B3B283";28/08/2018;13:25:50;;0;-;;;
3;Trovan Unique;"0006B3B283";28/08/2018;13:25:52;;0;-;;;
4;Trovan Unique;"000799C5D1";28/08/2018;20:32:52;;0;-;;;
5;Trovan Unique;"000799C5D1";28/08/2018;20:32:53;;0;-;;;
6;Trovan Unique;"000799C5D1";28/08/2018;20:32:54;;0;-;;;
7;Trovan Unique;"000799C5D1";28/08/2018;20:32:55;;0;-;;;
8;Trovan Unique;"000799C5D1";28/08/2018;20:32:56;;0;-;;;
9;Trovan Unique;"000799C5D1";28/08/2018;20:32:58;;0;-;;;
10;Trovan Unique;"000799C5D1";28/08/2018;20:32:58;;0;-;;;
11;Trovan Unique;"000783C9A5";28/08/2018;20:41:17;;0;-;;;
12;Trovan Unique;"000783C9A5";28/08/2018;20:41:20;;0;-;;;
13;Trovan Unique;"000799C5D1";28/08/2018;20:41:22;;0;-;;;
14;Trovan Unique;"000799C5D1";28/08/2018;20:41:23;;0;-;;;
15;Trovan Unique;"000799C5D1";28/08/2018;20:41:25;;0;-;;;
16;Trovan Unique;"000799C5D1";28/08/2018;20:41:26;;0;-;;;
17;Trovan Unique;"0006CC3D93";28/08/2018;20:41:37;;0;-;;;
18;Trovan Unique;"000799C228";28/08/2018;20:42:10;;0;-;;;
19;Trovan Unique;"000799C228";28/08/2018;20:42:10;;0;-;;;
20;Trovan Unique;"00079A2FA3";28/08/2018;20:45:26;;0;-;;;
21;Trovan Unique;"00079A2FA3";28/08/2018;20:45:27;;0;-;;;
22;Trovan Unique;"00079A2FA3";28/08/2018;20:45:28;;0;-;;;
23;Trovan Unique;"00079A2FA3";28/08/2018;20:45:29;;0;-;;;
24;Trovan Unique;"0006CC1F19";28/08/2018;20:47:59;;0;-;;;
25;Trovan Unique;"00079A245E";28/08/2018;20:48:06;;0;-;;;
26;Trovan Unique;"00079A245E";28/08/2018;20:48:06;;0;-;;;
27;Trovan Unique;"00079A245E";28/08/2018;20:48:07;;0;-;;;
28;Trovan Unique;"0006B3BF50";28/08/2018;20:48:11;;0;-;;;
29;Trovan Unique;"00079A5BEB";28/08/2018;20:48:25;;0;-;;;
30;Trovan Unique;"00079A66B3";28/08/2018;20:48:27;;0;-;;;
31;Trovan Unique;"00079A66B3";28/08/2018;20:48:28;;0;-;;;
32;Trovan Unique;"00079A1700";28/08/2018;20:48:49;;0;-;;;
33;Trovan Unique;"00079A1700";28/08/2018;20:48:50;;0;-;;;
34;Trovan Unique;"0006CC3449";28/08/2018;20:48:52;;0;-;;;
35;Trovan Unique;"0006CC3449";28/08/2018;20:48:53;;0;-;;;
36;Trovan Unique;"0006CC3449";28/08/2018;20:48:54;;0;-;;;
37;Trovan Unique;"00079A595F";28/08/2018;20:49:54;;0;-;;;
38;Trovan Unique;"00079A595F";28/08/2018;20:49:55;;0;-;;;
39;Trovan Unique;"00079A595F";28/08/2018;20:49:55;;0;-;;;
40;Trovan Unique;"00079A595F";28/08/2018;20:49:56;;0;-;;;
41;Trovan Unique;"0006B38E37";28/08/2018;20:50:38;;0;-;;;
42;Trovan Unique;"0006B38E37";28/08/2018;20:50:39;;0;-;;;
43;Trovan Unique;"0006CC3BE1";28/08/2018;20:50:47;;0;-;;;
44;Trovan Unique;"0006B38E37";28/08/2018;20:50:50;;0;-;;;
45;Trovan Unique;"0006B38E37";28/08/2018;20:50:51;;0;-;;;
46;Trovan Unique;"0006B36A8D";28/08/2018;20:51:32;;0;-;;;
47;Trovan Unique;"0006B39D6F";28/08/2018;20:52:16;;0;-;;;
48;Trovan Unique;"0006B39504";28/08/2018;20:54:19;;0;-;;;
49;Trovan Unique;"0006B39504";28/08/2018;20:54:20;;0;-;;;
50;Trovan Unique;"0006B38BB9";28/08/2018;20:54:24;;0;-;;;
51;Trovan Unique;"0006B38BB9";28/08/2018;20:54:24;;0;-;;;
52;Trovan Unique;"00075CE5CF";28/08/2018;20:54:36;;0;-;;;
53;Trovan Unique;"00075D12AA";28/08/2018;20:57:06;;0;-;;;
54;Trovan Unique;"00075D12AA";28/08/2018;20:57:07;;0;-;;;
55;Trovan Unique;"00075D12AA";28/08/2018;20:57:07;;0;-;;;
56;Trovan Unique;"000770F620";28/08/2018;20:57:55;;0;-;;;
