#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;16.06.2018;11:16:37;;-;-;;
1;Trovan Unique;0006B3B283;16.06.2018;11:16:38;;-;-;;
2;Trovan Unique;0007ABF44A;16.06.2018;21:45:09;;-;-;;
3;Trovan Unique;0007AC2F8D;16.06.2018;21:45:16;;-;-;;
4;Trovan Unique;0007839FB7;16.06.2018;21:45:29;;-;-;;
5;Trovan Unique;000783ACF4;16.06.2018;21:45:34;;-;-;;
6;Trovan Unique;00071E15BF;16.06.2018;21:51:09;;-;-;;
7;Trovan Unique;0007ABDCCF;16.06.2018;21:54:01;;-;-;;
8;Trovan Unique;0007AC44BD;16.06.2018;21:54:17;;-;-;;
9;Trovan Unique;0006E24C7B;16.06.2018;23:24:59;;-;-;;
10;Trovan Unique;0006E24C7B;16.06.2018;23:25:00;;-;-;;
11;Trovan Unique;0006E24C7B;16.06.2018;23:25:01;;-;-;;
12;Trovan Unique;0006E24C7B;16.06.2018;23:25:03;;-;-;;
13;Trovan Unique;0006B3AC35;16.06.2018;23:25:18;;-;-;;
14;Trovan Unique;0006E24C7B;16.06.2018;23:26:18;;-;-;;
15;Trovan Unique;0006B3AC35;16.06.2018;23:26:22;;-;-;;
16;Trovan Unique;0006B3AC35;17.06.2018;00:02:21;;-;-;;
17;Trovan Unique;0006B3AC35;17.06.2018;00:02:45;;-;-;;
18;Trovan Unique;0007AC2F8D;17.06.2018;02:53:48;;-;-;;
19;Trovan Unique;0007AC2F8D;17.06.2018;02:54:01;;-;-;;
20;Trovan Unique;00071E15BF;17.06.2018;04:54:27;;-;-;;
21;Trovan Unique;0007ABF44A;17.06.2018;04:55:16;;-;-;;
22;Trovan Unique;0007AC2F8D;17.06.2018;05:16:43;;-;-;;
