#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
305;Trovan Unique;0006B3AC35;24.07.2018;21:27:35;;-;-;;
306;Trovan Unique;0006B3AC35;24.07.2018;21:27:36;;-;-;;
307;Trovan Unique;0006CC2C18;24.07.2018;21:29:11;;-;-;;
308;Trovan Unique;0006CC2C18;24.07.2018;21:29:12;;-;-;;
309;Trovan Unique;0006CC2C18;24.07.2018;21:29:14;;-;-;;
310;Trovan Unique;0007AC2F8D;24.07.2018;21:29:35;;-;-;;
311;Trovan Unique;0007ABA539;24.07.2018;21:29:52;;-;-;;
312;Trovan Unique;00068E0D1B;24.07.2018;21:32:34;;-;-;;
313;Trovan Unique;0007ABC5F2;24.07.2018;21:35:00;;-;-;;
314;Trovan Unique;0007ABC5F2;24.07.2018;21:35:01;;-;-;;
315;Trovan Unique;000783F377;24.07.2018;21:35:03;;-;-;;
316;Trovan Unique;0006B3BF04;24.07.2018;21:35:06;;-;-;;
317;Trovan Unique;00075CC950;24.07.2018;21:35:17;;-;-;;
318;Trovan Unique;0006E239ED;24.07.2018;21:36:22;;-;-;;
319;Trovan Unique;0006E24ECA;24.07.2018;21:36:29;;-;-;;
320;Trovan Unique;000783ACF4;24.07.2018;21:38:31;;-;-;;
321;Trovan Unique;00068E377E;24.07.2018;21:38:33;;-;-;;
322;Trovan Unique;0007AC44BD;24.07.2018;21:39:12;;-;-;;
323;Trovan Unique;0007839FB7;24.07.2018;21:41:32;;-;-;;
324;Trovan Unique;0007839FB7;24.07.2018;21:41:33;;-;-;;
325;Trovan Unique;0007839FB7;24.07.2018;21:41:34;;-;-;;
326;Trovan Unique;0006B34FE4;24.07.2018;21:41:45;;-;-;;
327;Trovan Unique;00074EEC1A;24.07.2018;21:41:47;;-;-;;
328;Trovan Unique;000786D14D;24.07.2018;21:44:33;;-;-;;
329;Trovan Unique;00071E15BF;24.07.2018;21:44:38;;-;-;;
330;Trovan Unique;00075B29B2;24.07.2018;21:44:58;;-;-;;
331;Trovan Unique;0006B3AC35;24.07.2018;21:45:18;;-;-;;
332;Trovan Unique;0006B3B75C;24.07.2018;21:45:22;;-;-;;
333;Trovan Unique;00075D076C;24.07.2018;21:47:00;;-;-;;
334;Trovan Unique;00075D076C;24.07.2018;21:47:01;;-;-;;
