#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0007AC2F8D";16/08/2018;20:48:06;;0;-;;;
1;Trovan Unique;"0007AC2F8D";16/08/2018;20:48:07;;0;-;;;
2;Trovan Unique;"0006E24C7B";16/08/2018;20:54:07;;0;-;;;
3;Trovan Unique;"0007999407";16/08/2018;20:54:23;;0;-;;;
4;Trovan Unique;"0007999407";16/08/2018;20:54:24;;0;-;;;
5;Trovan Unique;"0007999407";16/08/2018;20:54:25;;0;-;;;
6;Trovan Unique;"000783ACF4";16/08/2018;20:54:54;;0;-;;;
7;Trovan Unique;"00079AAA3C";16/08/2018;20:55:01;;0;-;;;
8;Trovan Unique;"00075B29B2";16/08/2018;20:55:03;;0;-;;;
9;Trovan Unique;"0006CC24E9";16/08/2018;20:55:10;;0;-;;;
10;Trovan Unique;"0006E24ECA";16/08/2018;20:55:15;;0;-;;;
11;Trovan Unique;"0007ABC5F2";16/08/2018;20:56:01;;0;-;;;
12;Trovan Unique;"0007ABC5F2";16/08/2018;20:56:02;;0;-;;;
13;Trovan Unique;"0007AC80F1";16/08/2018;20:56:18;;0;-;;;
14;Trovan Unique;"000783F377";16/08/2018;20:56:24;;0;-;;;
15;Trovan Unique;"00068E377E";16/08/2018;20:56:29;;0;-;;;
16;Trovan Unique;"0007ABDCCF";16/08/2018;20:57:02;;0;-;;;
17;Trovan Unique;"0007AC44BD";16/08/2018;20:57:04;;0;-;;;
18;Trovan Unique;"00075CC950";16/08/2018;20:59:48;;0;-;;;
19;Trovan Unique;"00074F7C6F";16/08/2018;21:00:43;;0;-;;;
20;Trovan Unique;"0007AC5939";16/08/2018;21:00:45;;0;-;;;
21;Trovan Unique;"0007ABD629";16/08/2018;21:00:57;;0;-;;;
22;Trovan Unique;"00075D076C";16/08/2018;21:01:19;;0;-;;;
23;Trovan Unique;"0007839FB7";16/08/2018;21:01:48;;0;-;;;
24;Trovan Unique;"000786D14D";16/08/2018;21:01:56;;0;-;;;
25;Trovan Unique;"0006E239ED";16/08/2018;21:02:50;;0;-;;;
26;Trovan Unique;"0006E239ED";16/08/2018;21:02:51;;0;-;;;
27;Trovan Unique;"0007ABDCCF";17/08/2018;04:58:46;;0;-;;;
28;Trovan Unique;"0007ABDCCF";17/08/2018;04:58:47;;0;-;;;
29;Trovan Unique;"0007ABDCCF";17/08/2018;04:59:29;;0;-;;;
30;Trovan Unique;"0007ABDCCF";17/08/2018;04:59:30;;0;-;;;
31;Trovan Unique;"0007ABDCCF";17/08/2018;05:23:18;;0;-;;;
32;Trovan Unique;"0007ABDCCF";17/08/2018;05:24:22;;0;-;;;
33;Trovan Unique;"0007ABDCCF";17/08/2018;05:25:56;;0;-;;;
34;Trovan Unique;"0007ABDCCF";17/08/2018;05:32:38;;0;-;;;
