#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;00075D6F2D;30.06.2018;21:38:23;;-;-;;
1;Trovan Unique;000783A6FD;30.06.2018;21:43:06;;-;-;;
2;Trovan Unique;0006B38CB1;30.06.2018;21:48:46;;-;-;;
3;Trovan Unique;0006B38CB1;30.06.2018;21:48:47;;-;-;;
4;Trovan Unique;0006B364E7;30.06.2018;21:50:06;;-;-;;
5;Trovan Unique;0006B364E7;30.06.2018;21:50:07;;-;-;;
6;Trovan Unique;0006B3A701;30.06.2018;21:51:00;;-;-;;
7;Trovan Unique;0006B3A701;30.06.2018;21:51:01;;-;-;;
8;Trovan Unique;0007AC566D;30.06.2018;21:53:21;;-;-;;
9;Trovan Unique;0007AC566D;30.06.2018;21:53:22;;-;-;;
10;Trovan Unique;0007AC566D;30.06.2018;21:53:23;;-;-;;
11;Trovan Unique;0006B38BBC;30.06.2018;21:56:47;;-;-;;
12;Trovan Unique;0006B38BBC;30.06.2018;21:56:48;;-;-;;
13;Trovan Unique;0006B38BBC;30.06.2018;21:56:53;;-;-;;
14;Trovan Unique;0006B38BBC;30.06.2018;21:56:54;;-;-;;
15;Trovan Unique;0006B38BBC;30.06.2018;21:56:56;;-;-;;
16;Trovan Unique;0006B38BBC;30.06.2018;21:56:57;;-;-;;
17;Trovan Unique;0006B38BBC;30.06.2018;21:56:58;;-;-;;
18;Trovan Unique;0006B38BBC;30.06.2018;21:56:59;;-;-;;
19;Trovan Unique;0006B38BBC;30.06.2018;21:57:00;;-;-;;
20;Trovan Unique;0006B38BBC;30.06.2018;21:57:01;;-;-;;
21;Trovan Unique;0006B38BBC;30.06.2018;21:57:02;;-;-;;
22;Trovan Unique;0006B38BBC;30.06.2018;21:57:03;;-;-;;
23;Trovan Unique;0006B38BBC;30.06.2018;21:57:04;;-;-;;
24;Trovan Unique;0006B38BBC;30.06.2018;21:57:05;;-;-;;
25;Trovan Unique;0006B364E7;30.06.2018;23:48:08;;-;-;;
26;Trovan Unique;0006B364E7;01.07.2018;00:06:14;;-;-;;
27;Trovan Unique;0006B364E7;01.07.2018;00:06:15;;-;-;;
28;Trovan Unique;0007AC566D;01.07.2018;00:10:15;;-;-;;
29;Trovan Unique;00075D6F2D;01.07.2018;00:27:19;;-;-;;
30;Trovan Unique;00075D6F2D;01.07.2018;00:27:20;;-;-;;
31;Trovan Unique;0006B3A701;01.07.2018;01:03:08;;-;-;;
32;Trovan Unique;0006B3A701;01.07.2018;01:03:09;;-;-;;
33;Trovan Unique;0007AC566D;01.07.2018;01:04:58;;-;-;;
34;Trovan Unique;000783A6FD;01.07.2018;01:06:27;;-;-;;
35;Trovan Unique;000783A6FD;01.07.2018;01:14:57;;-;-;;
36;Trovan Unique;0006B364E7;01.07.2018;01:41:59;;-;-;;
37;Trovan Unique;0007AC566D;01.07.2018;01:48:18;;-;-;;
38;Trovan Unique;00075D6F2D;01.07.2018;02:19:56;;-;-;;
39;Trovan Unique;0006B3A701;01.07.2018;02:34:48;;-;-;;
40;Trovan Unique;00075D6F2D;01.07.2018;02:35:09;;-;-;;
41;Trovan Unique;0007AC566D;01.07.2018;02:35:27;;-;-;;
42;Trovan Unique;0007AC566D;01.07.2018;02:35:28;;-;-;;
43;Trovan Unique;0006B38BBC;01.07.2018;02:40:56;;-;-;;
44;Trovan Unique;0006B38BBC;01.07.2018;02:40:57;;-;-;;
45;Trovan Unique;0006B38BBC;01.07.2018;02:40:58;;-;-;;
46;Trovan Unique;0006B38BBC;01.07.2018;02:40:59;;-;-;;
47;Trovan Unique;0006B38BBC;01.07.2018;02:41:00;;-;-;;
48;Trovan Unique;0006B38BBC;01.07.2018;02:41:04;;-;-;;
49;Trovan Unique;000783A6FD;01.07.2018;02:45:17;;-;-;;
50;Trovan Unique;0006B38CB1;01.07.2018;03:19:49;;-;-;;
51;Trovan Unique;0006B38CB1;01.07.2018;03:19:50;;-;-;;
52;Trovan Unique;0006B38CB1;01.07.2018;03:19:51;;-;-;;
53;Trovan Unique;0006B38CB1;01.07.2018;03:19:52;;-;-;;
54;Trovan Unique;0006B38CB1;01.07.2018;03:19:53;;-;-;;
55;Trovan Unique;000783A6FD;01.07.2018;03:20:24;;-;-;;
56;Trovan Unique;0007AC566D;01.07.2018;03:20:54;;-;-;;
57;Trovan Unique;0006B364E7;01.07.2018;03:55:00;;-;-;;
58;Trovan Unique;0006B364E7;01.07.2018;03:55:01;;-;-;;
59;Trovan Unique;0007AC566D;01.07.2018;03:57:51;;-;-;;
60;Trovan Unique;0006B3A701;01.07.2018;03:58:06;;-;-;;
61;Trovan Unique;00075D6F2D;01.07.2018;04:01:33;;-;-;;
62;Trovan Unique;0006B38CB1;01.07.2018;04:04:39;;-;-;;
63;Trovan Unique;0006B38CB1;01.07.2018;04:04:40;;-;-;;
64;Trovan Unique;0006B3A701;01.07.2018;04:09:52;;-;-;;
65;Trovan Unique;000783A6FD;01.07.2018;04:10:43;;-;-;;
66;Trovan Unique;0006B3A701;01.07.2018;04:13:14;;-;-;;
67;Trovan Unique;0006B3A701;01.07.2018;04:13:15;;-;-;;
68;Trovan Unique;0006B3A701;01.07.2018;04:13:16;;-;-;;
69;Trovan Unique;0006B3A701;01.07.2018;04:13:17;;-;-;;
70;Trovan Unique;000783A6FD;01.07.2018;04:15:47;;-;-;;
71;Trovan Unique;0007AC566D;01.07.2018;04:47:12;;-;-;;
72;Trovan Unique;0006B364E7;01.07.2018;05:11:12;;-;-;;
73;Trovan Unique;000783A6FD;01.07.2018;05:15:24;;-;-;;
74;Trovan Unique;000783A6FD;01.07.2018;05:15:25;;-;-;;
75;Trovan Unique;0006B38CB1;01.07.2018;05:17:05;;-;-;;
76;Trovan Unique;0006B3B283;01.07.2018;10:47:44;;-;-;;
