#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";21.06.2018;11:50:45;;0;-;;;
1;Trovan Unique;"00065EBF3C";21.06.2018;21:44:25;;0;-;;;
2;Trovan Unique;"00065EBF3C";21.06.2018;21:44:26;;0;-;;;
3;Trovan Unique;"00065EBF3C";21.06.2018;21:44:27;;0;-;;;
4;Trovan Unique;"00065EBF3C";21.06.2018;21:44:29;;0;-;;;
5;Trovan Unique;"00074F4107";21.06.2018;21:49:27;;0;-;;;
6;Trovan Unique;"0006B294D3";21.06.2018;21:50:31;;0;-;;;
7;Trovan Unique;"0006B3775E";21.06.2018;21:52:02;;0;-;;;
8;Trovan Unique;"0006B3775E";21.06.2018;21:52:03;;0;-;;;
9;Trovan Unique;"0006B3775E";21.06.2018;21:52:10;;0;-;;;
10;Trovan Unique;"00074F0832";21.06.2018;21:52:13;;0;-;;;
11;Trovan Unique;"00074F0832";21.06.2018;21:52:14;;0;-;;;
12;Trovan Unique;"00075D2562";21.06.2018;21:52:59;;0;-;;;
13;Trovan Unique;"00075D2562";21.06.2018;21:53:00;;0;-;;;
14;Trovan Unique;"00075D1338";21.06.2018;21:53:03;;0;-;;;
15;Trovan Unique;"00075D1338";21.06.2018;21:53:04;;0;-;;;
16;Trovan Unique;"0006B2A1D2";21.06.2018;21:54:54;;0;-;;;
17;Trovan Unique;"0006B2A1D2";21.06.2018;21:54:57;;0;-;;;
18;Trovan Unique;"0006B2A1D2";21.06.2018;21:54:58;;0;-;;;
19;Trovan Unique;"0006B2A1D2";21.06.2018;21:54:59;;0;-;;;
20;Trovan Unique;"0006B2A1D2";21.06.2018;21:55:00;;0;-;;;
21;Trovan Unique;"00068E1A0D";21.06.2018;21:56:16;;0;-;;;
22;Trovan Unique;"00068E1A0D";21.06.2018;21:56:17;;0;-;;;
23;Trovan Unique;"00074FA4F8";21.06.2018;21:56:19;;0;-;;;
24;Trovan Unique;"00074F238E";21.06.2018;21:56:23;;0;-;;;
25;Trovan Unique;"00074F238E";21.06.2018;21:56:24;;0;-;;;
26;Trovan Unique;"00074F238E";21.06.2018;21:56:25;;0;-;;;
27;Trovan Unique;"00074F238E";21.06.2018;21:56:26;;0;-;;;
28;Trovan Unique;"00074F238E";21.06.2018;21:56:27;;0;-;;;
29;Trovan Unique;"00075D1E39";21.06.2018;21:57:05;;0;-;;;
30;Trovan Unique;"00075D1E39";21.06.2018;21:57:06;;0;-;;;
31;Trovan Unique;"00075D1E39";21.06.2018;21:57:07;;0;-;;;
32;Trovan Unique;"00075D1E39";21.06.2018;21:57:09;;0;-;;;
33;Trovan Unique;"00075D1E39";21.06.2018;21:57:10;;0;-;;;
34;Trovan Unique;"00075D1E39";21.06.2018;21:57:10;;0;-;;;
35;Trovan Unique;"0006B3A093";21.06.2018;21:57:12;;0;-;;;
36;Trovan Unique;"0006B3A093";21.06.2018;21:57:13;;0;-;;;
37;Trovan Unique;"0007ABD6CC";21.06.2018;21:57:27;;0;-;;;
38;Trovan Unique;"00074F238E";21.06.2018;21:57:35;;0;-;;;
39;Trovan Unique;"0006B2A1D2";21.06.2018;21:59:37;;0;-;;;
40;Trovan Unique;"0006B2A1D2";21.06.2018;21:59:38;;0;-;;;
41;Trovan Unique;"0006B2A1D2";21.06.2018;21:59:39;;0;-;;;
42;Trovan Unique;"0006B35440";21.06.2018;22:01:44;;0;-;;;
43;Trovan Unique;"0006B35440";21.06.2018;22:01:45;;0;-;;;
44;Trovan Unique;"0006B35440";21.06.2018;22:01:46;;0;-;;;
45;Trovan Unique;"0006B35440";21.06.2018;22:01:47;;0;-;;;
46;Trovan Unique;"000770FBF5";21.06.2018;22:04:46;;0;-;;;
47;Trovan Unique;"000770FBF5";21.06.2018;22:04:47;;0;-;;;
48;Trovan Unique;"000770D8F5";21.06.2018;22:11:22;;0;-;;;
49;Trovan Unique;"000770D8F5";21.06.2018;22:11:23;;0;-;;;
50;Trovan Unique;"000770D8F5";21.06.2018;22:11:25;;0;-;;;
51;Trovan Unique;"000770D8F5";21.06.2018;22:11:27;;0;-;;;
52;Trovan Unique;"000770D8F5";21.06.2018;22:11:28;;0;-;;;
53;Trovan Unique;"000770D8F5";21.06.2018;22:11:29;;0;-;;;
