#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";03.07.2018;11:18:43;;0;-;;;
1;Trovan Unique;"0006B3B283";03.07.2018;11:18:45;;0;-;;;
2;Trovan Unique;"00074F4107";03.07.2018;21:30:19;;0;-;;;
3;Trovan Unique;"00074F4107";03.07.2018;21:30:20;;0;-;;;
4;Trovan Unique;"00074F4107";03.07.2018;21:30:21;;0;-;;;
5;Trovan Unique;"00074F4107";03.07.2018;21:30:22;;0;-;;;
6;Trovan Unique;"00074F4107";03.07.2018;21:30:28;;0;-;;;
7;Trovan Unique;"00074F4107";03.07.2018;21:30:29;;0;-;;;
8;Trovan Unique;"00074F4107";03.07.2018;21:30:30;;0;-;;;
9;Trovan Unique;"00074F4107";03.07.2018;21:31:11;;0;-;;;
10;Trovan Unique;"00075D2562";03.07.2018;21:32:27;;0;-;;;
11;Trovan Unique;"00075D2562";03.07.2018;21:32:31;;0;-;;;
12;Trovan Unique;"00075D2562";03.07.2018;21:32:32;;0;-;;;
13;Trovan Unique;"00075D2562";03.07.2018;21:32:33;;0;-;;;
14;Trovan Unique;"00075D2562";03.07.2018;21:32:35;;0;-;;;
15;Trovan Unique;"00075D2562";03.07.2018;21:32:41;;0;-;;;
16;Trovan Unique;"00075D2562";03.07.2018;21:32:42;;0;-;;;
17;Trovan Unique;"00075D2562";03.07.2018;21:32:43;;0;-;;;
18;Trovan Unique;"00075D2562";03.07.2018;21:32:43;;0;-;;;
19;Trovan Unique;"00075D2562";03.07.2018;21:32:44;;0;-;;;
20;Trovan Unique;"00075D2562";03.07.2018;21:32:46;;0;-;;;
21;Trovan Unique;"00074F238E";03.07.2018;21:33:07;;0;-;;;
22;Trovan Unique;"00074F238E";03.07.2018;21:33:08;;0;-;;;
23;Trovan Unique;"00074F238E";03.07.2018;21:33:09;;0;-;;;
24;Trovan Unique;"00074F238E";03.07.2018;21:33:27;;0;-;;;
25;Trovan Unique;"00074F4107";03.07.2018;21:34:12;;0;-;;;
26;Trovan Unique;"00074F4107";03.07.2018;21:34:13;;0;-;;;
27;Trovan Unique;"00074F4107";03.07.2018;21:34:14;;0;-;;;
28;Trovan Unique;"00074F4107";03.07.2018;21:34:15;;0;-;;;
29;Trovan Unique;"00074F4107";03.07.2018;21:34:17;;0;-;;;
30;Trovan Unique;"00074F4107";03.07.2018;21:34:18;;0;-;;;
31;Trovan Unique;"00074F4107";03.07.2018;21:34:19;;0;-;;;
32;Trovan Unique;"00074F4107";03.07.2018;21:35:22;;0;-;;;
33;Trovan Unique;"00074F4107";03.07.2018;21:35:23;;0;-;;;
34;Trovan Unique;"00074F4107";03.07.2018;21:35:24;;0;-;;;
35;Trovan Unique;"00074F0832";03.07.2018;21:36:07;;0;-;;;
36;Trovan Unique;"00074F0832";03.07.2018;21:36:08;;0;-;;;
37;Trovan Unique;"00074F0832";03.07.2018;21:36:09;;0;-;;;
38;Trovan Unique;"00074F0832";03.07.2018;21:36:10;;0;-;;;
39;Trovan Unique;"00074F0832";03.07.2018;21:36:11;;0;-;;;
40;Trovan Unique;"00074F0832";03.07.2018;21:36:13;;0;-;;;
41;Trovan Unique;"00074F0832";03.07.2018;21:36:14;;0;-;;;
42;Trovan Unique;"00074F0832";03.07.2018;21:36:15;;0;-;;;
43;Trovan Unique;"0006B3775E";03.07.2018;21:36:18;;0;-;;;
44;Trovan Unique;"00068E1A0D";03.07.2018;21:36:53;;0;-;;;
45;Trovan Unique;"00068E1A0D";03.07.2018;21:36:54;;0;-;;;
46;Trovan Unique;"00068E1A0D";03.07.2018;21:36:55;;0;-;;;
47;Trovan Unique;"00068E1A0D";03.07.2018;21:36:56;;0;-;;;
48;Trovan Unique;"0006B35440";03.07.2018;21:39:06;;0;-;;;
49;Trovan Unique;"0006B35440";03.07.2018;21:39:07;;0;-;;;
50;Trovan Unique;"00065EBF3C";03.07.2018;21:39:25;;0;-;;;
51;Trovan Unique;"00065EBF3C";03.07.2018;21:39:40;;0;-;;;
52;Trovan Unique;"00065EBF3C";03.07.2018;21:39:45;;0;-;;;
53;Trovan Unique;"00065EBF3C";03.07.2018;21:39:46;;0;-;;;
54;Trovan Unique;"00065EBF3C";03.07.2018;21:39:47;;0;-;;;
55;Trovan Unique;"00065EBF3C";03.07.2018;21:39:48;;0;-;;;
56;Trovan Unique;"00065EBF3C";03.07.2018;21:39:49;;0;-;;;
57;Trovan Unique;"00075D1E39";03.07.2018;21:39:50;;0;-;;;
58;Trovan Unique;"00075D1E39";03.07.2018;21:39:51;;0;-;;;
