#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";18.07.2018;10:52:02;;0;-;;;
1;Trovan Unique;"0006B3B283";18.07.2018;10:52:03;;0;-;;;
2;Trovan Unique;"000770D8F5";18.07.2018;16:39:41;;0;-;;;
3;Trovan Unique;"000770D8F5";18.07.2018;16:39:42;;0;-;;;
4;Trovan Unique;"000770D8F5";18.07.2018;16:39:43;;0;-;;;
5;Trovan Unique;"000770D8F5";18.07.2018;16:39:44;;0;-;;;
6;Trovan Unique;"000770D8F5";18.07.2018;16:39:45;;0;-;;;
7;Trovan Unique;"000770D8F5";18.07.2018;16:39:46;;0;-;;;
8;Trovan Unique;"000770D8F5";18.07.2018;16:39:50;;0;-;;;
9;Trovan Unique;"000770D8F5";18.07.2018;16:39:51;;0;-;;;
10;Trovan Unique;"000770D8F5";18.07.2018;16:39:52;;0;-;;;
11;Trovan Unique;"000770D8F5";18.07.2018;16:39:53;;0;-;;;
12;Trovan Unique;"000770D8F5";18.07.2018;16:39:54;;0;-;;;
13;Trovan Unique;"000770D8F5";18.07.2018;16:39:55;;0;-;;;
14;Trovan Unique;"000770D8F5";18.07.2018;16:39:57;;0;-;;;
15;Trovan Unique;"000770D8F5";18.07.2018;16:39:58;;0;-;;;
16;Trovan Unique;"00075D1338";18.07.2018;21:33:00;;0;-;;;
17;Trovan Unique;"00075D1338";18.07.2018;21:33:01;;0;-;;;
18;Trovan Unique;"00075D1338";18.07.2018;21:33:02;;0;-;;;
19;Trovan Unique;"00075D1338";18.07.2018;21:33:03;;0;-;;;
20;Trovan Unique;"00075D1338";18.07.2018;21:33:04;;0;-;;;
21;Trovan Unique;"00075D1338";18.07.2018;21:33:05;;0;-;;;
22;Trovan Unique;"00075D1338";18.07.2018;21:33:06;;0;-;;;
23;Trovan Unique;"00075D1338";18.07.2018;21:33:08;;0;-;;;
24;Trovan Unique;"00075D1338";18.07.2018;21:33:09;;0;-;;;
25;Trovan Unique;"00075D1338";18.07.2018;21:33:13;;0;-;;;
26;Trovan Unique;"00075D1338";18.07.2018;21:33:16;;0;-;;;
27;Trovan Unique;"00075D1338";18.07.2018;21:33:17;;0;-;;;
28;Trovan Unique;"00075D1338";18.07.2018;21:33:18;;0;-;;;
