#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
0;Trovan Unique;0006B3B283;26.07.2018;11:08:39;;-;-;;
1;Trovan Unique;0006B3B283;26.07.2018;11:08:41;;-;-;;
2;Trovan Unique;000770D8F5;26.07.2018;16:00:27;;-;-;;
3;Trovan Unique;000770D8F5;26.07.2018;16:00:28;;-;-;;
4;Trovan Unique;000770D8F5;26.07.2018;16:00:29;;-;-;;
5;Trovan Unique;000770D8F5;26.07.2018;16:00:30;;-;-;;
6;Trovan Unique;000770D8F5;26.07.2018;16:00:31;;-;-;;
7;Trovan Unique;000770D8F5;26.07.2018;16:00:32;;-;-;;
8;Trovan Unique;000770D8F5;26.07.2018;16:00:35;;-;-;;
9;Trovan Unique;000770D8F5;26.07.2018;16:00:36;;-;-;;
10;Trovan Unique;000770D8F5;26.07.2018;16:00:37;;-;-;;
11;Trovan Unique;000770D8F5;26.07.2018;18:09:29;;-;-;;
12;Trovan Unique;000770D8F5;26.07.2018;18:09:30;;-;-;;
13;Trovan Unique;000770D8F5;26.07.2018;18:09:31;;-;-;;
14;Trovan Unique;000770D8F5;26.07.2018;18:09:34;;-;-;;
15;Trovan Unique;000770D8F5;26.07.2018;18:09:38;;-;-;;
16;Trovan Unique;000770D8F5;26.07.2018;18:09:39;;-;-;;
17;Trovan Unique;000770D8F5;26.07.2018;18:09:40;;-;-;;
18;Trovan Unique;000770D8F5;26.07.2018;18:09:41;;-;-;;
19;Trovan Unique;000770D8F5;26.07.2018;18:09:42;;-;-;;
20;Trovan Unique;000770D8F5;26.07.2018;18:09:43;;-;-;;
21;Trovan Unique;000770D8F5;26.07.2018;18:09:44;;-;-;;
22;Trovan Unique;000770D8F5;26.07.2018;18:10:01;;-;-;;
23;Trovan Unique;000770D8F5;26.07.2018;18:10:04;;-;-;;
24;Trovan Unique;000770D8F5;26.07.2018;18:11:17;;-;-;;
25;Trovan Unique;000770D8F5;26.07.2018;18:11:18;;-;-;;
26;Trovan Unique;000770D8F5;26.07.2018;18:11:19;;-;-;;
27;Trovan Unique;000770D8F5;26.07.2018;18:11:20;;-;-;;
28;Trovan Unique;000770D8F5;26.07.2018;18:11:22;;-;-;;
29;Trovan Unique;000770D8F5;26.07.2018;18:11:23;;-;-;;
30;Trovan Unique;000770D8F5;26.07.2018;18:11:24;;-;-;;
31;Trovan Unique;000770D8F5;26.07.2018;18:11:25;;-;-;;
32;Trovan Unique;000770D8F5;26.07.2018;18:11:26;;-;-;;
33;Trovan Unique;000770D8F5;26.07.2018;18:11:27;;-;-;;
34;Trovan Unique;000770D8F5;26.07.2018;18:11:28;;-;-;;
35;Trovan Unique;000770D8F5;26.07.2018;18:11:29;;-;-;;
36;Trovan Unique;000770D8F5;26.07.2018;18:11:30;;-;-;;
37;Trovan Unique;000770D8F5;26.07.2018;18:11:31;;-;-;;
38;Trovan Unique;000770D8F5;26.07.2018;18:11:32;;-;-;;
39;Trovan Unique;000770D8F5;26.07.2018;18:11:33;;-;-;;
40;Trovan Unique;000770D8F5;26.07.2018;18:11:34;;-;-;;
41;Trovan Unique;000770D8F5;26.07.2018;18:11:35;;-;-;;
42;Trovan Unique;000770D8F5;26.07.2018;18:11:36;;-;-;;
43;Trovan Unique;000770D8F5;26.07.2018;18:11:37;;-;-;;
44;Trovan Unique;000770D8F5;26.07.2018;18:11:38;;-;-;;
45;Trovan Unique;000770D8F5;26.07.2018;18:11:40;;-;-;;
46;Trovan Unique;000770D8F5;26.07.2018;18:11:41;;-;-;;
47;Trovan Unique;000770D8F5;26.07.2018;18:11:42;;-;-;;
48;Trovan Unique;000770D8F5;26.07.2018;18:11:43;;-;-;;
49;Trovan Unique;000770D8F5;26.07.2018;18:11:44;;-;-;;
50;Trovan Unique;000770D8F5;26.07.2018;18:11:45;;-;-;;
51;Trovan Unique;000770D8F5;26.07.2018;18:11:45;;-;-;;
52;Trovan Unique;000770D8F5;26.07.2018;18:11:46;;-;-;;
53;Trovan Unique;000770D8F5;26.07.2018;18:11:47;;-;-;;
54;Trovan Unique;000770D8F5;26.07.2018;18:11:48;;-;-;;
55;Trovan Unique;000770D8F5;26.07.2018;18:11:50;;-;-;;
56;Trovan Unique;000770D8F5;26.07.2018;18:11:51;;-;-;;
57;Trovan Unique;000770D8F5;26.07.2018;18:11:52;;-;-;;
58;Trovan Unique;000770D8F5;26.07.2018;18:11:53;;-;-;;
59;Trovan Unique;000770D8F5;26.07.2018;18:11:54;;-;-;;
60;Trovan Unique;000770D8F5;26.07.2018;18:11:55;;-;-;;
61;Trovan Unique;000770D8F5;26.07.2018;18:11:56;;-;-;;
62;Trovan Unique;000770D8F5;26.07.2018;18:11:57;;-;-;;
63;Trovan Unique;000770D8F5;26.07.2018;18:11:58;;-;-;;
64;Trovan Unique;000770D8F5;26.07.2018;18:11:59;;-;-;;
65;Trovan Unique;000770D8F5;26.07.2018;18:12:00;;-;-;;
66;Trovan Unique;000770D8F5;26.07.2018;18:12:01;;-;-;;
67;Trovan Unique;000770D8F5;26.07.2018;18:12:02;;-;-;;
68;Trovan Unique;000770D8F5;26.07.2018;18:12:03;;-;-;;
69;Trovan Unique;000770D8F5;26.07.2018;18:12:04;;-;-;;
70;Trovan Unique;000770D8F5;26.07.2018;18:12:05;;-;-;;
71;Trovan Unique;000770D8F5;26.07.2018;18:12:06;;-;-;;
72;Trovan Unique;000770D8F5;26.07.2018;18:12:07;;-;-;;
73;Trovan Unique;000770D8F5;26.07.2018;18:12:08;;-;-;;
74;Trovan Unique;000770D8F5;26.07.2018;18:12:09;;-;-;;
75;Trovan Unique;000770D8F5;26.07.2018;18:12:10;;-;-;;
76;Trovan Unique;000770D8F5;26.07.2018;18:12:11;;-;-;;
77;Trovan Unique;000770D8F5;26.07.2018;18:12:12;;-;-;;
78;Trovan Unique;000770D8F5;26.07.2018;18:12:13;;-;-;;
79;Trovan Unique;000770D8F5;26.07.2018;18:12:14;;-;-;;
80;Trovan Unique;000770D8F5;26.07.2018;18:12:15;;-;-;;
81;Trovan Unique;000770D8F5;26.07.2018;18:12:16;;-;-;;
82;Trovan Unique;000770D8F5;26.07.2018;18:12:17;;-;-;;
83;Trovan Unique;000770D8F5;26.07.2018;18:12:18;;-;-;;
84;Trovan Unique;000770D8F5;26.07.2018;18:12:19;;-;-;;
85;Trovan Unique;000770D8F5;26.07.2018;18:12:20;;-;-;;
86;Trovan Unique;000770D8F5;26.07.2018;18:12:21;;-;-;;
87;Trovan Unique;000770D8F5;26.07.2018;18:12:22;;-;-;;
88;Trovan Unique;000770D8F5;26.07.2018;18:12:23;;-;-;;
89;Trovan Unique;000770D8F5;26.07.2018;18:12:24;;-;-;;
90;Trovan Unique;000770D8F5;26.07.2018;18:12:25;;-;-;;
91;Trovan Unique;000770D8F5;26.07.2018;18:12:26;;-;-;;
92;Trovan Unique;000770D8F5;26.07.2018;18:12:27;;-;-;;
93;Trovan Unique;000770D8F5;26.07.2018;18:12:28;;-;-;;
94;Trovan Unique;000770D8F5;26.07.2018;18:12:29;;-;-;;
95;Trovan Unique;000770D8F5;26.07.2018;18:12:30;;-;-;;
96;Trovan Unique;000770D8F5;26.07.2018;18:12:31;;-;-;;
97;Trovan Unique;000770D8F5;26.07.2018;18:12:32;;-;-;;
98;Trovan Unique;000770D8F5;26.07.2018;18:12:33;;-;-;;
99;Trovan Unique;000770D8F5;26.07.2018;18:12:34;;-;-;;
100;Trovan Unique;000770D8F5;26.07.2018;18:12:35;;-;-;;
101;Trovan Unique;000770D8F5;26.07.2018;18:12:36;;-;-;;
102;Trovan Unique;000770D8F5;26.07.2018;18:12:37;;-;-;;
103;Trovan Unique;000770D8F5;26.07.2018;18:12:38;;-;-;;
104;Trovan Unique;000770D8F5;26.07.2018;18:12:39;;-;-;;
105;Trovan Unique;000770D8F5;26.07.2018;18:12:40;;-;-;;
106;Trovan Unique;000770D8F5;26.07.2018;18:12:41;;-;-;;
107;Trovan Unique;000770D8F5;26.07.2018;18:12:42;;-;-;;
108;Trovan Unique;000770D8F5;26.07.2018;18:12:43;;-;-;;
109;Trovan Unique;000770D8F5;26.07.2018;18:12:44;;-;-;;
110;Trovan Unique;000770D8F5;26.07.2018;18:12:45;;-;-;;
111;Trovan Unique;000770D8F5;26.07.2018;18:12:46;;-;-;;
112;Trovan Unique;000770D8F5;26.07.2018;18:12:47;;-;-;;
113;Trovan Unique;000770D8F5;26.07.2018;18:12:48;;-;-;;
114;Trovan Unique;000770D8F5;26.07.2018;18:12:49;;-;-;;
115;Trovan Unique;000770D8F5;26.07.2018;18:12:51;;-;-;;
116;Trovan Unique;000770D8F5;26.07.2018;18:12:52;;-;-;;
117;Trovan Unique;000770D8F5;26.07.2018;18:12:53;;-;-;;
118;Trovan Unique;000770D8F5;26.07.2018;18:12:54;;-;-;;
119;Trovan Unique;000770D8F5;26.07.2018;18:12:55;;-;-;;
120;Trovan Unique;000770D8F5;26.07.2018;18:12:56;;-;-;;
121;Trovan Unique;000770D8F5;26.07.2018;18:12:57;;-;-;;
122;Trovan Unique;000770D8F5;26.07.2018;18:12:58;;-;-;;
123;Trovan Unique;000770D8F5;26.07.2018;18:12:59;;-;-;;
124;Trovan Unique;000770D8F5;26.07.2018;18:13:00;;-;-;;
125;Trovan Unique;000770D8F5;26.07.2018;18:13:01;;-;-;;
126;Trovan Unique;000770D8F5;26.07.2018;18:13:02;;-;-;;
127;Trovan Unique;000770D8F5;26.07.2018;18:13:03;;-;-;;
128;Trovan Unique;000770D8F5;26.07.2018;18:13:04;;-;-;;
129;Trovan Unique;000770D8F5;26.07.2018;18:13:05;;-;-;;
130;Trovan Unique;000770D8F5;26.07.2018;18:13:06;;-;-;;
131;Trovan Unique;000770D8F5;26.07.2018;18:13:07;;-;-;;
132;Trovan Unique;000770D8F5;26.07.2018;18:13:08;;-;-;;
133;Trovan Unique;000770D8F5;26.07.2018;18:13:09;;-;-;;
134;Trovan Unique;000770D8F5;26.07.2018;18:13:10;;-;-;;
135;Trovan Unique;000770D8F5;26.07.2018;18:13:11;;-;-;;
136;Trovan Unique;000770D8F5;26.07.2018;18:13:12;;-;-;;
137;Trovan Unique;000770D8F5;26.07.2018;18:13:13;;-;-;;
138;Trovan Unique;000770D8F5;26.07.2018;18:13:14;;-;-;;
139;Trovan Unique;000770D8F5;26.07.2018;18:13:15;;-;-;;
140;Trovan Unique;000770D8F5;26.07.2018;18:13:16;;-;-;;
141;Trovan Unique;000770D8F5;26.07.2018;18:13:17;;-;-;;
142;Trovan Unique;000770D8F5;26.07.2018;18:13:18;;-;-;;
143;Trovan Unique;000770D8F5;26.07.2018;18:13:19;;-;-;;
144;Trovan Unique;000770D8F5;26.07.2018;18:13:20;;-;-;;
145;Trovan Unique;000770D8F5;26.07.2018;18:13:21;;-;-;;
146;Trovan Unique;000770D8F5;26.07.2018;18:13:22;;-;-;;
147;Trovan Unique;000770D8F5;26.07.2018;18:13:23;;-;-;;
148;Trovan Unique;000770D8F5;26.07.2018;18:13:24;;-;-;;
149;Trovan Unique;000770D8F5;26.07.2018;18:13:25;;-;-;;
150;Trovan Unique;000770D8F5;26.07.2018;18:13:26;;-;-;;
151;Trovan Unique;000770D8F5;26.07.2018;18:13:27;;-;-;;
152;Trovan Unique;000770D8F5;26.07.2018;18:13:28;;-;-;;
153;Trovan Unique;000770D8F5;26.07.2018;18:13:29;;-;-;;
154;Trovan Unique;000770D8F5;26.07.2018;18:13:30;;-;-;;
155;Trovan Unique;000770D8F5;26.07.2018;18:13:31;;-;-;;
156;Trovan Unique;000770D8F5;26.07.2018;18:13:32;;-;-;;
157;Trovan Unique;000770D8F5;26.07.2018;18:13:33;;-;-;;
158;Trovan Unique;000770D8F5;26.07.2018;18:13:34;;-;-;;
159;Trovan Unique;000770D8F5;26.07.2018;18:13:35;;-;-;;
160;Trovan Unique;000770D8F5;26.07.2018;18:13:36;;-;-;;
161;Trovan Unique;000770D8F5;26.07.2018;18:13:37;;-;-;;
162;Trovan Unique;000770D8F5;26.07.2018;18:13:38;;-;-;;
163;Trovan Unique;000770D8F5;26.07.2018;18:13:39;;-;-;;
164;Trovan Unique;000770D8F5;26.07.2018;18:13:40;;-;-;;
165;Trovan Unique;000770D8F5;26.07.2018;18:13:41;;-;-;;
166;Trovan Unique;000770D8F5;26.07.2018;18:13:42;;-;-;;
167;Trovan Unique;000770D8F5;26.07.2018;18:13:43;;-;-;;
168;Trovan Unique;000770D8F5;26.07.2018;18:13:44;;-;-;;
169;Trovan Unique;000770D8F5;26.07.2018;18:13:45;;-;-;;
170;Trovan Unique;000770D8F5;26.07.2018;18:13:46;;-;-;;
171;Trovan Unique;000770D8F5;26.07.2018;18:13:47;;-;-;;
172;Trovan Unique;000770D8F5;26.07.2018;18:13:48;;-;-;;
173;Trovan Unique;000770D8F5;26.07.2018;18:13:49;;-;-;;
174;Trovan Unique;000770D8F5;26.07.2018;18:13:50;;-;-;;
175;Trovan Unique;000770D8F5;26.07.2018;18:13:51;;-;-;;
176;Trovan Unique;000770D8F5;26.07.2018;18:13:52;;-;-;;
177;Trovan Unique;000770D8F5;26.07.2018;18:13:53;;-;-;;
178;Trovan Unique;000770D8F5;26.07.2018;18:13:54;;-;-;;
179;Trovan Unique;000770D8F5;26.07.2018;18:13:55;;-;-;;
180;Trovan Unique;000770D8F5;26.07.2018;18:13:56;;-;-;;
181;Trovan Unique;000770D8F5;26.07.2018;18:13:57;;-;-;;
182;Trovan Unique;000770D8F5;26.07.2018;18:13:58;;-;-;;
183;Trovan Unique;000770D8F5;26.07.2018;18:13:59;;-;-;;
184;Trovan Unique;000770D8F5;26.07.2018;18:14:00;;-;-;;
185;Trovan Unique;000770D8F5;26.07.2018;18:14:01;;-;-;;
186;Trovan Unique;000770D8F5;26.07.2018;18:14:02;;-;-;;
187;Trovan Unique;000770D8F5;26.07.2018;18:14:03;;-;-;;
188;Trovan Unique;000770D8F5;26.07.2018;18:14:04;;-;-;;
189;Trovan Unique;000770D8F5;26.07.2018;18:14:05;;-;-;;
190;Trovan Unique;000770D8F5;26.07.2018;18:14:06;;-;-;;
191;Trovan Unique;000770D8F5;26.07.2018;18:14:07;;-;-;;
192;Trovan Unique;000770D8F5;26.07.2018;18:14:08;;-;-;;
193;Trovan Unique;000770D8F5;26.07.2018;18:14:09;;-;-;;
194;Trovan Unique;000770D8F5;26.07.2018;18:14:10;;-;-;;
195;Trovan Unique;000770D8F5;26.07.2018;18:14:12;;-;-;;
196;Trovan Unique;000770D8F5;26.07.2018;18:14:13;;-;-;;
197;Trovan Unique;000770D8F5;26.07.2018;18:14:14;;-;-;;
198;Trovan Unique;000770D8F5;26.07.2018;18:14:15;;-;-;;
199;Trovan Unique;000770D8F5;26.07.2018;18:14:16;;-;-;;
200;Trovan Unique;000770D8F5;26.07.2018;18:14:17;;-;-;;
201;Trovan Unique;000770D8F5;26.07.2018;18:14:18;;-;-;;
202;Trovan Unique;000770D8F5;26.07.2018;18:14:19;;-;-;;
203;Trovan Unique;000770D8F5;26.07.2018;18:14:20;;-;-;;
204;Trovan Unique;000770D8F5;26.07.2018;18:14:21;;-;-;;
205;Trovan Unique;000770D8F5;26.07.2018;18:14:22;;-;-;;
206;Trovan Unique;000770D8F5;26.07.2018;18:14:23;;-;-;;
207;Trovan Unique;000770D8F5;26.07.2018;18:14:24;;-;-;;
208;Trovan Unique;000770D8F5;26.07.2018;18:14:25;;-;-;;
209;Trovan Unique;000770D8F5;26.07.2018;18:14:26;;-;-;;
210;Trovan Unique;000770D8F5;26.07.2018;18:14:27;;-;-;;
211;Trovan Unique;000770D8F5;26.07.2018;18:14:28;;-;-;;
212;Trovan Unique;000770D8F5;26.07.2018;18:14:29;;-;-;;
213;Trovan Unique;000770D8F5;26.07.2018;18:14:30;;-;-;;
214;Trovan Unique;000770D8F5;26.07.2018;18:14:31;;-;-;;
215;Trovan Unique;000770D8F5;26.07.2018;18:14:32;;-;-;;
216;Trovan Unique;000770D8F5;26.07.2018;18:14:33;;-;-;;
217;Trovan Unique;000770D8F5;26.07.2018;18:14:34;;-;-;;
218;Trovan Unique;000770D8F5;26.07.2018;18:14:35;;-;-;;
219;Trovan Unique;000770D8F5;26.07.2018;18:14:36;;-;-;;
220;Trovan Unique;000770D8F5;26.07.2018;18:14:37;;-;-;;
221;Trovan Unique;000770D8F5;26.07.2018;18:14:38;;-;-;;
222;Trovan Unique;000770D8F5;26.07.2018;18:14:39;;-;-;;
223;Trovan Unique;000770D8F5;26.07.2018;18:14:40;;-;-;;
224;Trovan Unique;000770D8F5;26.07.2018;18:14:41;;-;-;;
225;Trovan Unique;000770D8F5;26.07.2018;18:14:42;;-;-;;
226;Trovan Unique;000770D8F5;26.07.2018;18:14:43;;-;-;;
227;Trovan Unique;000770D8F5;26.07.2018;18:14:44;;-;-;;
228;Trovan Unique;000770D8F5;26.07.2018;18:14:45;;-;-;;
229;Trovan Unique;000770D8F5;26.07.2018;18:14:46;;-;-;;
230;Trovan Unique;000770D8F5;26.07.2018;18:14:47;;-;-;;
231;Trovan Unique;000770D8F5;26.07.2018;18:14:48;;-;-;;
232;Trovan Unique;000770D8F5;26.07.2018;18:14:49;;-;-;;
233;Trovan Unique;000770D8F5;26.07.2018;18:14:50;;-;-;;
234;Trovan Unique;000770D8F5;26.07.2018;18:14:51;;-;-;;
235;Trovan Unique;000770D8F5;26.07.2018;18:14:52;;-;-;;
236;Trovan Unique;000770D8F5;26.07.2018;18:14:53;;-;-;;
237;Trovan Unique;000770D8F5;26.07.2018;18:14:54;;-;-;;
238;Trovan Unique;000770D8F5;26.07.2018;18:14:55;;-;-;;
239;Trovan Unique;000770D8F5;26.07.2018;18:14:56;;-;-;;
240;Trovan Unique;000770D8F5;26.07.2018;18:14:57;;-;-;;
241;Trovan Unique;000770D8F5;26.07.2018;18:14:58;;-;-;;
242;Trovan Unique;000770D8F5;26.07.2018;18:14:59;;-;-;;
243;Trovan Unique;000770D8F5;26.07.2018;18:15:00;;-;-;;
244;Trovan Unique;000770D8F5;26.07.2018;18:15:01;;-;-;;
245;Trovan Unique;000770D8F5;26.07.2018;18:15:02;;-;-;;
246;Trovan Unique;000770D8F5;26.07.2018;18:15:04;;-;-;;
247;Trovan Unique;000770D8F5;26.07.2018;18:15:05;;-;-;;
248;Trovan Unique;000770D8F5;26.07.2018;18:15:06;;-;-;;
249;Trovan Unique;000770D8F5;26.07.2018;18:15:07;;-;-;;
250;Trovan Unique;000770D8F5;26.07.2018;18:15:07;;-;-;;
251;Trovan Unique;000770D8F5;26.07.2018;18:15:09;;-;-;;
252;Trovan Unique;000770D8F5;26.07.2018;18:15:10;;-;-;;
253;Trovan Unique;000770D8F5;26.07.2018;18:15:11;;-;-;;
254;Trovan Unique;000770D8F5;26.07.2018;18:15:12;;-;-;;
255;Trovan Unique;000770D8F5;26.07.2018;18:15:13;;-;-;;
256;Trovan Unique;000770D8F5;26.07.2018;18:15:14;;-;-;;
257;Trovan Unique;000770D8F5;26.07.2018;18:15:15;;-;-;;
