#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:
407;Trovan Unique;000770D8F5;27.07.2018;12:58:22;;-;-;;
408;Trovan Unique;000770D8F5;27.07.2018;12:58:23;;-;-;;
409;Trovan Unique;000770D8F5;27.07.2018;12:58:24;;-;-;;
410;Trovan Unique;000770D8F5;27.07.2018;12:58:25;;-;-;;
411;Trovan Unique;000770D8F5;27.07.2018;12:58:26;;-;-;;
412;Trovan Unique;000770D8F5;27.07.2018;12:58:27;;-;-;;
413;Trovan Unique;000770D8F5;27.07.2018;12:58:28;;-;-;;
414;Trovan Unique;00075D8712;27.07.2018;21:24:42;;-;-;;
415;Trovan Unique;00074F4107;27.07.2018;21:28:26;;-;-;;
416;Trovan Unique;00075D1338;27.07.2018;21:30:06;;-;-;;
417;Trovan Unique;0007ABD6CC;27.07.2018;21:30:26;;-;-;;
418;Trovan Unique;000770FBF5;27.07.2018;21:30:29;;-;-;;
419;Trovan Unique;00074F0832;27.07.2018;21:31:01;;-;-;;
420;Trovan Unique;0006B294D3;27.07.2018;21:31:30;;-;-;;
421;Trovan Unique;00074FA4F8;27.07.2018;21:31:37;;-;-;;
422;Trovan Unique;0006B3A093;27.07.2018;21:31:47;;-;-;;
423;Trovan Unique;00075D1E39;27.07.2018;21:32:32;;-;-;;
424;Trovan Unique;00074F238E;27.07.2018;21:33:14;;-;-;;
425;Trovan Unique;0006B35440;27.07.2018;21:36:00;;-;-;;
426;Trovan Unique;000770D8F5;27.07.2018;21:40:16;;-;-;;
427;Trovan Unique;000770D8F5;27.07.2018;21:40:17;;-;-;;
428;Trovan Unique;000770D8F5;27.07.2018;21:40:18;;-;-;;
429;Trovan Unique;000770D8F5;27.07.2018;21:40:19;;-;-;;
430;Trovan Unique;000770D8F5;27.07.2018;21:40:20;;-;-;;
431;Trovan Unique;000770D8F5;27.07.2018;21:40:21;;-;-;;
432;Trovan Unique;000770D8F5;27.07.2018;21:40:22;;-;-;;
433;Trovan Unique;000770D8F5;27.07.2018;21:40:23;;-;-;;
434;Trovan Unique;000770D8F5;27.07.2018;21:40:24;;-;-;;
435;Trovan Unique;000770D8F5;27.07.2018;21:40:25;;-;-;;
436;Trovan Unique;000770D8F5;27.07.2018;21:40:28;;-;-;;
437;Trovan Unique;000770D8F5;27.07.2018;21:40:28;;-;-;;
438;Trovan Unique;000770D8F5;27.07.2018;21:40:29;;-;-;;
439;Trovan Unique;000770D8F5;27.07.2018;21:40:30;;-;-;;
440;Trovan Unique;000770D8F5;27.07.2018;21:40:32;;-;-;;
441;Trovan Unique;000770D8F5;27.07.2018;21:40:33;;-;-;;
442;Trovan Unique;000770D8F5;27.07.2018;21:40:35;;-;-;;
443;Trovan Unique;000770D8F5;27.07.2018;21:40:36;;-;-;;
444;Trovan Unique;000770D8F5;27.07.2018;21:40:37;;-;-;;
445;Trovan Unique;000770D8F5;27.07.2018;21:40:39;;-;-;;
446;Trovan Unique;000770D8F5;27.07.2018;21:40:40;;-;-;;
447;Trovan Unique;0006B3B283;28.07.2018;10:57:42;;-;-;;
