#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"00075D8712";21/08/2018;20:45:28;;0;-;;;
1;Trovan Unique;"00075D8712";21/08/2018;20:45:29;;0;-;;;
2;Trovan Unique;"00075D8712";21/08/2018;20:45:29;;0;-;;;
3;Trovan Unique;"0006B35440";21/08/2018;20:47:35;;0;-;;;
4;Trovan Unique;"0006B35440";21/08/2018;20:47:36;;0;-;;;
5;Trovan Unique;"0006B35440";21/08/2018;20:47:37;;0;-;;;
6;Trovan Unique;"0006B35440";21/08/2018;20:47:38;;0;-;;;
7;Trovan Unique;"0006B35440";21/08/2018;20:47:39;;0;-;;;
8;Trovan Unique;"0006B35440";21/08/2018;20:47:40;;0;-;;;
9;Trovan Unique;"00074F4107";21/08/2018;20:47:50;;0;-;;;
10;Trovan Unique;"00074F4107";21/08/2018;20:47:51;;0;-;;;
11;Trovan Unique;"00074F4107";21/08/2018;20:47:52;;0;-;;;
12;Trovan Unique;"00074F4107";21/08/2018;20:47:53;;0;-;;;
13;Trovan Unique;"00074F4107";21/08/2018;20:47:54;;0;-;;;
14;Trovan Unique;"00074F4107";21/08/2018;20:47:58;;0;-;;;
15;Trovan Unique;"00074F4107";21/08/2018;20:47:58;;0;-;;;
16;Trovan Unique;"00074F4107";21/08/2018;20:47:59;;0;-;;;
17;Trovan Unique;"00074F4107";21/08/2018;20:48:00;;0;-;;;
18;Trovan Unique;"00074F4107";21/08/2018;20:48:01;;0;-;;;
19;Trovan Unique;"00074F4107";21/08/2018;20:48:02;;0;-;;;
20;Trovan Unique;"00074F4107";21/08/2018;20:48:03;;0;-;;;
21;Trovan Unique;"00074F4107";21/08/2018;20:48:04;;0;-;;;
22;Trovan Unique;"0007AC4999";21/08/2018;20:48:11;;0;-;;;
23;Trovan Unique;"0007AC4999";21/08/2018;20:48:12;;0;-;;;
24;Trovan Unique;"0006B35440";21/08/2018;20:48:25;;0;-;;;
25;Trovan Unique;"0006B35440";21/08/2018;20:48:26;;0;-;;;
26;Trovan Unique;"000770FBF5";21/08/2018;20:48:37;;0;-;;;
27;Trovan Unique;"0006B2A1D2";21/08/2018;20:50:14;;0;-;;;
28;Trovan Unique;"0006B2A1D2";21/08/2018;20:50:14;;0;-;;;
29;Trovan Unique;"00075D2562";21/08/2018;20:50:44;;0;-;;;
30;Trovan Unique;"00075D2562";21/08/2018;20:50:45;;0;-;;;
31;Trovan Unique;"00068E1A0D";21/08/2018;20:52:04;;0;-;;;
32;Trovan Unique;"00074F238E";21/08/2018;20:52:08;;0;-;;;
33;Trovan Unique;"0007ABEDDE";21/08/2018;20:53:33;;0;-;;;
34;Trovan Unique;"0006B2A1D2";22/08/2018;05:31:48;;0;-;;;
35;Trovan Unique;"000770D8F5";22/08/2018;05:33:06;;0;-;;;
36;Trovan Unique;"0006B35440";22/08/2018;05:34:40;;0;-;;;
37;Trovan Unique;"0007AC4999";22/08/2018;05:34:47;;0;-;;;
38;Trovan Unique;"00075D1E39";22/08/2018;05:36:58;;0;-;;;
39;Trovan Unique;"00075D2562";22/08/2018;05:42:33;;0;-;;;
40;Trovan Unique;"00075D1338";22/08/2018;05:42:39;;0;-;;;
41;Trovan Unique;"0007ACA1CE";22/08/2018;05:43:10;;0;-;;;
42;Trovan Unique;"0007AC4999";22/08/2018;05:45:15;;0;-;;;
43;Trovan Unique;"00075D1338";22/08/2018;05:45:53;;0;-;;;
44;Trovan Unique;"00075D1338";22/08/2018;05:45:55;;0;-;;;
45;Trovan Unique;"00075D1338";22/08/2018;05:46:00;;0;-;;;
46;Trovan Unique;"00075D1338";22/08/2018;05:46:01;;0;-;;;
47;Trovan Unique;"00075D1338";22/08/2018;05:46:01;;0;-;;;
48;Trovan Unique;"00075D1338";22/08/2018;05:46:19;;0;-;;;
49;Trovan Unique;"0007ACA1CE";22/08/2018;05:47:42;;0;-;;;
50;Trovan Unique;"00075D110D";22/08/2018;05:48:15;;0;-;;;
51;Trovan Unique;"0007AC4999";22/08/2018;05:48:19;;0;-;;;
52;Trovan Unique;"0007ABEDDE";22/08/2018;05:48:36;;0;-;;;
53;Trovan Unique;"0007ACA1CE";22/08/2018;05:49:37;;0;-;;;
