#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:41;;0;-;;;
1;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:42;;0;-;;;
2;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:43;;0;-;;;
3;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:52;;0;-;;;
4;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:53;;0;-;;;
5;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:54;;0;-;;;
6;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:55;;0;-;;;
7;Trovan Unique;"0007ACA1CE";22/08/2018;18:30:56;;0;-;;;
8;Trovan Unique;"00075D1E39";22/08/2018;20:42:21;;0;-;;;
9;Trovan Unique;"00075D1E39";22/08/2018;20:42:22;;0;-;;;
10;Trovan Unique;"00075D1E39";22/08/2018;20:42:23;;0;-;;;
11;Trovan Unique;"00075D1E39";22/08/2018;20:42:24;;0;-;;;
12;Trovan Unique;"00075D1E39";22/08/2018;20:42:25;;0;-;;;
13;Trovan Unique;"00075D1E39";22/08/2018;20:42:26;;0;-;;;
14;Trovan Unique;"00075D1E39";22/08/2018;20:42:27;;0;-;;;
15;Trovan Unique;"00075D1E39";22/08/2018;20:42:28;;0;-;;;
16;Trovan Unique;"00075D1E39";22/08/2018;20:42:28;;0;-;;;
17;Trovan Unique;"00075D1E39";22/08/2018;20:42:29;;0;-;;;
18;Trovan Unique;"0006B2A1D2";22/08/2018;20:42:30;;0;-;;;
19;Trovan Unique;"0006B2A1D2";22/08/2018;20:42:31;;0;-;;;
20;Trovan Unique;"0006B2A1D2";22/08/2018;20:42:32;;0;-;;;
21;Trovan Unique;"00075D1E39";22/08/2018;20:42:33;;0;-;;;
22;Trovan Unique;"00075D1E39";22/08/2018;20:42:34;;0;-;;;
23;Trovan Unique;"00075D2562";22/08/2018;20:42:35;;0;-;;;
24;Trovan Unique;"00075D1E39";22/08/2018;20:42:36;;0;-;;;
25;Trovan Unique;"00075D1E39";22/08/2018;20:42:37;;0;-;;;
26;Trovan Unique;"00075D1E39";22/08/2018;20:42:38;;0;-;;;
27;Trovan Unique;"00075D1E39";22/08/2018;20:42:39;;0;-;;;
28;Trovan Unique;"00075D1E39";22/08/2018;20:42:40;;0;-;;;
29;Trovan Unique;"00075D1E39";22/08/2018;20:42:41;;0;-;;;
30;Trovan Unique;"00075D1E39";22/08/2018;20:42:42;;0;-;;;
31;Trovan Unique;"00075D1E39";22/08/2018;20:42:43;;0;-;;;
32;Trovan Unique;"00075D1E39";22/08/2018;20:42:44;;0;-;;;
33;Trovan Unique;"00075D1E39";22/08/2018;20:42:44;;0;-;;;
34;Trovan Unique;"00075D1E39";22/08/2018;20:42:45;;0;-;;;
35;Trovan Unique;"00075D1E39";22/08/2018;20:42:46;;0;-;;;
36;Trovan Unique;"00075D1E39";22/08/2018;20:42:47;;0;-;;;
37;Trovan Unique;"00075D1E39";22/08/2018;20:42:48;;0;-;;;
38;Trovan Unique;"00075D1E39";22/08/2018;20:42:49;;0;-;;;
39;Trovan Unique;"00075D1E39";22/08/2018;20:42:50;;0;-;;;
40;Trovan Unique;"00075D1E39";22/08/2018;20:42:51;;0;-;;;
41;Trovan Unique;"0006B35440";22/08/2018;20:43:14;;0;-;;;
42;Trovan Unique;"0006B35440";22/08/2018;20:43:15;;0;-;;;
43;Trovan Unique;"00074F238E";22/08/2018;20:44:10;;0;-;;;
44;Trovan Unique;"0007AC4999";22/08/2018;20:45:35;;0;-;;;
45;Trovan Unique;"0007AC4999";22/08/2018;20:45:35;;0;-;;;
46;Trovan Unique;"0007AC4999";22/08/2018;20:45:37;;0;-;;;
47;Trovan Unique;"0007ABEDDE";22/08/2018;20:45:46;;0;-;;;
48;Trovan Unique;"00074F4107";22/08/2018;20:45:50;;0;-;;;
49;Trovan Unique;"00074F4107";22/08/2018;20:45:51;;0;-;;;
50;Trovan Unique;"00075D8712";22/08/2018;20:47:17;;0;-;;;
51;Trovan Unique;"000770D8F5";22/08/2018;20:49:54;;0;-;;;
52;Trovan Unique;"000770D8F5";22/08/2018;20:49:55;;0;-;;;
53;Trovan Unique;"000770D8F5";22/08/2018;20:49:56;;0;-;;;
54;Trovan Unique;"000770D8F5";22/08/2018;20:49:57;;0;-;;;
55;Trovan Unique;"0007ACA1CE";22/08/2018;20:51:30;;0;-;;;
56;Trovan Unique;"00075D1338";22/08/2018;20:52:35;;0;-;;;
57;Trovan Unique;"00075D1338";22/08/2018;20:52:36;;0;-;;;
58;Trovan Unique;"00075D1338";22/08/2018;20:52:37;;0;-;;;
59;Trovan Unique;"00075D1338";22/08/2018;20:52:38;;0;-;;;
60;Trovan Unique;"00075D1338";22/08/2018;20:52:39;;0;-;;;
61;Trovan Unique;"00075D110D";22/08/2018;20:54:14;;0;-;;;
