#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0007ACA1CE";24/08/2018;20:47:18;;0;-;;;
1;Trovan Unique;"000786B5F7";24/08/2018;20:51:33;;0;-;;;
2;Trovan Unique;"000786B5F7";24/08/2018;20:51:34;;0;-;;;
3;Trovan Unique;"000786B5F7";24/08/2018;20:51:36;;0;-;;;
4;Trovan Unique;"000786B5F7";24/08/2018;20:51:37;;0;-;;;
5;Trovan Unique;"0007ABEDDE";24/08/2018;20:53:22;;0;-;;;
6;Trovan Unique;"0007AC4999";24/08/2018;20:53:41;;0;-;;;
7;Trovan Unique;"0007AC4999";24/08/2018;20:53:42;;0;-;;;
8;Trovan Unique;"00074F238E";24/08/2018;20:55:01;;0;-;;;
9;Trovan Unique;"00075D110D";24/08/2018;20:55:26;;0;-;;;
10;Trovan Unique;"00075D110D";24/08/2018;20:55:27;;0;-;;;
11;Trovan Unique;"000770ED72";24/08/2018;20:55:38;;0;-;;;
12;Trovan Unique;"00068E1A0D";24/08/2018;20:55:50;;0;-;;;
13;Trovan Unique;"0006B2A1D2";24/08/2018;20:56:25;;0;-;;;
14;Trovan Unique;"0006B2A1D2";24/08/2018;20:56:26;;0;-;;;
