#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
0;Trovan Unique;"0006B3B283";28/08/2018;14:40:29;;0;-;;;
1;Trovan Unique;"0006B3B283";28/08/2018;14:40:31;;0;-;;;
2;Trovan Unique;"00075D1E39";28/08/2018;20:38:38;;0;-;;;
3;Trovan Unique;"00075D1E39";28/08/2018;20:38:39;;0;-;;;
4;Trovan Unique;"0006B35440";28/08/2018;20:40:21;;0;-;;;
5;Trovan Unique;"00068E1A0D";28/08/2018;20:42:10;;0;-;;;
6;Trovan Unique;"000770FBF5";28/08/2018;20:42:42;;0;-;;;
7;Trovan Unique;"0006B2A1D2";28/08/2018;20:43:32;;0;-;;;
8;Trovan Unique;"0006B2A1D2";28/08/2018;20:43:33;;0;-;;;
9;Trovan Unique;"0007ACA1CE";28/08/2018;20:43:36;;0;-;;;
10;Trovan Unique;"00075D2562";28/08/2018;20:44:16;;0;-;;;
11;Trovan Unique;"00075D2562";28/08/2018;20:44:17;;0;-;;;
12;Trovan Unique;"00075D8712";28/08/2018;20:44:19;;0;-;;;
13;Trovan Unique;"0007AC4999";28/08/2018;20:44:37;;0;-;;;
14;Trovan Unique;"000770ED72";28/08/2018;20:44:43;;0;-;;;
15;Trovan Unique;"00075D110D";28/08/2018;20:46:57;;0;-;;;
16;Trovan Unique;"00075D110D";28/08/2018;20:46:58;;0;-;;;
17;Trovan Unique;"00075D110D";28/08/2018;20:46:59;;0;-;;;
18;Trovan Unique;"0006B2A1D2";29/08/2018;05:37:14;;0;-;;;
19;Trovan Unique;"0007AC4999";29/08/2018;05:40:11;;0;-;;;
20;Trovan Unique;"000786B5F7";29/08/2018;05:41:21;;0;-;;;
21;Trovan Unique;"00075D1E39";29/08/2018;05:42:01;;0;-;;;
22;Trovan Unique;"00075D1E39";29/08/2018;05:42:02;;0;-;;;
23;Trovan Unique;"00075D1E39";29/08/2018;05:42:03;;0;-;;;
24;Trovan Unique;"000786B5F7";29/08/2018;05:42:51;;0;-;;;
25;Trovan Unique;"0007ACA1CE";29/08/2018;05:43:18;;0;-;;;
26;Trovan Unique;"00075D2562";29/08/2018;05:43:46;;0;-;;;
27;Trovan Unique;"000770D8F5";29/08/2018;05:45:02;;0;-;;;
28;Trovan Unique;"000770D8F5";29/08/2018;05:52:54;;0;-;;;
29;Trovan Unique;"000770D8F5";29/08/2018;05:52:56;;0;-;;;
30;Trovan Unique;"000770D8F5";29/08/2018;05:52:57;;0;-;;;
31;Trovan Unique;"000770D8F5";29/08/2018;05:52:59;;0;-;;;
32;Trovan Unique;"000770D8F5";29/08/2018;05:53:08;;0;-;;;
33;Trovan Unique;"000770D8F5";29/08/2018;05:53:10;;0;-;;;
34;Trovan Unique;"000770D8F5";29/08/2018;05:53:21;;0;-;;;
35;Trovan Unique;"000770D8F5";29/08/2018;05:53:27;;0;-;;;
36;Trovan Unique;"000770D8F5";29/08/2018;05:53:32;;0;-;;;
37;Trovan Unique;"000770D8F5";29/08/2018;05:53:33;;0;-;;;
